GateI,GateV,DrainI,,
-1.82E-10,-2.00E+01,1.71E-11,,1.71E-10
-1.46E-10,-1.95E+01,1.49E-11,,1.49E-10
-1.21E-10,-1.90E+01,1.32E-11,,1.32E-10
-1.01E-10,-1.85E+01,1.19E-11,,1.19E-10
-8.81E-11,-1.80E+01,1.09E-11,,1.09E-10
-7.52E-11,-1.75E+01,1.01E-11,,1.01E-10
-6.61E-11,-1.70E+01,9.52E-12,,9.52E-11
-5.50E-11,-1.65E+01,8.94E-12,,8.94E-11
-4.99E-11,-1.60E+01,8.49E-12,,8.49E-11
-4.39E-11,-1.55E+01,8.11E-12,,8.11E-11
-3.38E-11,-1.50E+01,7.86E-12,,7.86E-11
-3.27E-11,-1.45E+01,7.52E-12,,7.52E-11
-2.95E-11,-1.40E+01,7.33E-12,,7.33E-11
-2.62E-11,-1.35E+01,7.14E-12,,7.14E-11
-2.04E-11,-1.30E+01,6.96E-12,,6.96E-11
-1.73E-11,-1.25E+01,6.78E-12,,6.78E-11
-1.27E-11,-1.20E+01,6.68E-12,,6.68E-11
-1.07E-11,-1.15E+01,6.53E-12,,6.53E-11
-7.61E-12,-1.10E+01,6.42E-12,,6.42E-11
-2.78E-12,-1.05E+01,6.39E-12,,6.39E-11
-4.66E-12,-1.00E+01,6.30E-12,,6.30E-11
8.12E-14,-9.50E+00,6.19E-12,,6.19E-11
-1.19E-12,-9.00E+00,6.08E-12,,6.08E-11
1.32E-13,-8.50E+00,6.04E-12,,6.04E-11
1.25E-12,-8.00E+00,6.04E-12,,6.04E-11
2.63E-12,-7.50E+00,5.93E-12,,5.93E-11
-1.66E-12,-7.00E+00,5.92E-12,,5.92E-11
-1.10E-13,-6.50E+00,5.83E-12,,5.83E-11
2.71E-12,-6.00E+00,5.89E-12,,5.89E-11
1.69E-12,-5.50E+00,5.81E-12,,5.81E-11
2.78E-12,-5.00E+00,5.76E-12,,5.76E-11
1.19E-12,-4.50E+00,5.84E-12,,5.84E-11
2.45E-12,-4.00E+00,5.71E-12,,5.71E-11
8.88E-13,-3.50E+00,5.79E-12,,5.79E-11
1.98E-12,-3.00E+00,5.74E-12,,5.74E-11
6.03E-12,-2.50E+00,5.77E-12,,5.77E-11
3.74E-12,-2.00E+00,5.81E-12,,5.81E-11
8.64E-12,-1.50E+00,5.74E-12,,5.74E-11
4.98E-12,-1.00E+00,5.81E-12,,5.81E-11
8.40E-12,-5.00E-01,6.39E-12,,6.39E-11
7.76E-11,0.00E+00,1.03E-09,,1.03E-08
2.19E-09,5.00E-01,8.13E-09,,8.13E-08
8.26E-09,1.00E+00,2.39E-08,,2.39E-07
1.89E-08,1.50E+00,5.04E-08,,5.04E-07
3.50E-08,2.00E+00,8.96E-08,,8.96E-07
5.53E-08,2.50E+00,1.43E-07,,1.43E-06
9.07E-08,3.00E+00,2.10E-07,,2.10E-06
1.31E-07,3.50E+00,2.97E-07,,2.97E-06
1.80E-07,4.00E+00,4.01E-07,,4.01E-06
2.39E-07,4.50E+00,5.26E-07,,5.26E-06
3.08E-07,5.00E+00,6.71E-07,,6.71E-06
3.88E-07,5.50E+00,8.36E-07,,8.36E-06
4.73E-07,6.00E+00,1.02E-06,,1.02E-05
5.82E-07,6.50E+00,1.23E-06,,1.23E-05
6.98E-07,7.00E+00,1.46E-06,,1.46E-05
8.18E-07,7.50E+00,1.71E-06,,1.71E-05
9.65E-07,8.00E+00,1.99E-06,,1.99E-05
1.12E-06,8.50E+00,2.30E-06,,2.30E-05
1.29E-06,9.00E+00,2.63E-06,,2.63E-05
1.48E-06,9.50E+00,2.99E-06,,2.99E-05
1.67E-06,1.00E+01,3.37E-06,,3.37E-05
1.87E-06,1.05E+01,3.76E-06,,3.76E-05
2.09E-06,1.10E+01,4.18E-06,,4.18E-05
2.33E-06,1.15E+01,4.63E-06,,4.63E-05
2.58E-06,1.20E+01,5.11E-06,,5.11E-05
2.87E-06,1.25E+01,5.66E-06,,5.66E-05
3.17E-06,1.30E+01,6.23E-06,,6.23E-05
3.47E-06,1.35E+01,6.80E-06,,6.80E-05
3.80E-06,1.40E+01,7.42E-06,,7.42E-05
4.14E-06,1.45E+01,8.05E-06,,8.05E-05
4.52E-06,1.50E+01,8.76E-06,,8.76E-05
4.85E-06,1.55E+01,9.39E-06,,9.39E-05
5.21E-06,1.60E+01,1.01E-05,,1.01E-04
5.51E-06,1.65E+01,1.06E-05,,1.06E-04
