GateI,GateV,DrainI
53.8000E-12,-20.0000E+0,49.4830E-12
53.5680E-12,-19.5000E+0,40.5406E-12
56.3823E-12,-19.0000E+0,34.7557E-12
58.7024E-12,-18.5000E+0,30.6694E-12
52.7611E-12,-18.0000E+0,27.7842E-12
52.9225E-12,-17.5000E+0,25.2377E-12
52.5593E-12,-17.0000E+0,23.2794E-12
54.9802E-12,-16.5000E+0,21.8290E-12
60.0238E-12,-16.0000E+0,20.3370E-12
59.3076E-12,-15.5000E+0,19.2940E-12
60.3566E-12,-15.0000E+0,18.3104E-12
61.9101E-12,-14.5000E+0,17.2082E-12
63.2920E-12,-14.0000E+0,16.4038E-12
61.7587E-12,-13.5000E+0,15.6945E-12
64.7344E-12,-13.0000E+0,14.9761E-12
64.4419E-12,-12.5000E+0,14.4832E-12
66.7014E-12,-12.0000E+0,13.7804E-12
64.7950E-12,-11.5000E+0,13.4212E-12
66.7619E-12,-11.0000E+0,12.8701E-12
64.4016E-12,-10.5000E+0,12.5426E-12
64.5529E-12,-10.0000E+0,12.1065E-12
65.7633E-12,-9.5000E+0,11.7604E-12
70.0100E-12,-9.0000E+0,11.4052E-12
65.4204E-12,-8.5000E+0,11.2851E-12
67.0545E-12,-8.0000E+0,10.9545E-12
66.7014E-12,-7.5000E+0,10.4994E-12
68.8701E-12,-7.0000E+0,10.4441E-12
68.2044E-12,-6.5000E+0,9.9975E-12
66.4291E-12,-6.0000E+0,9.7991E-12
69.5863E-12,-5.5000E+0,9.6378E-12
66.3383E-12,-5.0000E+0,9.3771E-12
68.2952E-12,-4.5000E+0,9.1048E-12
73.3488E-12,-4.0000E+0,8.9259E-12
73.8834E-12,-3.5000E+0,8.7707E-12
69.8990E-12,-3.0000E+0,8.6391E-12
69.4855E-12,-2.5000E+0,8.5697E-12
71.6239E-12,-2.0000E+0,8.4185E-12
72.6125E-12,-1.5000E+0,8.1427E-12
72.7739E-12,-1.0000E+0,8.1910E-12
71.5231E-12,-500.0000E-3,7.9483E-12
73.0563E-12,000.0000E-3,13.3499E-12
70.4841E-12,500.0000E-3,147.4825E-12
76.4254E-12,1.0000E+0,897.5449E-12
75.4772E-12,1.5000E+0,2.9401E-9
76.5565E-12,2.0000E+0,6.9044E-9
