GateI,GateV,DrainI
5.2673E-9,-40.0000E+0,105.6596E-12
5.9783E-9,-39.8000E+0,96.9549E-12
3.2944E-9,-39.6000E+0,84.1778E-12
4.2640E-9,-39.4000E+0,83.5161E-12
5.4015E-9,-39.2000E+0,77.2039E-12
4.5877E-9,-39.0000E+0,75.9822E-12
4.1667E-9,-38.8000E+0,68.2447E-12
458.3281E-12,-38.6000E+0,66.4630E-12
5.7811E-9,-38.4000E+0,68.1429E-12
4.5579E-9,-38.2000E+0,65.1395E-12
2.8674E-9,-38.0000E+0,61.0671E-12
6.1300E-9,-37.8000E+0,59.9472E-12
7.3855E-9,-37.6000E+0,57.9619E-12
5.0939E-9,-37.4000E+0,59.2345E-12
5.9576E-9,-37.2000E+0,51.6497E-12
5.1806E-9,-37.0000E+0,52.6678E-12
5.6107E-9,-36.8000E+0,54.4495E-12
5.6324E-9,-36.6000E+0,49.3590E-12
5.3929E-9,-36.4000E+0,48.4427E-12
5.6858E-9,-36.2000E+0,49.3590E-12
5.2588E-9,-36.0000E+0,48.2391E-12
2.3707E-9,-35.8000E+0,49.6645E-12
5.1665E-9,-35.6000E+0,48.5955E-12
5.3657E-9,-35.4000E+0,47.3228E-12
6.3221E-9,-35.2000E+0,47.6283E-12
6.1250E-9,-35.0000E+0,42.2324E-12
5.8830E-9,-34.8000E+0,44.6758E-12
5.2290E-9,-34.6000E+0,44.3704E-12
4.7420E-9,-34.4000E+0,44.5740E-12
5.7493E-9,-34.2000E+0,42.4869E-12
7.5327E-9,-34.0000E+0,42.7923E-12
5.3314E-9,-33.8000E+0,42.4869E-12
4.0386E-9,-33.6000E+0,40.8070E-12
5.2048E-9,-33.4000E+0,38.7199E-12
4.7692E-9,-33.2000E+0,40.1962E-12
5.6465E-9,-33.0000E+0,38.0582E-12
5.3213E-9,-32.8000E+0,38.1600E-12
5.9273E-9,-32.6000E+0,40.2980E-12
5.8088E-9,-32.4000E+0,37.1928E-12
5.4781E-9,-32.2000E+0,35.3602E-12
5.6475E-9,-32.0000E+0,35.0039E-12
7.2463E-9,-31.8000E+0,37.0401E-12
5.8109E-9,-31.6000E+0,33.0186E-12
5.1332E-9,-31.4000E+0,38.9236E-12
5.8966E-9,-31.2000E+0,36.0729E-12
4.9754E-9,-31.0000E+0,33.3241E-12
6.1633E-9,-30.8000E+0,34.5967E-12
6.1093E-9,-30.6000E+0,34.6985E-12
7.3008E-9,-30.4000E+0,30.0662E-12
5.7166E-9,-30.2000E+0,30.3207E-12
