# Date,2021-01-11 ���� 3:14
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
1.234000,-40.000000,-3.238390E-11,40.000000,3.915730E-10
3.908000,-39.500000,-2.090950E-11,40.000000,3.773760E-10
6.048000,-39.000000,-3.156670E-11,40.000000,3.769190E-10
8.189000,-38.500000,-2.090980E-11,40.000000,3.784840E-10
10.330000,-38.000000,-3.156690E-11,40.000000,3.797160E-10
12.471000,-37.500000,-2.091080E-11,40.000000,3.807420E-10
14.645000,-37.000000,-2.593070E-11,40.000000,3.816010E-10
16.785000,-36.500000,-3.156600E-11,40.000000,3.823920E-10
18.926000,-36.000000,-2.172620E-11,40.000000,3.825560E-10
21.066000,-35.500000,-3.156660E-11,40.000000,3.829860E-10
23.207000,-35.000000,-2.091050E-11,40.000000,3.834700E-10
25.346000,-34.500000,-2.090980E-11,40.000000,3.836400E-10
27.487000,-34.000000,-3.074980E-11,40.000000,3.838640E-10
29.626000,-33.500000,-2.091010E-11,40.000000,3.839850E-10
31.767000,-33.000000,-3.074910E-11,40.000000,3.843270E-10
33.907000,-32.500000,-3.156650E-11,40.000000,3.840390E-10
36.047000,-32.000000,-2.172680E-11,40.000000,3.838250E-10
38.187000,-31.500000,-3.238250E-11,40.000000,3.836890E-10
40.328000,-31.000000,-2.172720E-11,40.000000,3.836120E-10
42.468000,-30.500000,-2.580840E-11,40.000000,3.833330E-10
44.607000,-30.000000,-3.074960E-11,40.000000,3.830450E-10
46.748000,-29.500000,-2.091040E-11,40.000000,3.824820E-10
48.887000,-29.000000,-3.074880E-11,40.000000,3.822240E-10
51.028000,-28.500000,-2.829880E-11,40.000000,3.820930E-10
53.168000,-28.000000,-2.172680E-11,40.000000,3.817970E-10
55.309000,-27.500000,-3.156590E-11,40.000000,3.813680E-10
57.448000,-27.000000,-2.091040E-11,40.000000,3.808830E-10
59.588000,-26.500000,-3.238170E-11,40.000000,3.803920E-10
61.729000,-26.000000,-2.133040E-11,40.000000,3.798140E-10
63.869000,-25.500000,-2.091010E-11,40.000000,3.793350E-10
66.008000,-25.000000,-3.238260E-11,40.000000,3.788400E-10
68.149000,-24.500000,-2.009350E-11,40.000000,3.783010E-10
70.288000,-24.000000,-3.156640E-11,40.000000,3.779600E-10
72.428000,-23.500000,-2.009360E-11,40.000000,3.773210E-10
74.570000,-23.000000,-3.156660E-11,40.000000,3.767520E-10
76.709000,-22.500000,-2.090970E-11,40.000000,3.764770E-10
78.849000,-22.000000,-3.156640E-11,40.000000,3.756520E-10
80.989000,-21.500000,-2.148280E-11,40.000000,3.753710E-10
83.129000,-21.000000,-2.009280E-11,40.000000,3.749650E-10
85.270000,-20.500000,-3.238300E-11,40.000000,3.747020E-10
87.410000,-20.000000,-2.417560E-11,40.000000,3.734360E-10
89.551000,-19.500000,-3.156670E-11,40.000000,3.726830E-10
91.691000,-19.000000,-2.091020E-11,40.000000,3.718300E-10
93.830000,-18.500000,-3.238320E-11,40.000000,3.711990E-10
95.970000,-18.000000,-2.091070E-11,40.000000,3.714240E-10
98.109000,-17.500000,-3.156650E-11,40.000000,3.706900E-10
100.250000,-17.000000,-2.091030E-11,40.000000,3.697860E-10
102.389000,-16.500000,-3.156600E-11,40.000000,3.690180E-10
104.529000,-16.000000,-3.156760E-11,40.000000,3.683750E-10
106.669000,-15.500000,-2.009400E-11,40.000000,3.675600E-10
108.809000,-15.000000,-3.156690E-11,40.000000,3.670290E-10
110.950000,-14.500000,-2.091030E-11,40.000000,3.661520E-10
113.089000,-14.000000,-3.156670E-11,40.000000,3.652650E-10
115.229000,-13.500000,-2.009430E-11,40.000000,3.646040E-10
117.369000,-13.000000,-3.156570E-11,40.000000,3.639440E-10
119.510000,-12.500000,-2.080400E-11,40.000000,3.629930E-10
121.650000,-12.000000,-2.009400E-11,40.000000,3.622120E-10
123.789000,-11.500000,-3.156660E-11,40.000000,3.614880E-10
125.967000,-11.000000,-2.662730E-11,40.000000,3.606850E-10
128.107000,-10.500000,-3.156700E-11,40.000000,3.599050E-10
130.246000,-10.000000,-2.091040E-11,40.000000,3.591760E-10
132.385000,-9.500000,-3.238340E-11,40.000000,3.583890E-10
134.525000,-9.000000,-2.091060E-11,40.000000,3.576470E-10
136.665000,-8.500000,-3.156620E-11,40.000000,3.568200E-10
138.805000,-8.000000,-3.075110E-11,40.000000,3.559870E-10
140.945000,-7.500000,-2.091000E-11,40.000000,3.551640E-10
143.085000,-7.000000,-3.156700E-11,40.000000,3.544220E-10
145.225000,-6.500000,-2.009380E-11,40.000000,3.536310E-10
147.365000,-6.000000,-3.156650E-11,40.000000,3.536910E-10
149.506000,-5.500000,-2.091020E-11,40.000000,3.894480E-10
151.646000,-5.000000,-3.074900E-11,40.000000,9.857280E-10
153.937000,-4.500000,-2.009470E-11,40.000000,4.607630E-9
155.268000,-4.000000,-3.156700E-11,40.000000,1.652050E-8
156.674000,-3.500000,-2.091060E-11,40.000000,4.749640E-8
157.929000,-3.000000,-3.156590E-11,40.000000,1.226890E-7
159.206000,-2.500000,-2.091010E-11,40.000000,2.836680E-7
160.448000,-2.000000,-3.156660E-11,40.000000,5.624820E-7
161.690000,-1.500000,-2.009380E-11,40.000000,9.823070E-7
162.933000,-1.000000,-3.156660E-11,40.000000,1.559680E-6
164.192000,-0.500000,-2.091020E-11,40.000000,2.311410E-6
