# Date,2021-01-11 ���� 3:00
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
0.049000,-20.000000,-2.935460E-6,20.000000,7.747460E-7
0.129000,-19.500000,-5.627620E-7,20.000000,9.071680E-7
0.180000,-19.000000,-5.802990E-7,20.000000,8.387420E-7
0.240000,-18.500000,-7.890540E-7,20.000000,7.498280E-7
0.301000,-18.000000,-6.186670E-7,20.000000,8.723400E-7
0.365000,-17.500000,-5.608270E-7,20.000000,7.206650E-7
0.414000,-17.000000,-5.285000E-7,20.000000,6.892470E-7
0.501000,-16.500000,-4.655960E-7,20.000000,5.643220E-7
0.547000,-16.000000,-4.323210E-7,20.000000,4.436130E-7
0.614000,-15.500000,-3.421080E-7,20.000000,4.188420E-7
0.672000,-15.000000,-3.350390E-7,20.000000,3.487220E-7
0.769000,-14.500000,-3.303570E-7,20.000000,3.597380E-7
0.827000,-14.000000,-2.836260E-7,20.000000,3.119140E-7
0.914000,-13.500000,-2.302600E-7,20.000000,2.986140E-7
0.975000,-13.000000,-2.350240E-7,20.000000,2.481540E-7
1.041000,-12.500000,-1.880620E-7,20.000000,2.245150E-7
1.128000,-12.000000,-1.720070E-7,20.000000,2.028780E-7
1.190000,-11.500000,-1.685040E-7,20.000000,1.939780E-7
1.242000,-11.000000,-1.419540E-7,20.000000,1.647950E-7
1.304000,-10.500000,-1.252010E-7,20.000000,1.453090E-7
1.347000,-10.000000,-1.085750E-7,20.000000,1.318080E-7
1.395000,-9.500000,-1.051530E-7,20.000000,1.175850E-7
1.693000,-9.000000,-1.183170E-9,20.000000,1.020830E-7
1.923000,-8.500000,-1.066910E-9,20.000000,9.127930E-8
3.549000,-8.000000,-4.870060E-10,20.000000,6.636470E-8
4.503000,-7.500000,-4.978740E-10,20.000000,6.834990E-8
5.457000,-7.000000,-4.877430E-10,20.000000,6.390580E-8
6.411000,-6.500000,-4.509730E-10,20.000000,4.879360E-8
7.366000,-6.000000,-4.309610E-10,20.000000,4.195860E-8
8.319000,-5.500000,-4.269580E-10,20.000000,3.830260E-8
9.273000,-5.000000,-4.139960E-10,20.000000,3.088190E-8
10.228000,-4.500000,-4.082920E-10,20.000000,2.885810E-8
11.184000,-4.000000,-3.962530E-10,20.000000,2.717910E-8
12.137000,-3.500000,-3.929540E-10,20.000000,2.188300E-8
13.092000,-3.000000,-3.883150E-10,20.000000,1.851790E-8
14.048000,-2.500000,-3.853840E-10,20.000000,1.996760E-8
15.003000,-2.000000,-3.768930E-10,20.000000,2.340390E-8
15.957000,-1.500000,-3.771310E-10,20.000000,4.105410E-8
16.911000,-1.000000,-3.722950E-10,20.000000,8.372090E-8
17.865000,-0.500000,-3.661210E-10,20.000000,1.545800E-7
18.839000,0.000000,-3.694070E-10,20.000000,2.540410E-7
19.782000,0.500000,-3.606240E-10,20.000000,4.391350E-7
20.725000,1.000000,-3.616540E-10,20.000000,6.291950E-7
21.667000,1.500000,-3.532970E-10,20.000000,9.201510E-7
22.610000,2.000000,-3.453480E-10,20.000000,1.084890E-6
23.570000,2.500000,-3.480590E-10,20.000000,1.199870E-6
24.510000,3.000000,-3.466600E-10,20.000000,1.094730E-6
25.449000,3.500000,-3.492340E-10,20.000000,8.789110E-7
26.409000,4.000000,-3.472190E-10,20.000000,9.100410E-7
27.350000,4.500000,-3.495650E-10,20.000000,7.736310E-7
28.294000,5.000000,-3.456490E-10,20.000000,7.783280E-7
29.236000,5.500000,-3.508050E-10,20.000000,7.929570E-7
30.177000,6.000000,-3.439400E-10,20.000000,9.074860E-7
31.120000,6.500000,-3.425660E-10,20.000000,8.779670E-7
32.063000,7.000000,-3.448540E-10,20.000000,8.850140E-7
33.007000,7.500000,-3.437140E-10,20.000000,8.646100E-7
33.951000,8.000000,-3.384160E-10,20.000000,8.743840E-7
34.892000,8.500000,-3.396290E-10,20.000000,9.102650E-7
35.834000,9.000000,-3.424570E-10,20.000000,8.797070E-7
36.776000,9.500000,-3.399250E-10,20.000000,8.701680E-7
37.717000,10.000000,-3.408960E-10,20.000000,8.559840E-7
38.660000,10.500000,-3.427480E-10,20.000000,8.836290E-7
39.602000,11.000000,-3.381700E-10,20.000000,8.553230E-7
40.544000,11.500000,-3.417860E-10,20.000000,8.284860E-7
41.486000,12.000000,-3.388480E-10,20.000000,9.006770E-7
42.428000,12.500000,-3.419630E-10,20.000000,8.503930E-7
43.370000,13.000000,-3.363600E-10,20.000000,7.879280E-7
44.311000,13.500000,-3.364550E-10,20.000000,8.423990E-7
45.256000,14.000000,-3.373860E-10,20.000000,8.512860E-7
46.198000,14.500000,-3.381820E-10,20.000000,9.045670E-7
47.143000,15.000000,-3.389760E-10,20.000000,8.396890E-7
48.084000,15.500000,-3.395340E-10,20.000000,8.758840E-7
49.027000,16.000000,-3.382820E-10,20.000000,7.903060E-7
49.968000,16.500000,-3.346230E-10,20.000000,9.712310E-7
50.910000,17.000000,-3.354900E-10,20.000000,9.725070E-7
51.851000,17.500000,-3.379640E-10,20.000000,8.594810E-7
52.793000,18.000000,-3.393300E-10,20.000000,8.429030E-7
53.746000,18.500000,-3.354710E-10,20.000000,9.116370E-7
54.687000,19.000000,-3.335090E-10,20.000000,8.616940E-7
55.628000,19.500000,-3.309660E-10,20.000000,8.464720E-7
56.570000,20.000000,-3.141760E-10,20.000000,8.431140E-7
