# Date,2021-01-11 ¿ÀÈÄ 3:18
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
1.565000,-20.000000,-3.425890E-10,20.000000,2.357130E-10
3.940000,-19.500000,-3.335310E-10,20.000000,1.982410E-10
5.782000,-19.000000,-3.391220E-10,20.000000,1.877930E-10
7.622000,-18.500000,-3.344650E-10,20.000000,1.844390E-10
9.462000,-18.000000,-3.423720E-10,20.000000,1.834620E-10
11.301000,-17.500000,-3.355520E-10,20.000000,1.831720E-10
13.142000,-17.000000,-3.390040E-10,20.000000,1.833800E-10
14.982000,-16.500000,-3.403880E-10,20.000000,1.837450E-10
16.823000,-16.000000,-3.363210E-10,20.000000,1.841860E-10
18.663000,-15.500000,-3.418400E-10,20.000000,1.845270E-10
20.503000,-15.000000,-3.358800E-10,20.000000,1.849840E-10
22.342000,-14.500000,-3.401580E-10,20.000000,1.852930E-10
24.182000,-14.000000,-3.397380E-10,20.000000,1.857120E-10
26.023000,-13.500000,-3.422730E-10,20.000000,1.858410E-10
27.862000,-13.000000,-3.394090E-10,20.000000,1.859960E-10
29.702000,-12.500000,-3.366170E-10,20.000000,1.861710E-10
31.542000,-12.000000,-3.390570E-10,20.000000,1.863100E-10
33.382000,-11.500000,-3.372440E-10,20.000000,1.864610E-10
35.222000,-11.000000,-3.382690E-10,20.000000,1.867480E-10
37.061000,-10.500000,-3.385080E-10,20.000000,1.868020E-10
38.901000,-10.000000,-3.384420E-10,20.000000,1.868060E-10
40.742000,-9.500000,-3.394800E-10,20.000000,1.868710E-10
42.583000,-9.000000,-3.416770E-10,20.000000,1.870860E-10
44.424000,-8.500000,-3.384000E-10,20.000000,1.869140E-10
46.263000,-8.000000,-3.394970E-10,20.000000,1.868890E-10
48.102000,-7.500000,-3.410580E-10,20.000000,1.871170E-10
49.943000,-7.000000,-3.371610E-10,20.000000,1.870990E-10
51.784000,-6.500000,-3.419140E-10,20.000000,1.870080E-10
53.624000,-6.000000,-3.417560E-10,20.000000,1.874170E-10
55.463000,-5.500000,-3.367380E-10,20.000000,2.113910E-10
57.303000,-5.000000,-3.411940E-10,20.000000,7.401710E-10
59.145000,-4.500000,-3.348740E-10,20.000000,3.956040E-9
61.136000,-4.000000,-3.401100E-10,20.000000,1.530010E-8
62.244000,-3.500000,-3.358210E-10,20.000000,4.478470E-8
63.198000,-3.000000,-3.362710E-10,20.000000,1.157860E-7
64.172000,-2.500000,-3.368950E-10,20.000000,2.706550E-7
65.116000,-2.000000,-3.365180E-10,20.000000,5.431370E-7
66.058000,-1.500000,-3.394390E-10,20.000000,9.576900E-7
67.000000,-1.000000,-3.363730E-10,20.000000,1.531690E-6
67.960000,-0.500000,-3.395020E-10,20.000000,2.282320E-6
68.900000,0.000000,-3.324190E-10,20.000000,3.225430E-6
69.841000,0.500000,-3.356530E-10,20.000000,4.377920E-6
70.782000,1.000000,-3.265560E-10,20.000000,5.755620E-6
71.723000,1.500000,-3.146420E-10,20.000000,7.372730E-6
72.663000,2.000000,-2.885390E-10,20.000000,9.242520E-6
73.605000,2.500000,-2.507010E-10,20.000000,1.137070E-5
74.564000,3.000000,-2.016920E-10,20.000000,1.378940E-5
75.503000,3.500000,-1.389930E-10,20.000000,1.650180E-5
78.160000,4.000000,3.188370E-13,20.000000,1.931860E-5
79.400000,4.500000,-3.806310E-12,20.000000,2.262650E-5
80.641000,5.000000,1.419500E-11,20.000000,2.626050E-5
81.881000,5.500000,1.746370E-11,20.000000,3.023530E-5
83.122000,6.000000,2.313440E-11,20.000000,3.457080E-5
84.362000,6.500000,4.848500E-11,20.000000,3.926950E-5
85.603000,7.000000,6.068820E-11,20.000000,4.435100E-5
88.259000,7.500000,8.652400E-10,20.000000,4.952400E-5
89.351000,8.000000,4.529170E-9,20.000000,5.544690E-5
89.481000,8.500000,5.850930E-9,20.000000,6.207820E-5
89.610000,9.000000,7.014780E-9,20.000000,6.917640E-5
89.739000,9.500000,8.127830E-9,20.000000,7.674830E-5
89.945000,10.000000,8.113660E-8,20.000000,8.474940E-5
90.036000,10.500000,1.571700E-6,20.000000,9.335790E-5
90.075000,11.000000,1.825160E-6,20.000000,1.025220E-4
90.141000,11.500000,2.060440E-6,20.000000,1.122220E-4
90.191000,12.000000,2.316310E-6,20.000000,1.224560E-4
90.236000,12.500000,2.592500E-6,20.000000,1.332320E-4
90.283000,13.000000,2.887920E-6,20.000000,1.445470E-4
90.346000,13.500000,3.203230E-6,20.000000,1.563860E-4
90.394000,14.000000,3.542460E-6,20.000000,1.688130E-4
90.444000,14.500000,3.905250E-6,20.000000,1.817860E-4
90.491000,15.000000,4.291110E-6,20.000000,1.953430E-4
90.538000,15.500000,4.701670E-6,20.000000,2.094460E-4
90.588000,16.000000,5.135900E-6,20.000000,2.241050E-4
90.635000,16.500000,5.598180E-6,20.000000,2.393490E-4
90.682000,17.000000,6.086250E-6,20.000000,2.551460E-4
90.731000,17.500000,6.600300E-6,20.000000,2.715000E-4
90.781000,18.000000,7.140250E-6,20.000000,2.884150E-4
90.828000,18.500000,7.714490E-6,20.000000,3.058910E-4
90.875000,19.000000,8.318950E-6,20.000000,3.239310E-4
90.941000,19.500000,8.948610E-6,20.000000,3.424100E-4
90.988000,20.000000,9.615790E-6,20.000000,3.615510E-4
