# Date,2021-01-11 ���� 3:36
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
0.069000,-40.000000,-2.935260E-7,40.000000,1.081040E-8
0.209000,-39.500000,-2.170500E-7,40.000000,7.887770E-9
0.425000,-39.000000,-1.948580E-7,40.000000,7.869830E-9
0.556000,-38.500000,-1.925710E-7,40.000000,7.879010E-9
0.687000,-38.000000,-1.919290E-7,40.000000,7.906770E-9
0.819000,-37.500000,-1.765450E-7,40.000000,7.904510E-9
0.951000,-37.000000,-1.709640E-7,40.000000,7.914300E-9
1.082000,-36.500000,-1.732050E-7,40.000000,7.941410E-9
1.214000,-36.000000,-1.631910E-7,40.000000,7.926970E-9
1.347000,-35.500000,-1.541640E-7,40.000000,7.934980E-9
1.481000,-35.000000,-1.465790E-7,40.000000,7.947050E-9
1.616000,-34.500000,-1.505130E-7,40.000000,7.943650E-9
1.748000,-34.000000,-1.312770E-7,40.000000,7.955440E-9
1.878000,-33.500000,-1.210360E-7,40.000000,7.965510E-9
2.009000,-33.000000,-1.164130E-7,40.000000,7.966800E-9
2.141000,-32.500000,-1.232030E-7,40.000000,7.975840E-9
2.272000,-32.000000,-1.133210E-7,40.000000,7.984180E-9
2.403000,-31.500000,-1.084520E-7,40.000000,7.988190E-9
2.535000,-31.000000,-1.021270E-7,40.000000,8.009750E-9
2.666000,-30.500000,-1.270070E-7,40.000000,8.004330E-9
4.443000,-30.000000,-5.768270E-10,40.000000,8.101410E-9
5.476000,-29.500000,-5.694910E-10,40.000000,8.164630E-9
6.505000,-29.000000,-5.643320E-10,40.000000,8.197980E-9
7.536000,-28.500000,-5.517080E-10,40.000000,8.182920E-9
8.567000,-28.000000,-5.566930E-10,40.000000,8.192050E-9
9.597000,-27.500000,-5.400370E-10,40.000000,8.255610E-9
10.628000,-27.000000,-5.259890E-10,40.000000,8.246780E-9
11.658000,-26.500000,-5.223980E-10,40.000000,8.242860E-9
12.690000,-26.000000,-5.216700E-10,40.000000,8.292490E-9
13.720000,-25.500000,-5.210980E-10,40.000000,8.316630E-9
14.753000,-25.000000,-5.067850E-10,40.000000,8.345810E-9
15.781000,-24.500000,-5.086480E-10,40.000000,8.340010E-9
16.812000,-24.000000,-5.018650E-10,40.000000,8.381240E-9
17.842000,-23.500000,-4.916270E-10,40.000000,8.380570E-9
18.873000,-23.000000,-4.837690E-10,40.000000,8.407640E-9
19.901000,-22.500000,-4.721560E-10,40.000000,8.390180E-9
20.932000,-22.000000,-4.739380E-10,40.000000,8.408900E-9
21.962000,-21.500000,-4.668210E-10,40.000000,8.447420E-9
22.992000,-21.000000,-4.504630E-10,40.000000,8.455280E-9
24.022000,-20.500000,-4.528890E-10,40.000000,8.459470E-9
25.054000,-20.000000,-4.503980E-10,40.000000,8.459700E-9
26.084000,-19.500000,-4.535190E-10,40.000000,8.479610E-9
27.114000,-19.000000,-4.493810E-10,40.000000,8.482750E-9
28.142000,-18.500000,-4.452350E-10,40.000000,8.484580E-9
29.172000,-18.000000,-4.373720E-10,40.000000,8.497660E-9
30.201000,-17.500000,-4.384500E-10,40.000000,8.511890E-9
31.230000,-17.000000,-4.271270E-10,40.000000,8.528430E-9
32.260000,-16.500000,-4.238100E-10,40.000000,8.546660E-9
33.291000,-16.000000,-4.175510E-10,40.000000,8.544320E-9
34.321000,-15.500000,-4.229600E-10,40.000000,8.623800E-9
35.350000,-15.000000,-4.187290E-10,40.000000,8.620270E-9
36.381000,-14.500000,-4.152860E-10,40.000000,8.583060E-9
37.412000,-14.000000,-4.087440E-10,40.000000,8.565860E-9
38.444000,-13.500000,-4.122460E-10,40.000000,8.606870E-9
39.474000,-13.000000,-4.079130E-10,40.000000,8.593810E-9
40.503000,-12.500000,-4.070100E-10,40.000000,8.583380E-9
41.533000,-12.000000,-3.998250E-10,40.000000,8.629660E-9
42.563000,-11.500000,-4.001200E-10,40.000000,8.627720E-9
43.593000,-11.000000,-3.998830E-10,40.000000,8.642270E-9
44.622000,-10.500000,-3.993430E-10,40.000000,8.652070E-9
45.653000,-10.000000,-3.989470E-10,40.000000,8.645690E-9
46.682000,-9.500000,-3.975780E-10,40.000000,8.662980E-9
47.713000,-9.000000,-3.953290E-10,40.000000,8.658610E-9
48.743000,-8.500000,-3.944770E-10,40.000000,8.666400E-9
49.771000,-8.000000,-3.935950E-10,40.000000,8.668720E-9
50.802000,-7.500000,-3.930260E-10,40.000000,8.671650E-9
51.830000,-7.000000,-3.911280E-10,40.000000,8.675660E-9
52.862000,-6.500000,-3.912650E-10,40.000000,8.648580E-9
53.893000,-6.000000,-3.911900E-10,40.000000,8.644100E-9
54.922000,-5.500000,-3.890770E-10,40.000000,8.661080E-9
55.952000,-5.000000,-3.907620E-10,40.000000,8.915740E-9
56.981000,-4.500000,-3.888510E-10,40.000000,1.296640E-8
58.087000,-4.000000,-3.889570E-10,40.000000,3.792120E-8
59.044000,-3.500000,-3.871960E-10,40.000000,1.399400E-7
60.018000,-3.000000,-3.862560E-10,40.000000,4.041770E-7
60.960000,-2.500000,-3.874640E-10,40.000000,8.923800E-7
61.904000,-2.000000,-3.867410E-10,40.000000,1.653370E-6
62.865000,-1.500000,-3.860810E-10,40.000000,2.722200E-6
63.806000,-1.000000,-3.844060E-10,40.000000,4.132030E-6
64.747000,-0.500000,-3.757140E-10,40.000000,5.895460E-6
65.688000,0.000000,-3.558430E-10,40.000000,8.004240E-6
66.629000,0.500000,-3.217050E-10,40.000000,1.043840E-5
67.586000,1.000000,-2.724610E-10,40.000000,1.318830E-5
68.526000,1.500000,-2.029850E-10,40.000000,1.624480E-5
69.465000,2.000000,-1.104600E-10,40.000000,1.961850E-5
72.123000,2.500000,3.585590E-12,40.000000,2.295490E-5
73.363000,3.000000,7.666700E-12,40.000000,2.696170E-5
