# Date,2021-01-11 ���� 3:22
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
0.030000,-20.000000,-2.086260E-6,20.000000,5.254770E-7
0.113000,-19.500000,-7.101480E-7,20.000000,5.256180E-7
0.164000,-19.000000,-7.116850E-7,20.000000,5.267750E-7
0.209000,-18.500000,-7.404240E-7,20.000000,5.276010E-7
0.257000,-18.000000,-7.404160E-7,20.000000,5.282190E-7
0.322000,-17.500000,-7.213000E-7,20.000000,5.289910E-7
0.367000,-17.000000,-7.147120E-7,20.000000,5.295170E-7
0.432000,-16.500000,-7.164970E-7,20.000000,5.302460E-7
0.480000,-16.000000,-7.172090E-7,20.000000,5.307390E-7
0.552000,-15.500000,-7.174340E-7,20.000000,5.315010E-7
0.603000,-15.000000,-7.184330E-7,20.000000,5.319780E-7
0.685000,-14.500000,-7.196490E-7,20.000000,5.327300E-7
0.796000,-14.000000,-7.214230E-7,20.000000,5.335920E-7
0.856000,-13.500000,-7.488790E-7,20.000000,5.340130E-7
0.941000,-13.000000,-7.488840E-7,20.000000,5.345730E-7
1.004000,-12.500000,-7.224250E-7,20.000000,5.350350E-7
1.066000,-12.000000,-7.214470E-7,20.000000,5.354000E-7
1.152000,-11.500000,-7.239710E-7,20.000000,5.359720E-7
1.216000,-11.000000,-7.227650E-7,20.000000,5.363380E-7
1.300000,-10.500000,-7.228680E-7,20.000000,5.368260E-7
1.358000,-10.000000,-7.531140E-7,20.000000,5.370940E-7
1.441000,-9.500000,-7.531140E-7,20.000000,5.375200E-7
1.489000,-9.000000,-7.531090E-7,20.000000,5.377880E-7
1.540000,-8.500000,-7.531120E-7,20.000000,5.380010E-7
1.609000,-8.000000,-7.531150E-7,20.000000,5.383330E-7
1.658000,-7.500000,-7.552290E-7,20.000000,5.386540E-7
1.708000,-7.000000,-7.552290E-7,20.000000,5.475140E-7
1.778000,-6.500000,-7.282730E-7,20.000000,6.272180E-7
1.827000,-6.000000,-7.270870E-7,20.000000,8.853930E-7
1.885000,-5.500000,-7.286390E-7,20.000000,1.412880E-6
1.959000,-5.000000,-7.552280E-7,20.000000,2.297290E-6
2.006000,-4.500000,-7.552260E-7,20.000000,3.606570E-6
2.056000,-4.000000,-7.552250E-7,20.000000,5.405420E-6
2.103000,-3.500000,-7.264500E-7,20.000000,7.758900E-6
2.153000,-3.000000,-7.215370E-7,20.000000,1.070590E-5
2.218000,-2.500000,-7.101740E-7,20.000000,1.434750E-5
2.266000,-2.000000,-6.858310E-7,20.000000,1.870270E-5
2.310000,-1.500000,-6.790820E-7,20.000000,2.384620E-5
2.380000,-1.000000,-5.985280E-7,20.000000,2.977520E-5
2.427000,-0.500000,-5.295440E-7,20.000000,3.660430E-5
2.479000,0.000000,-4.423010E-7,20.000000,4.433260E-5
2.526000,0.500000,-3.230780E-7,20.000000,5.302480E-5
2.576000,1.000000,-1.495540E-7,20.000000,6.270420E-5
4.588000,1.500000,-2.666620E-11,20.000000,7.142530E-5
5.826000,2.000000,1.578680E-11,20.000000,8.259250E-5
8.484000,2.500000,8.774160E-10,20.000000,9.455450E-5
9.575000,3.000000,6.691120E-9,20.000000,1.081170E-4
9.799000,3.500000,8.502740E-8,20.000000,1.231360E-4
9.894000,4.000000,1.893510E-6,20.000000,1.394390E-4
9.933000,4.500000,2.460970E-6,20.000000,1.570880E-4
9.981000,5.000000,3.055980E-6,20.000000,1.759890E-4
10.034000,5.500000,3.709770E-6,20.000000,1.961950E-4
10.086000,6.000000,4.430290E-6,20.000000,2.177580E-4
10.135000,6.500000,5.217170E-6,20.000000,2.406830E-4
10.187000,7.000000,6.072490E-6,20.000000,2.649930E-4
10.257000,7.500000,6.997360E-6,20.000000,2.906520E-4
10.307000,8.000000,7.998480E-6,20.000000,3.177990E-4
10.367000,8.500000,9.072570E-6,20.000000,3.463260E-4
10.435000,9.000000,1.020310E-5,20.000000,3.762550E-4
10.490000,9.500000,1.146990E-5,20.000000,4.077170E-4
10.539000,10.000000,1.278490E-5,20.000000,4.406570E-4
10.591000,10.500000,1.418280E-5,20.000000,4.750460E-4
10.643000,11.000000,1.566540E-5,20.000000,5.108360E-4
10.690000,11.500000,1.723590E-5,20.000000,5.480930E-4
10.740000,12.000000,1.889620E-5,20.000000,5.867810E-4
10.788000,12.500000,2.064090E-5,20.000000,6.268720E-4
10.836000,13.000000,2.248500E-5,20.000000,6.683520E-4
10.899000,13.500000,2.441630E-5,20.000000,7.110810E-4
10.947000,14.000000,2.645310E-5,20.000000,7.553100E-4
10.999000,14.500000,2.858320E-5,20.000000,8.008130E-4
11.046000,15.000000,3.082260E-5,20.000000,8.477330E-4
11.111000,15.500000,3.315480E-5,20.000000,8.956760E-4
11.158000,16.000000,3.560950E-5,20.000000,9.451130E-4
11.205000,16.500000,3.818050E-5,20.000000,9.958290E-4
11.253000,17.000000,4.086980E-5,20.000000,1.046670E-3
11.318000,17.500000,4.368150E-5,20.000000,1.099750E-3
11.366000,18.000000,4.662840E-5,20.000000,1.154010E-3
11.416000,18.500000,4.970630E-5,20.000000,1.209270E-3
11.463000,19.000000,5.293070E-5,20.000000,1.265700E-3
11.531000,19.500000,5.627330E-5,20.000000,1.322920E-3
11.578000,20.000000,5.980100E-5,20.000000,1.381460E-3
