GateI,GateV,DrainI
-9.1278E-9,-20.0000E+0,3.7695E-9
-9.1444E-9,-19.5000E+0,3.7671E-9
-9.1661E-9,-19.0000E+0,3.7656E-9
-9.1872E-9,-18.5000E+0,3.7707E-9
-9.2094E-9,-18.0000E+0,3.7762E-9
-9.2214E-9,-17.5000E+0,3.7817E-9
-9.2387E-9,-17.0000E+0,3.7857E-9
-9.2615E-9,-16.5000E+0,3.7956E-9
-9.2757E-9,-16.0000E+0,3.8019E-9
-9.2993E-9,-15.5000E+0,3.8124E-9
-9.3090E-9,-15.0000E+0,3.8189E-9
-9.3211E-9,-14.5000E+0,3.8267E-9
-9.3407E-9,-14.0000E+0,3.8344E-9
-9.3541E-9,-13.5000E+0,3.8445E-9
-9.3653E-9,-13.0000E+0,3.8506E-9
-9.3813E-9,-12.5000E+0,3.8612E-9
-9.3989E-9,-12.0000E+0,3.8674E-9
-9.4109E-9,-11.5000E+0,3.8768E-9
-9.4217E-9,-11.0000E+0,3.8825E-9
-9.4335E-9,-10.5000E+0,3.8927E-9
-9.4459E-9,-10.0000E+0,3.9005E-9
-9.4670E-9,-9.5000E+0,3.9111E-9
-9.4778E-9,-9.0000E+0,3.9172E-9
-9.4888E-9,-8.5000E+0,3.9251E-9
-9.4997E-9,-8.0000E+0,3.9305E-9
-9.5161E-9,-7.5000E+0,3.9393E-9
-9.5245E-9,-7.0000E+0,3.9523E-9
-9.5378E-9,-6.5000E+0,4.2195E-9
-9.5490E-9,-6.0000E+0,7.8567E-9
-9.5686E-9,-5.5000E+0,24.9961E-9
-9.5794E-9,-5.0000E+0,68.7669E-9
-9.5880E-9,-4.5000E+0,158.4396E-9
-9.5952E-9,-4.0000E+0,291.7149E-9
-9.6147E-9,-3.5000E+0,483.9382E-9
-9.6243E-9,-3.0000E+0,743.9812E-9
-9.6536E-9,-2.5000E+0,1.0598E-6
-9.6635E-9,-2.0000E+0,1.4893E-6
-9.6741E-9,-1.5000E+0,2.0137E-6
-9.6909E-9,-1.0000E+0,2.6476E-6
-9.4210E-9,-500.0000E-3,3.4120E-6
-5.6302E-9,000.0000E-3,4.3404E-6
8.9982E-9,500.0000E-3,5.4490E-6
40.2914E-9,1.0000E+0,6.7507E-6
92.9859E-9,1.5000E+0,8.2587E-6
167.3017E-9,2.0000E+0,9.9467E-6
269.7350E-9,2.5000E+0,11.9259E-6
400.7948E-9,3.0000E+0,14.1393E-6
564.7403E-9,3.5000E+0,16.5999E-6
763.3614E-9,4.0000E+0,19.3153E-6
993.1890E-9,4.5000E+0,22.1791E-6
