GateI,GateV,DrainI
14.9980E-12,-20.0000E+0,132.5293E-12
19.6578E-12,-19.5000E+0,116.4612E-12
26.6879E-12,-19.0000E+0,104.7642E-12
28.6648E-12,-18.5000E+0,95.2730E-12
32.4674E-12,-18.0000E+0,89.2323E-12
34.8074E-12,-17.5000E+0,83.1410E-12
35.9875E-12,-17.0000E+0,78.8710E-12
41.3029E-12,-16.5000E+0,74.4189E-12
40.0421E-12,-16.0000E+0,71.5047E-12
39.9614E-12,-15.5000E+0,67.9633E-12
44.2884E-12,-15.0000E+0,65.3122E-12
43.7942E-12,-14.5000E+0,62.9445E-12
44.4902E-12,-14.0000E+0,60.5363E-12
49.6947E-12,-13.5000E+0,58.4519E-12
45.1357E-12,-13.0000E+0,57.3287E-12
46.7797E-12,-12.5000E+0,56.0842E-12
48.3633E-12,-12.0000E+0,54.4551E-12
48.2422E-12,-11.5000E+0,53.7771E-12
53.0031E-12,-11.0000E+0,52.2796E-12
53.3460E-12,-10.5000E+0,50.8327E-12
55.4643E-12,-10.0000E+0,50.1952E-12
56.4124E-12,-9.5000E+0,49.4869E-12
57.7439E-12,-9.0000E+0,48.1108E-12
57.7136E-12,-8.5000E+0,47.4632E-12
58.5710E-12,-8.0000E+0,46.5020E-12
58.5408E-12,-7.5000E+0,45.8645E-12
59.3780E-12,-7.0000E+0,45.5913E-12
56.9975E-12,-6.5000E+0,44.4479E-12
59.5494E-12,-6.0000E+0,43.8914E-12
58.8938E-12,-5.5000E+0,43.3956E-12
61.9904E-12,-5.0000E+0,43.6283E-12
62.4948E-12,-4.5000E+0,43.0516E-12
64.6433E-12,-4.0000E+0,41.9083E-12
68.6982E-12,-3.5000E+0,41.7060E-12
68.1938E-12,-3.0000E+0,40.8460E-12
68.6276E-12,-2.5000E+0,40.3300E-12
69.9792E-12,-2.0000E+0,39.8747E-12
73.1767E-12,-1.5000E+0,39.8039E-12
71.0787E-12,-1.0000E+0,39.2879E-12
76.4953E-12,-500.0000E-3,48.9608E-12
80.0660E-12,000.0000E-3,529.5280E-12
78.6740E-12,500.0000E-3,7.1932E-9
89.7998E-12,1.0000E+0,31.1793E-9
507.7069E-12,1.5000E+0,82.9735E-9
2.6145E-9,2.0000E+0,164.2553E-9
7.0246E-9,2.5000E+0,281.6732E-9
13.8787E-9,3.0000E+0,439.3605E-9
24.0168E-9,3.5000E+0,641.5532E-9
37.9718E-9,4.0000E+0,891.4235E-9
55.3831E-9,4.5000E+0,1.1793E-6
78.1407E-9,5.0000E+0,1.5374E-6
107.3290E-9,5.5000E+0,1.9537E-6
141.2336E-9,6.0000E+0,2.4426E-6
181.0340E-9,6.5000E+0,3.0000E-6
227.1151E-9,7.0000E+0,3.6286E-6
279.9054E-9,7.5000E+0,4.3328E-6
339.6830E-9,8.0000E+0,5.1154E-6
407.0208E-9,8.5000E+0,5.9818E-6
482.2471E-9,9.0000E+0,6.9344E-6
565.7542E-9,9.5000E+0,7.9778E-6
646.9141E-9,10.0000E+0,8.9926E-6
749.3810E-9,10.5000E+0,10.2293E-6
850.9202E-9,11.0000E+0,11.4628E-6
972.5187E-9,11.5000E+0,12.9025E-6
1.1026E-6,12.0000E+0,14.4448E-6
1.2434E-6,12.5000E+0,16.0962E-6
1.3946E-6,13.0000E+0,17.8592E-6
1.5566E-6,13.5000E+0,19.7395E-6
1.7311E-6,14.0000E+0,21.7379E-6
1.9166E-6,14.5000E+0,23.8604E-6
2.1151E-6,15.0000E+0,26.1054E-6
2.3256E-6,15.5000E+0,28.4770E-6
2.5487E-6,16.0000E+0,30.9747E-6
2.7865E-6,16.5000E+0,33.6036E-6
3.0366E-6,17.0000E+0,36.3650E-6
3.3009E-6,17.5000E+0,39.2610E-6
3.5803E-6,18.0000E+0,42.2865E-6
3.8746E-6,18.5000E+0,45.4477E-6
4.1829E-6,19.0000E+0,48.7411E-6
4.5075E-6,19.5000E+0,52.1746E-6
4.8480E-6,20.0000E+0,55.7392E-6
4.8204E-6,20.0000E+0,55.4769E-6
4.4345E-6,19.5000E+0,51.4592E-6
4.0736E-6,19.0000E+0,47.6709E-6
