GateV,DrainI
-20.0000E+0,25.2668E-9
-19.5000E+0,23.8673E-9
-19.0000E+0,22.8684E-9
-18.5000E+0,22.1136E-9
-18.0000E+0,21.5154E-9
-17.5000E+0,21.0248E-9
-17.0000E+0,20.6228E-9
-16.5000E+0,20.2804E-9
-16.0000E+0,19.9806E-9
-15.5000E+0,19.7348E-9
-15.0000E+0,19.5206E-9
-14.5000E+0,19.3246E-9
-14.0000E+0,19.1598E-9
-13.5000E+0,19.0120E-9
-13.0000E+0,18.8851E-9
-12.5000E+0,18.7744E-9
-12.0000E+0,18.6934E-9
-11.5000E+0,18.6191E-9
-11.0000E+0,18.5321E-9
-10.5000E+0,18.3910E-9
-10.0000E+0,18.3546E-9
-9.5000E+0,18.2997E-9
-9.0000E+0,18.2586E-9
-8.5000E+0,18.2008E-9
-8.0000E+0,18.1692E-9
-7.5000E+0,18.1325E-9
-7.0000E+0,18.0998E-9
-6.5000E+0,18.0739E-9
-6.0000E+0,18.0417E-9
-5.5000E+0,18.0208E-9
-5.0000E+0,17.9977E-9
-4.5000E+0,17.9777E-9
-4.0000E+0,17.9640E-9
-3.5000E+0,17.9491E-9
-3.0000E+0,17.9709E-9
-2.5000E+0,17.9438E-9
-2.0000E+0,17.9233E-9
-1.5000E+0,17.8619E-9
-1.0000E+0,17.8736E-9
-500.0000E-3,17.8712E-9
000.0000E-3,17.8655E-9
500.0000E-3,17.8630E-9
1.0000E+0,17.8620E-9
1.5000E+0,17.8561E-9
2.0000E+0,17.8474E-9
2.5000E+0,17.8435E-9
3.0000E+0,17.8433E-9
3.5000E+0,17.8388E-9
4.0000E+0,17.8388E-9
4.5000E+0,17.8389E-9
5.0000E+0,17.8368E-9
5.5000E+0,17.8321E-9
6.0000E+0,17.8370E-9
6.5000E+0,17.8339E-9
7.0000E+0,17.8364E-9
7.5000E+0,17.8380E-9
8.0000E+0,17.8338E-9
8.5000E+0,17.8370E-9
9.0000E+0,17.8931E-9
9.5000E+0,17.8148E-9
10.0000E+0,17.8415E-9
10.5000E+0,17.8799E-9
11.0000E+0,17.8223E-9
11.5000E+0,17.8222E-9
12.0000E+0,17.8314E-9
12.5000E+0,17.8373E-9
13.0000E+0,17.8633E-9
13.5000E+0,17.8540E-9
14.0000E+0,17.8493E-9
14.5000E+0,17.8483E-9
15.0000E+0,17.8446E-9
15.5000E+0,17.8457E-9
16.0000E+0,17.8372E-9
16.5000E+0,17.8386E-9
17.0000E+0,17.8426E-9
17.5000E+0,17.8414E-9
18.0000E+0,17.8469E-9
18.5000E+0,17.8480E-9
19.0000E+0,17.8560E-9
19.5000E+0,17.8460E-9
20.0000E+0,17.8466E-9
20.0000E+0,17.8442E-9
19.5000E+0,17.8453E-9
19.0000E+0,17.8436E-9
18.5000E+0,17.8344E-9
18.0000E+0,17.8454E-9
17.5000E+0,17.8425E-9
17.0000E+0,17.8505E-9
16.5000E+0,17.8513E-9
16.0000E+0,17.8561E-9
15.5000E+0,17.8381E-9
15.0000E+0,17.8429E-9
14.5000E+0,17.8597E-9
14.0000E+0,17.8511E-9
13.5000E+0,17.8495E-9
13.0000E+0,17.8510E-9
12.5000E+0,17.8473E-9
12.0000E+0,17.8418E-9
11.5000E+0,17.8465E-9
11.0000E+0,17.8516E-9
10.5000E+0,17.8568E-9
10.0000E+0,17.8641E-9
9.5000E+0,17.8445E-9
9.0000E+0,17.8566E-9
8.5000E+0,17.8612E-9
8.0000E+0,17.8568E-9
7.5000E+0,17.8621E-9
7.0000E+0,17.8670E-9
6.5000E+0,17.8617E-9
6.0000E+0,17.8731E-9
5.5000E+0,17.8729E-9
5.0000E+0,17.8729E-9
4.5000E+0,17.8746E-9
4.0000E+0,17.8715E-9
3.5000E+0,17.8824E-9
3.0000E+0,17.8824E-9
2.5000E+0,17.8765E-9
2.0000E+0,17.8774E-9
1.5000E+0,17.8787E-9
1.0000E+0,17.8808E-9
500.0000E-3,17.8905E-9
000.0000E-3,17.8953E-9
-500.0000E-3,17.8866E-9
-1.0000E+0,17.9073E-9
-1.5000E+0,17.8960E-9
-2.0000E+0,17.8912E-9
-2.5000E+0,17.8977E-9
-3.0000E+0,17.8874E-9
-3.5000E+0,17.8897E-9
-4.0000E+0,17.8847E-9
-4.5000E+0,17.8933E-9
-5.0000E+0,17.8961E-9
-5.5000E+0,17.9035E-9
-6.0000E+0,17.8900E-9
-6.5000E+0,17.8961E-9
-7.0000E+0,17.8989E-9
-7.5000E+0,17.8988E-9
-8.0000E+0,17.8958E-9
-8.5000E+0,17.8954E-9
-9.0000E+0,17.9149E-9
-9.5000E+0,17.8944E-9
-10.0000E+0,17.8978E-9
-10.5000E+0,17.9001E-9
-11.0000E+0,17.8974E-9
-11.5000E+0,17.9059E-9
-12.0000E+0,17.9025E-9
-12.5000E+0,17.9130E-9
-13.0000E+0,17.9102E-9
-13.5000E+0,17.9036E-9
-14.0000E+0,17.9123E-9
-14.5000E+0,17.9184E-9
-15.0000E+0,17.9219E-9
-15.5000E+0,17.9150E-9
-16.0000E+0,17.9108E-9
-16.5000E+0,17.9173E-9
-17.0000E+0,17.9167E-9
-17.5000E+0,17.9206E-9
-18.0000E+0,17.9132E-9
-18.5000E+0,17.9287E-9
-19.0000E+0,17.9235E-9
-19.5000E+0,17.9201E-9
-20.0000E+0,17.9270E-9
