GateI,GateV,DrainI
-2.2475E-9,-20.0000E+0,1.2597E-9
-2.2164E-9,-19.5000E+0,1.2361E-9
-2.1972E-9,-19.0000E+0,1.2223E-9
-2.1911E-9,-18.5000E+0,1.2142E-9
-2.1849E-9,-18.0000E+0,1.2086E-9
-2.1875E-9,-17.5000E+0,1.2048E-9
-2.1855E-9,-17.0000E+0,1.2019E-9
-2.1878E-9,-16.5000E+0,1.2001E-9
-2.1864E-9,-16.0000E+0,1.1992E-9
-2.1890E-9,-15.5000E+0,1.1984E-9
-2.1880E-9,-15.0000E+0,1.1984E-9
-2.1938E-9,-14.5000E+0,1.1968E-9
-2.1908E-9,-14.0000E+0,1.1961E-9
-2.1917E-9,-13.5000E+0,1.1971E-9
-2.1948E-9,-13.0000E+0,1.1965E-9
-2.1962E-9,-12.5000E+0,1.1963E-9
-2.1957E-9,-12.0000E+0,1.1963E-9
-2.1956E-9,-11.5000E+0,1.1958E-9
-2.1950E-9,-11.0000E+0,1.1966E-9
-2.1993E-9,-10.5000E+0,1.1958E-9
-2.1993E-9,-10.0000E+0,1.1969E-9
-2.2029E-9,-9.5000E+0,1.1963E-9
-2.2023E-9,-9.0000E+0,1.1964E-9
-2.2029E-9,-8.5000E+0,1.1971E-9
-2.2036E-9,-8.0000E+0,1.1963E-9
-2.2052E-9,-7.5000E+0,1.1974E-9
-2.2057E-9,-7.0000E+0,1.1980E-9
-2.2045E-9,-6.5000E+0,1.2381E-9
-2.2060E-9,-6.0000E+0,1.7653E-9
-2.2065E-9,-5.5000E+0,3.9590E-9
-2.2092E-9,-5.0000E+0,9.5060E-9
-2.2090E-9,-4.5000E+0,20.5301E-9
-2.2087E-9,-4.0000E+0,39.2538E-9
-2.2101E-9,-3.5000E+0,68.1228E-9
-2.2085E-9,-3.0000E+0,114.6732E-9
-2.2085E-9,-2.5000E+0,207.1913E-9
-2.2111E-9,-2.0000E+0,377.3679E-9
-2.2095E-9,-1.5000E+0,642.8795E-9
-2.2092E-9,-1.0000E+0,1.0069E-6
-2.0342E-9,-500.0000E-3,1.5095E-6
-827.5370E-12,000.0000E-3,2.1497E-6
2.1623E-9,500.0000E-3,2.9416E-6
7.2387E-9,1.0000E+0,3.9008E-6
14.6940E-9,1.5000E+0,5.0423E-6
24.8811E-9,2.0000E+0,6.3783E-6
38.2580E-9,2.5000E+0,7.9270E-6
53.5891E-9,3.0000E+0,9.6308E-6
75.8992E-9,3.5000E+0,11.6576E-6
106.6632E-9,4.0000E+0,13.9337E-6
139.4836E-9,4.5000E+0,16.5356E-6
177.2279E-9,5.0000E+0,19.4317E-6
221.0294E-9,5.5000E+0,22.6444E-6
271.5980E-9,6.0000E+0,26.1894E-6
329.4804E-9,6.5000E+0,30.0831E-6
395.1771E-9,7.0000E+0,34.3382E-6
469.4118E-9,7.5000E+0,38.9731E-6
552.7075E-9,8.0000E+0,43.9999E-6
645.3177E-9,8.5000E+0,49.4445E-6
738.7221E-9,9.0000E+0,54.8614E-6
868.5590E-9,9.5000E+0,61.1979E-6
1.0221E-6,10.0000E+0,67.9579E-6
1.2002E-6,10.5000E+0,75.1778E-6
1.3828E-6,11.0000E+0,82.8758E-6
1.5397E-6,11.5000E+0,90.2056E-6
1.7334E-6,12.0000E+0,98.9471E-6
1.9368E-6,12.5000E+0,108.1804E-6
2.1611E-6,13.0000E+0,117.9116E-6
2.4016E-6,13.5000E+0,128.1788E-6
2.6585E-6,14.0000E+0,138.9826E-6
2.9328E-6,14.5000E+0,150.3558E-6
3.2305E-6,15.0000E+0,162.2665E-6
3.5337E-6,15.5000E+0,174.7451E-6
3.8609E-6,16.0000E+0,187.7890E-6
4.2124E-6,16.5000E+0,201.4173E-6
4.5816E-6,17.0000E+0,215.6265E-6
4.9810E-6,17.5000E+0,230.4306E-6
5.3988E-6,18.0000E+0,245.8147E-6
5.8367E-6,18.5000E+0,261.7846E-6
6.3012E-6,19.0000E+0,278.3260E-6
6.7933E-6,19.5000E+0,295.4840E-6
7.3043E-6,20.0000E+0,313.2279E-6
7.2860E-6,20.0000E+0,312.1309E-6
6.7301E-6,19.5000E+0,292.4809E-6
6.2121E-6,19.0000E+0,273.7648E-6
5.7199E-6,18.5000E+0,255.9272E-6
5.2617E-6,18.0000E+0,238.8738E-6
4.8286E-6,17.5000E+0,222.6164E-6
4.4211E-6,17.0000E+0,207.1072E-6
4.0407E-6,16.5000E+0,192.3371E-6
3.6805E-6,16.0000E+0,178.2858E-6
3.3476E-6,15.5000E+0,164.9491E-6
3.0389E-6,15.0000E+0,152.2837E-6
2.7491E-6,14.5000E+0,140.2861E-6
2.4810E-6,14.0000E+0,128.9364E-6
2.2283E-6,13.5000E+0,118.2313E-6
1.9919E-6,13.0000E+0,108.1438E-6
1.7755E-6,12.5000E+0,98.6560E-6
1.5764E-6,12.0000E+0,89.7451E-6
1.3891E-6,11.5000E+0,81.4011E-6
1.2213E-6,11.0000E+0,73.5982E-6
1.0714E-6,10.5000E+0,66.4625E-6
933.2351E-9,10.0000E+0,59.6233E-6
807.8919E-9,9.5000E+0,53.3178E-6
699.0293E-9,9.0000E+0,47.6392E-6
561.8630E-9,8.5000E+0,42.2173E-6
460.9674E-9,8.0000E+0,37.2556E-6
385.7362E-9,7.5000E+0,32.7263E-6
319.6638E-9,7.0000E+0,28.5963E-6
261.9150E-9,6.5000E+0,24.8446E-6
211.5789E-9,6.0000E+0,21.4479E-6
168.2188E-9,5.5000E+0,18.3894E-6
131.1746E-9,5.0000E+0,15.6466E-6
99.9112E-9,4.5000E+0,13.2038E-6
78.6722E-9,4.0000E+0,11.0348E-6
57.4869E-9,3.5000E+0,9.1555E-6
40.0708E-9,3.0000E+0,7.5002E-6
27.9776E-9,2.5000E+0,6.1278E-6
16.1606E-9,2.0000E+0,4.8566E-6
8.1094E-9,1.5000E+0,3.7835E-6
2.6846E-9,1.0000E+0,2.8828E-6
-594.6582E-12,500.0000E-3,2.1392E-6
-2.1429E-9,000.0000E-3,1.5356E-6
-2.4489E-9,-500.0000E-3,1.0587E-6
-1.9666E-9,-1.0000E+0,708.9002E-9
-1.8939E-9,-1.5000E+0,433.9076E-9
-1.8516E-9,-2.0000E+0,247.8358E-9
-1.8354E-9,-2.5000E+0,134.1933E-9
-1.8316E-9,-3.0000E+0,76.1293E-9
-1.8340E-9,-3.5000E+0,45.4138E-9
-1.8374E-9,-4.0000E+0,25.4958E-9
-1.8472E-9,-4.5000E+0,12.9785E-9
-1.8546E-9,-5.0000E+0,5.9141E-9
-1.8652E-9,-5.5000E+0,2.5399E-9
-1.8724E-9,-6.0000E+0,1.3209E-9
-1.8773E-9,-6.5000E+0,1.0814E-9
-1.8839E-9,-7.0000E+0,1.0737E-9
-1.8950E-9,-7.5000E+0,1.0765E-9
-1.9025E-9,-8.0000E+0,1.0795E-9
-1.9124E-9,-8.5000E+0,1.0825E-9
-1.9176E-9,-9.0000E+0,1.0859E-9
-1.9239E-9,-9.5000E+0,1.0885E-9
-1.9294E-9,-10.0000E+0,1.0909E-9
-1.9366E-9,-10.5000E+0,1.0948E-9
-1.9447E-9,-11.0000E+0,1.0967E-9
-1.9491E-9,-11.5000E+0,1.0991E-9
-1.9577E-9,-12.0000E+0,1.1013E-9
-1.9632E-9,-12.5000E+0,1.1041E-9
-1.9665E-9,-13.0000E+0,1.1059E-9
-1.9706E-9,-13.5000E+0,1.1076E-9
-1.9779E-9,-14.0000E+0,1.1108E-9
-1.9849E-9,-14.5000E+0,1.1128E-9
-1.9892E-9,-15.0000E+0,1.1139E-9
-1.9921E-9,-15.5000E+0,1.1167E-9
-1.9954E-9,-16.0000E+0,1.1183E-9
-2.0002E-9,-16.5000E+0,1.1208E-9
-2.0101E-9,-17.0000E+0,1.1222E-9
-2.0143E-9,-17.5000E+0,1.1245E-9
-2.0192E-9,-18.0000E+0,1.1260E-9
-2.0202E-9,-18.5000E+0,1.1279E-9
-2.0255E-9,-19.0000E+0,1.1296E-9
-2.0277E-9,-19.5000E+0,1.1311E-9
-2.0336E-9,-20.0000E+0,1.1330E-9
