GateI,GateV,DrainI
40.9197E-12,-20.0000E+0,67.7207E-12
42.1905E-12,-19.5000E+0,61.8317E-12
41.7467E-12,-19.0000E+0,57.5819E-12
47.8791E-12,-18.5000E+0,53.7672E-12
47.5060E-12,-18.0000E+0,51.1566E-12
45.1962E-12,-17.5000E+0,48.6067E-12
46.8907E-12,-17.0000E+0,46.6639E-12
51.4598E-12,-16.5000E+0,45.2068E-12
50.5722E-12,-16.0000E+0,44.3973E-12
49.6644E-12,-15.5000E+0,42.5052E-12
48.8575E-12,-15.0000E+0,41.9184E-12
52.0852E-12,-14.5000E+0,40.6031E-12
50.5823E-12,-14.0000E+0,39.5205E-12
52.2062E-12,-13.5000E+0,38.4784E-12
49.7754E-12,-13.0000E+0,37.6690E-12
50.8243E-12,-12.5000E+0,36.3739E-12
51.5506E-12,-12.0000E+0,36.1817E-12
52.4685E-12,-11.5000E+0,35.6961E-12
54.6069E-12,-11.0000E+0,35.0991E-12
52.1861E-12,-10.5000E+0,34.6843E-12
53.0434E-12,-10.0000E+0,33.6017E-12
53.1846E-12,-9.5000E+0,33.6725E-12
55.7467E-12,-9.0000E+0,33.3791E-12
53.1746E-12,-8.5000E+0,32.7215E-12
52.2062E-12,-8.0000E+0,32.1954E-12
56.6747E-12,-7.5000E+0,31.2038E-12
55.8879E-12,-7.0000E+0,31.4972E-12
56.3115E-12,-6.5000E+0,31.7603E-12
57.4514E-12,-6.0000E+0,30.8396E-12
54.8187E-12,-5.5000E+0,30.4855E-12
54.8994E-12,-5.0000E+0,30.7283E-12
59.3376E-12,-4.5000E+0,30.7688E-12
57.3001E-12,-4.0000E+0,30.3337E-12
59.1056E-12,-3.5000E+0,29.1803E-12
57.6934E-12,-3.0000E+0,28.8768E-12
58.9644E-12,-2.5000E+0,28.4012E-12
59.9024E-12,-2.0000E+0,28.8363E-12
60.1244E-12,-1.5000E+0,28.9375E-12
59.3981E-12,-1.0000E+0,28.0876E-12
63.0193E-12,-500.0000E-3,27.8549E-12
60.2757E-12,000.0000E-3,29.1095E-12
63.0193E-12,500.0000E-3,27.9763E-12
62.4342E-12,1.0000E+0,28.3405E-12
63.9473E-12,1.5000E+0,44.0735E-12
62.3435E-12,2.0000E+0,906.9674E-12
60.3967E-12,2.5000E+0,6.4526E-9
61.0120E-12,3.0000E+0,20.6361E-9
60.0538E-12,3.5000E+0,46.4080E-9
62.3334E-12,4.0000E+0,87.3198E-9
63.8262E-12,4.5000E+0,143.6557E-9
64.6735E-12,5.0000E+0,218.3495E-9
60.2656E-12,5.5000E+0,313.5730E-9
66.2067E-12,6.0000E+0,431.0720E-9
64.8349E-12,6.5000E+0,572.9465E-9
63.7556E-12,7.0000E+0,740.7511E-9
67.1246E-12,7.5000E+0,930.4223E-9
65.7830E-12,8.0000E+0,1.1563E-6
64.7138E-12,8.5000E+0,1.4135E-6
65.3796E-12,9.0000E+0,1.7035E-6
63.3320E-12,9.5000E+0,2.0286E-6
66.2370E-12,10.0000E+0,2.3895E-6
64.7744E-12,10.5000E+0,2.7887E-6
63.2916E-12,11.0000E+0,3.2277E-6
61.2642E-12,11.5000E+0,3.7081E-6
64.3810E-12,12.0000E+0,4.2310E-6
64.5928E-12,12.5000E+0,4.7989E-6
66.2571E-12,13.0000E+0,5.4119E-6
66.1966E-12,13.5000E+0,6.0727E-6
66.3580E-12,14.0000E+0,6.7823E-6
66.6203E-12,14.5000E+0,7.5429E-6
64.6634E-12,15.0000E+0,8.3552E-6
68.3350E-12,15.5000E+0,9.1966E-6
70.5037E-12,16.0000E+0,10.1181E-6
71.2703E-12,16.5000E+0,11.0946E-6
70.3524E-12,17.0000E+0,12.1287E-6
67.6592E-12,17.5000E+0,13.2213E-6
69.9489E-12,18.0000E+0,14.3737E-6
69.4446E-12,18.5000E+0,15.5869E-6
68.0324E-12,19.0000E+0,16.8623E-6
67.9921E-12,19.5000E+0,18.2018E-6
67.9013E-12,20.0000E+0,19.6054E-6
67.5785E-12,20.0000E+0,19.5750E-6
66.7211E-12,19.5000E+0,18.1201E-6
65.7326E-12,19.0000E+0,16.7387E-6
63.8968E-12,18.5000E+0,15.4307E-6
64.3003E-12,18.0000E+0,14.1895E-6
61.1532E-12,17.5000E+0,13.0154E-6
59.9226E-12,17.0000E+0,11.9048E-6
61.6273E-12,16.5000E+0,10.8582E-6
60.2454E-12,16.0000E+0,9.8728E-6
61.2743E-12,15.5000E+0,8.9476E-6
60.2656E-12,15.0000E+0,8.0794E-6
62.6864E-12,14.5000E+0,7.2670E-6
64.6332E-12,14.0000E+0,6.5074E-6
64.8147E-12,13.5000E+0,5.8006E-6
59.8419E-12,13.0000E+0,5.1460E-6
62.4746E-12,12.5000E+0,4.5412E-6
61.7382E-12,12.0000E+0,3.9831E-6
63.4026E-12,11.5000E+0,3.4712E-6
61.8391E-12,11.0000E+0,3.0032E-6
61.4558E-12,10.5000E+0,2.5778E-6
61.0826E-12,10.0000E+0,2.1927E-6
61.7786E-12,9.5000E+0,1.8462E-6
64.2700E-12,9.0000E+0,1.5360E-6
60.5480E-12,8.5000E+0,1.2612E-6
61.4054E-12,8.0000E+0,1.0196E-6
61.4356E-12,7.5000E+0,809.5165E-9
58.1978E-12,7.0000E+0,629.7304E-9
61.6979E-12,6.5000E+0,475.9436E-9
62.2728E-12,6.0000E+0,348.1057E-9
60.4471E-12,5.5000E+0,244.1430E-9
60.0235E-12,5.0000E+0,161.9820E-9
62.2728E-12,4.5000E+0,99.5509E-9
