
GateI,GateV,DrainI
49.2710E-12,-20.0000E+0,66.7088E-12
47.6472E-12,-19.5000E+0,60.3847E-12
54.9297E-12,-19.0000E+0,56.3879E-12
54.2639E-12,-18.5000E+0,53.0487E-12
50.7638E-12,-18.0000E+0,49.9626E-12
57.0781E-12,-17.5000E+0,47.3520E-12
58.6517E-12,-17.0000E+0,45.6014E-12
55.2625E-12,-16.5000E+0,43.8610E-12
58.2482E-12,-16.0000E+0,42.7582E-12
58.7727E-12,-15.5000E+0,41.6250E-12
56.6747E-12,-15.0000E+0,40.2996E-12
55.1011E-12,-14.5000E+0,39.5711E-12
55.8375E-12,-14.0000E+0,38.9033E-12
57.5421E-12,-13.5000E+0,37.9826E-12
57.8447E-12,-13.0000E+0,36.8495E-12
54.3951E-12,-12.5000E+0,35.7669E-12
57.9759E-12,-12.0000E+0,35.1396E-12
60.9010E-12,-11.5000E+0,34.0874E-12
55.6357E-12,-11.0000E+0,33.9659E-12
57.2395E-12,-10.5000E+0,34.3605E-12
57.7439E-12,-10.0000E+0,33.5309E-12
57.2194E-12,-9.5000E+0,32.3674E-12
55.2625E-12,-9.0000E+0,32.3471E-12
58.8232E-12,-8.5000E+0,31.8817E-12
55.2524E-12,-8.0000E+0,31.5175E-12
54.5867E-12,-7.5000E+0,30.8902E-12
59.7108E-12,-7.0000E+0,31.2645E-12
58.5609E-12,-6.5000E+0,30.9408E-12
58.0364E-12,-6.0000E+0,28.9274E-12
60.1647E-12,-5.5000E+0,28.8869E-12
62.4241E-12,-5.0000E+0,29.7267E-12
64.0582E-12,-4.5000E+0,29.1702E-12
62.4241E-12,-4.0000E+0,29.6255E-12
66.1159E-12,-3.5000E+0,28.9375E-12
70.4331E-12,-3.0000E+0,28.4619E-12
68.5670E-12,-2.5000E+0,28.5530E-12
64.7239E-12,-2.0000E+0,27.9763E-12
65.5208E-12,-1.5000E+0,27.7132E-12
62.6864E-12,-1.0000E+0,27.4299E-12
66.8422E-12,-500.0000E-3,27.6424E-12
65.2686E-12,000.0000E-3,66.7291E-12
67.1549E-12,500.0000E-3,2.0194E-9
65.8436E-12,1.0000E+0,10.0897E-9
65.7427E-12,1.5000E+0,27.2658E-9
66.6909E-12,2.0000E+0,55.8494E-9
69.1520E-12,2.5000E+0,98.8305E-9
66.0957E-12,3.0000E+0,156.6382E-9
67.8912E-12,3.5000E+0,231.7718E-9
70.5945E-12,4.0000E+0,325.9485E-9
66.0857E-12,4.5000E+0,440.8884E-9
70.7659E-12,5.0000E+0,578.1177E-9
67.7399E-12,5.5000E+0,739.5459E-9
66.3378E-12,6.0000E+0,920.8845E-9
65.7629E-12,6.5000E+0,1.1359E-6
66.2470E-12,7.0000E+0,1.3792E-6
67.4675E-12,7.5000E+0,1.6526E-6
68.7788E-12,8.0000E+0,1.9578E-6
66.2470E-12,8.5000E+0,2.2965E-6
67.4776E-12,9.0000E+0,2.6700E-6
67.2860E-12,9.5000E+0,3.0799E-6
68.0828E-12,10.0000E+0,3.5269E-6
66.8119E-12,10.5000E+0,4.0132E-6
66.1764E-12,11.0000E+0,4.5399E-6
66.5194E-12,11.5000E+0,5.1092E-6
68.0021E-12,12.0000E+0,5.7210E-6
69.0713E-12,12.5000E+0,6.3783E-6
67.6188E-12,13.0000E+0,7.0805E-6
66.3176E-12,13.5000E+0,7.8306E-6
69.2529E-12,14.0000E+0,8.6288E-6
68.6679E-12,14.5000E+0,9.4527E-6
66.0150E-12,15.0000E+0,10.3544E-6
66.3378E-12,15.5000E+0,11.3069E-6
67.2255E-12,16.0000E+0,12.3117E-6
64.4617E-12,16.5000E+0,13.3716E-6
64.6432E-12,17.0000E+0,14.4870E-6
66.8321E-12,17.5000E+0,15.6605E-6
62.9386E-12,18.0000E+0,16.8910E-6
67.3969E-12,18.5000E+0,18.1798E-6
68.7889E-12,19.0000E+0,19.5266E-6
70.4633E-12,19.5000E+0,20.9353E-6
71.6435E-12,20.0000E+0,22.4030E-6
66.6707E-12,20.0000E+0,22.3680E-6
64.7845E-12,19.5000E+0,20.8403E-6
65.9142E-12,19.0000E+0,19.3826E-6
64.1994E-12,18.5000E+0,17.9959E-6
62.3435E-12,18.0000E+0,16.6737E-6
63.3118E-12,17.5000E+0,15.4159E-6
63.8262E-12,17.0000E+0,14.2204E-6
64.3406E-12,16.5000E+0,13.0870E-6
61.4659E-12,16.0000E+0,12.0136E-6
62.4040E-12,15.5000E+0,10.9996E-6
64.6231E-12,15.0000E+0,10.0417E-6
61.2743E-12,14.5000E+0,9.1395E-6
61.8492E-12,14.0000E+0,8.2904E-6
60.3664E-12,13.5000E+0,7.4946E-6
63.9977E-12,13.0000E+0,6.7486E-6
59.9932E-12,12.5000E+0,6.0512E-6
61.4256E-12,12.0000E+0,5.4025E-6
63.4429E-12,11.5000E+0,4.8003E-6
