GateI,GateV,DrainI
42.1502E-12,-20.0000E+0,64.0579E-12
48.3835E-12,-19.5000E+0,57.4504E-12
46.2855E-12,-19.0000E+0,53.5952E-12
49.4022E-12,-18.5000E+0,50.9340E-12
46.6890E-12,-18.0000E+0,47.5341E-12
46.5780E-12,-17.5000E+0,45.6824E-12
49.7451E-12,-17.0000E+0,43.8105E-12
50.9958E-12,-16.5000E+0,41.9083E-12
53.8605E-12,-16.0000E+0,39.9353E-12
51.2278E-12,-15.5000E+0,38.6706E-12
50.8949E-12,-15.0000E+0,37.8309E-12
52.1861E-12,-14.5000E+0,37.3148E-12
52.0348E-12,-14.0000E+0,36.1412E-12
54.5766E-12,-13.5000E+0,35.2711E-12
52.7408E-12,-13.0000E+0,34.1480E-12
57.5018E-12,-12.5000E+0,33.4600E-12
54.6674E-12,-12.0000E+0,32.6708E-12
53.3360E-12,-11.5000E+0,33.2577E-12
53.7394E-12,-11.0000E+0,32.2560E-12
54.9599E-12,-10.5000E+0,31.7906E-12
56.2813E-12,-10.0000E+0,30.8092E-12
53.6285E-12,-9.5000E+0,30.4652E-12
52.0247E-12,-9.0000E+0,30.5765E-12
53.1241E-12,-8.5000E+0,29.6659E-12
55.5349E-12,-8.0000E+0,28.9172E-12
55.9484E-12,-7.5000E+0,28.8767E-12
56.8260E-12,-7.0000E+0,29.0386E-12
59.9630E-12,-6.5000E+0,27.7030E-12
58.6820E-12,-6.0000E+0,28.0572E-12
57.4009E-12,-5.5000E+0,27.7638E-12
58.8131E-12,-5.0000E+0,28.1482E-12
57.0176E-12,-4.5000E+0,27.2579E-12
58.3592E-12,-4.0000E+0,26.8329E-12
62.6158E-12,-3.5000E+0,26.6103E-12
62.1216E-12,-3.0000E+0,26.1045E-12
63.3623E-12,-2.5000E+0,26.2157E-12
59.8520E-12,-2.0000E+0,26.6710E-12
61.7383E-12,-1.5000E+0,29.5849E-12
64.3911E-12,-1.0000E+0,54.2630E-12
58.6921E-12,-500.0000E-3,212.4479E-12
63.0395E-12,000.0000E-3,881.6651E-12
62.4847E-12,500.0000E-3,2.9054E-9
60.6186E-12,1.0000E+0,7.6257E-9
64.0784E-12,1.5000E+0,16.6412E-9
65.0669E-12,2.0000E+0,31.8166E-9
63.4934E-12,2.5000E+0,54.9955E-9
63.1605E-12,3.0000E+0,89.5670E-9
61.8997E-12,3.5000E+0,135.3908E-9
64.4012E-12,4.0000E+0,193.8621E-9
64.0683E-12,4.5000E+0,263.9919E-9
63.9776E-12,5.0000E+0,345.4062E-9
63.7153E-12,5.5000E+0,435.2496E-9
64.6029E-12,6.0000E+0,530.6345E-9
65.2586E-12,6.5000E+0,637.9074E-9
62.2729E-12,7.0000E+0,742.7770E-9
61.3146E-12,7.5000E+0,865.1025E-9
65.2081E-12,8.0000E+0,901.9224E-9
62.1720E-12,8.5000E+0,1.0389E-6
64.9762E-12,9.0000E+0,1.1821E-6
64.9762E-12,9.5000E+0,1.3259E-6
65.2586E-12,10.0000E+0,1.4595E-6
62.5755E-12,10.5000E+0,1.6127E-6
65.0064E-12,11.0000E+0,1.7516E-6
64.2398E-12,11.5000E+0,1.9208E-6
66.0756E-12,12.0000E+0,2.0795E-6
68.5166E-12,12.5000E+0,2.2323E-6
64.6534E-12,13.0000E+0,2.4105E-6
64.9862E-12,13.5000E+0,2.5776E-6
66.5900E-12,14.0000E+0,2.7189E-6
64.8450E-12,14.5000E+0,2.8742E-6
63.6245E-12,15.0000E+0,3.0497E-6
65.7932E-12,15.5000E+0,3.2420E-6
60.9112E-12,16.0000E+0,3.4378E-6
64.9862E-12,16.5000E+0,3.6239E-6
63.1908E-12,17.0000E+0,3.7662E-6
66.9532E-12,17.5000E+0,3.9339E-6
66.5598E-12,18.0000E+0,4.1045E-6
69.4244E-12,18.5000E+0,4.3028E-6
65.7528E-12,19.0000E+0,4.4665E-6
67.8206E-12,19.5000E+0,4.6518E-6
70.9879E-12,20.0000E+0,4.8274E-6
69.6060E-12,20.0000E+0,4.5193E-6
67.9417E-12,19.5000E+0,3.7875E-6
67.6088E-12,19.0000E+0,3.2767E-6
66.5094E-12,18.5000E+0,2.8384E-6
66.6304E-12,18.0000E+0,2.4701E-6
65.2182E-12,17.5000E+0,2.1524E-6
63.3824E-12,17.0000E+0,1.8722E-6
67.2558E-12,16.5000E+0,1.6121E-6
67.9518E-12,16.0000E+0,1.4372E-6
69.1723E-12,15.5000E+0,1.2228E-6
62.9588E-12,15.0000E+0,1.0368E-6
63.5438E-12,14.5000E+0,889.4739E-9
63.2110E-12,14.0000E+0,762.7561E-9
62.0308E-12,13.5000E+0,678.9514E-9
61.9602E-12,13.0000E+0,569.8682E-9
63.6951E-12,12.5000E+0,464.3685E-9
62.3536E-12,12.0000E+0,401.8525E-9
55.7467E-12,11.5000E+0,325.3681E-9
61.6172E-12,11.0000E+0,260.8803E-9
57.7540E-12,10.5000E+0,208.4196E-9
57.5926E-12,10.0000E+0,169.1607E-9
58.0667E-12,9.5000E+0,135.7745E-9
61.2037E-12,9.0000E+0,110.0583E-9
58.2281E-12,8.5000E+0,82.7409E-9
58.2382E-12,8.0000E+0,64.5211E-9
60.1849E-12,7.5000E+0,50.3586E-9
60.0134E-12,7.0000E+0,37.5423E-9
55.4945E-12,6.5000E+0,29.0610E-9
60.6590E-12,6.0000E+0,21.4652E-9
58.8434E-12,5.5000E+0,15.1093E-9
58.8333E-12,5.0000E+0,10.5355E-9
56.7352E-12,4.5000E+0,7.0118E-9
55.8375E-12,4.0000E+0,4.5077E-9
56.8361E-12,3.5000E+0,2.5963E-9
57.0076E-12,3.0000E+0,1.4582E-9
56.5637E-12,2.5000E+0,786.7724E-12
56.1804E-12,2.0000E+0,376.9468E-12
55.8778E-12,1.5000E+0,166.0843E-12
61.9299E-12,1.0000E+0,72.2337E-12
60.2959E-12,500.0000E-3,34.4617E-12
59.8319E-12,000.0000E-3,23.2816E-12
59.8117E-12,-500.0000E-3,20.3778E-12
54.9801E-12,-1.0000E+0,20.7724E-12
53.4973E-12,-1.5000E+0,20.2160E-12
55.8778E-12,-2.0000E+0,20.2362E-12
56.0493E-12,-2.5000E+0,20.6611E-12
56.4528E-12,-3.0000E+0,20.2969E-12
58.0566E-12,-3.5000E+0,20.5802E-12
57.1589E-12,-4.0000E+0,20.4284E-12
58.5307E-12,-4.5000E+0,20.3374E-12
56.3822E-12,-5.0000E+0,20.0844E-12
57.2093E-12,-5.5000E+0,20.9040E-12
54.3648E-12,-6.0000E+0,19.7809E-12
52.8820E-12,-6.5000E+0,20.0035E-12
53.2351E-12,-7.0000E+0,20.3070E-12
57.1488E-12,-7.5000E+0,20.5802E-12
57.8448E-12,-8.0000E+0,19.8821E-12
51.5304E-12,-8.5000E+0,19.8315E-12
56.1098E-12,-9.0000E+0,20.3778E-12
54.1832E-12,-9.5000E+0,20.2058E-12
53.1443E-12,-10.0000E+0,19.3762E-12
51.8834E-12,-10.5000E+0,19.9630E-12
50.7033E-12,-11.0000E+0,20.3070E-12
51.6313E-12,-11.5000E+0,19.8112E-12
52.8619E-12,-12.0000E+0,19.3964E-12
54.1026E-12,-12.5000E+0,19.4672E-12
53.9412E-12,-13.0000E+0,20.1249E-12
53.5175E-12,-13.5000E+0,19.4875E-12
47.8085E-12,-14.0000E+0,19.6898E-12
49.7955E-12,-14.5000E+0,19.7910E-12
48.1515E-12,-15.0000E+0,19.2851E-12
52.5593E-12,-15.5000E+0,19.1536E-12
52.9123E-12,-16.0000E+0,19.4369E-12
50.8445E-12,-16.5000E+0,19.7101E-12
50.8042E-12,-17.0000E+0,19.3964E-12
47.5967E-12,-17.5000E+0,19.1839E-12
51.4295E-12,-18.0000E+0,19.3863E-12
47.8186E-12,-18.5000E+0,19.2851E-12
49.6442E-12,-19.0000E+0,18.7894E-12
