GateI,GateV,DrainI
47.3849E-12,-20.0000E+0,67.8016E-12
48.1111E-12,-19.5000E+0,62.0948E-12
52.4987E-12,-19.0000E+0,57.4402E-12
54.0521E-12,-18.5000E+0,54.1011E-12
51.7019E-12,-18.0000E+0,50.8024E-12
53.7092E-12,-17.5000E+0,49.0721E-12
53.7495E-12,-17.0000E+0,46.8157E-12
50.6024E-12,-16.5000E+0,45.3384E-12
55.8778E-12,-16.0000E+0,43.8105E-12
56.3317E-12,-15.5000E+0,42.4546E-12
55.0507E-12,-15.0000E+0,41.0382E-12
54.7178E-12,-14.5000E+0,40.4513E-12
53.7697E-12,-14.0000E+0,39.1563E-12
55.5853E-12,-13.5000E+0,38.8426E-12
59.2468E-12,-13.0000E+0,37.3958E-12
55.2827E-12,-12.5000E+0,37.0316E-12
54.8893E-12,-12.0000E+0,36.2525E-12
57.3606E-12,-11.5000E+0,36.1615E-12
57.3505E-12,-11.0000E+0,35.5746E-12
56.8461E-12,-10.5000E+0,34.5831E-12
59.2367E-12,-10.0000E+0,34.3808E-12
61.5567E-12,-9.5000E+0,33.4702E-12
58.0364E-12,-9.0000E+0,33.3690E-12
59.1762E-12,-8.5000E+0,33.0149E-12
60.0739E-12,-8.0000E+0,32.3370E-12
62.7671E-12,-7.5000E+0,32.1852E-12
63.6850E-12,-7.0000E+0,31.7401E-12
59.6503E-12,-6.5000E+0,30.9914E-12
59.7511E-12,-6.0000E+0,31.0521E-12
60.0538E-12,-5.5000E+0,30.6777E-12
62.1417E-12,-5.0000E+0,30.5361E-12
59.9327E-12,-4.5000E+0,29.8784E-12
63.3420E-12,-4.0000E+0,30.0099E-12
60.7094E-12,-3.5000E+0,29.4636E-12
60.4471E-12,-3.0000E+0,29.2815E-12
62.6259E-12,-2.5000E+0,28.8667E-12
63.7153E-12,-2.0000E+0,29.7671E-12
67.5180E-12,-1.5000E+0,29.8481E-12
65.3493E-12,-1.0000E+0,29.1702E-12
67.1851E-12,-500.0000E-3,27.9662E-12
66.3983E-12,000.0000E-3,38.7921E-12
65.4098E-12,500.0000E-3,1.4238E-9
68.5872E-12,1.0000E+0,8.6527E-9
67.2759E-12,1.5000E+0,25.2565E-9
70.7861E-12,2.0000E+0,53.9102E-9
66.7211E-12,2.5000E+0,97.8929E-9
66.2874E-12,3.0000E+0,157.7447E-9
67.6995E-12,3.5000E+0,236.2163E-9
66.0655E-12,4.0000E+0,335.1432E-9
71.3005E-12,4.5000E+0,456.3348E-9
69.3336E-12,5.0000E+0,601.5400E-9
66.2672E-12,5.5000E+0,772.6716E-9
71.7242E-12,6.0000E+0,965.7510E-9
65.6923E-12,6.5000E+0,1.1944E-6
68.0223E-12,7.0000E+0,1.4532E-6
69.0209E-12,7.5000E+0,1.7452E-6
67.3062E-12,8.0000E+0,2.0706E-6
67.4978E-12,8.5000E+0,2.4320E-6
65.7427E-12,9.0000E+0,2.8307E-6
66.0554E-12,9.5000E+0,3.2686E-6
68.2846E-12,10.0000E+0,3.7462E-6
66.2168E-12,10.5000E+0,4.2656E-6
68.3854E-12,11.0000E+0,4.8284E-6
68.9705E-12,11.5000E+0,5.4365E-6
70.2313E-12,12.0000E+0,6.0904E-6
66.6707E-12,12.5000E+0,6.7924E-6
68.2543E-12,13.0000E+0,7.5426E-6
71.5729E-12,13.5000E+0,8.3436E-6
72.6118E-12,14.0000E+0,9.1746E-6
68.1635E-12,14.5000E+0,10.0831E-6
68.3552E-12,15.0000E+0,11.0443E-6
69.4244E-12,15.5000E+0,12.0608E-6
67.3969E-12,16.0000E+0,13.1331E-6
68.7990E-12,16.5000E+0,14.2647E-6
