GateI,GateV,DrainI
56.4427E-12,-20.0000E+0,65.9703E-12
53.9008E-12,-19.5000E+0,59.7979E-12
52.7509E-12,-19.0000E+0,55.1939E-12
52.5593E-12,-18.5000E+0,52.5226E-12
55.0003E-12,-18.0000E+0,49.8007E-12
57.9255E-12,-17.5000E+0,47.6758E-12
58.7728E-12,-17.0000E+0,45.2473E-12
55.6559E-12,-16.5000E+0,43.2742E-12
58.5105E-12,-16.0000E+0,42.3433E-12
61.9098E-12,-15.5000E+0,40.8560E-12
61.0625E-12,-15.0000E+0,39.2979E-12
62.5957E-12,-14.5000E+0,38.5290E-12
59.6301E-12,-14.0000E+0,37.3654E-12
62.1518E-12,-13.5000E+0,36.5864E-12
58.0364E-12,-13.0000E+0,35.9287E-12
61.2743E-12,-12.5000E+0,35.5240E-12
61.6677E-12,-12.0000E+0,34.8360E-12
62.8075E-12,-11.5000E+0,34.6235E-12
59.9630E-12,-11.0000E+0,33.7130E-12
61.2238E-12,-10.5000E+0,33.9659E-12
59.2670E-12,-10.0000E+0,32.5595E-12
61.3247E-12,-9.5000E+0,33.0553E-12
62.9689E-12,-9.0000E+0,32.0233E-12
64.9862E-12,-8.5000E+0,31.7400E-12
64.4516E-12,-8.0000E+0,31.0216E-12
66.3984E-12,-7.5000E+0,31.0925E-12
67.0238E-12,-7.0000E+0,30.5562E-12
67.8206E-12,-6.5000E+0,30.3944E-12
64.9156E-12,-6.0000E+0,30.2729E-12
65.0972E-12,-5.5000E+0,29.4838E-12
64.4718E-12,-5.0000E+0,29.0183E-12
65.7730E-12,-4.5000E+0,29.7063E-12
63.4833E-12,-4.0000E+0,28.9880E-12
63.3623E-12,-3.5000E+0,28.4012E-12
65.8840E-12,-3.0000E+0,28.6845E-12
64.2802E-12,-2.5000E+0,28.7452E-12
67.6391E-12,-2.0000E+0,28.0167E-12
65.2081E-12,-1.5000E+0,27.5918E-12
69.6564E-12,-1.0000E+0,85.3576E-12
67.0641E-12,-500.0000E-3,933.5031E-12
64.5928E-12,000.0000E-3,3.9044E-9
67.4071E-12,500.0000E-3,10.6380E-9
67.7198E-12,1.0000E+0,22.7765E-9
69.8582E-12,1.5000E+0,41.9415E-9
67.7702E-12,2.0000E+0,69.5159E-9
