GateI,GateV,DrainI
56.6345E-12,-20.0000E+0,995.9384E-6
57.3003E-12,-19.5000E+0,1.0032E-3
58.4603E-12,-19.0000E+0,1.0103E-3
56.4227E-12,-18.5000E+0,1.0175E-3
58.8234E-12,-18.0000E+0,1.0246E-3
61.6881E-12,-17.5000E+0,1.0317E-3
62.2631E-12,-17.0000E+0,1.0388E-3
62.7776E-12,-16.5000E+0,1.0458E-3
62.0008E-12,-16.0000E+0,1.0529E-3
63.6450E-12,-15.5000E+0,1.0600E-3
65.7734E-12,-15.0000E+0,1.0670E-3
68.6382E-12,-14.5000E+0,1.0741E-3
67.6194E-12,-14.0000E+0,1.0812E-3
66.4795E-12,-13.5000E+0,1.0883E-3
65.3498E-12,-13.0000E+0,1.0954E-3
66.7821E-12,-12.5000E+0,1.1026E-3
67.2764E-12,-12.0000E+0,1.1097E-3
68.4162E-12,-11.5000E+0,1.1168E-3
66.8527E-12,-11.0000E+0,1.1240E-3
65.5212E-12,-10.5000E+0,1.1312E-3
64.3007E-12,-10.0000E+0,1.1384E-3
68.1439E-12,-9.5000E+0,1.1456E-3
63.9476E-12,-9.0000E+0,1.1528E-3
66.0357E-12,-8.5000E+0,1.1600E-3
69.4855E-12,-8.0000E+0,1.1673E-3
67.4378E-12,-7.5000E+0,1.1745E-3
64.5125E-12,-7.0000E+0,1.1818E-3
63.4433E-12,-6.5000E+0,1.1890E-3
64.6739E-12,-6.0000E+0,1.1964E-3
64.5428E-12,-5.5000E+0,1.2037E-3
65.6221E-12,-5.0000E+0,1.2110E-3
68.7693E-12,-4.5000E+0,1.2183E-3
66.9637E-12,-4.0000E+0,1.2257E-3
67.6496E-12,-3.5000E+0,1.2331E-3
68.3557E-12,-3.0000E+0,1.2405E-3
70.5446E-12,-2.5000E+0,1.2479E-3
70.3832E-12,-2.0000E+0,1.2553E-3
69.5863E-12,-1.5000E+0,1.2628E-3
72.2594E-12,-1.0000E+0,1.2702E-3
71.4121E-12,-500.0000E-3,1.2777E-3
72.2695E-12,000.0000E-3,1.2852E-3
72.1384E-12,500.0000E-3,1.2927E-3
71.8660E-12,1.0000E+0,1.3002E-3
71.2003E-12,1.5000E+0,1.3077E-3
69.7376E-12,2.0000E+0,1.3152E-3
70.9481E-12,2.5000E+0,1.3228E-3
67.9018E-12,3.0000E+0,1.3304E-3
69.7175E-12,3.5000E+0,1.3379E-3
67.7908E-12,4.0000E+0,1.3455E-3
69.7376E-12,4.5000E+0,1.3531E-3
72.7436E-12,5.0000E+0,1.3608E-3
72.5116E-12,5.5000E+0,1.3684E-3
71.2104E-12,6.0000E+0,1.3761E-3
69.7679E-12,6.5000E+0,1.3838E-3
68.8399E-12,7.0000E+0,1.3914E-3
70.4135E-12,7.5000E+0,1.3991E-3
68.9710E-12,8.0000E+0,1.4068E-3
69.3241E-12,8.5000E+0,1.4146E-3
68.9912E-12,9.0000E+0,1.4223E-3
66.9334E-12,9.5000E+0,1.4300E-3
68.6079E-12,10.0000E+0,1.4378E-3
70.8674E-12,10.5000E+0,1.4456E-3
72.0678E-12,11.0000E+0,1.4534E-3
73.0361E-12,11.5000E+0,1.4612E-3
74.4382E-12,12.0000E+0,1.4690E-3
74.3676E-12,12.5000E+0,1.4768E-3
73.7927E-12,13.0000E+0,1.4847E-3
76.8591E-12,13.5000E+0,1.4925E-3
74.3071E-12,14.0000E+0,1.5004E-3
75.1544E-12,14.5000E+0,1.5083E-3
73.3892E-12,15.0000E+0,1.5162E-3
73.1471E-12,15.5000E+0,1.5241E-3
70.5345E-12,16.0000E+0,1.5320E-3
68.1943E-12,16.5000E+0,1.5399E-3
70.6354E-12,17.0000E+0,1.5478E-3
72.9252E-12,17.5000E+0,1.5557E-3
70.7665E-12,18.0000E+0,1.5637E-3
70.8069E-12,18.5000E+0,1.5717E-3
70.8270E-12,19.0000E+0,1.5797E-3
68.4768E-12,19.5000E+0,1.5877E-3
71.3415E-12,20.0000E+0,1.5957E-3
72.8949E-12,20.0000E+0,1.5955E-3
70.9380E-12,19.5000E+0,1.5871E-3
68.8096E-12,19.0000E+0,1.5789E-3
68.3355E-12,18.5000E+0,1.5706E-3
67.3167E-12,18.0000E+0,1.5624E-3
68.1842E-12,17.5000E+0,1.5542E-3
67.1049E-12,17.0000E+0,1.5461E-3
71.4323E-12,16.5000E+0,1.5380E-3
73.1572E-12,16.0000E+0,1.5299E-3
70.7060E-12,15.5000E+0,1.5218E-3
70.4740E-12,15.0000E+0,1.5138E-3
71.2003E-12,14.5000E+0,1.5058E-3
67.5084E-12,14.0000E+0,1.4978E-3
63.4231E-12,13.5000E+0,1.4898E-3
66.4392E-12,13.0000E+0,1.4818E-3
65.9449E-12,12.5000E+0,1.4739E-3
64.9564E-12,12.0000E+0,1.4660E-3
65.8339E-12,11.5000E+0,1.4581E-3
66.6611E-12,11.0000E+0,1.4502E-3
67.5588E-12,10.5000E+0,1.4423E-3
