GateI,GateV,DrainI
53.4672E-12,-20.0000E+0,4.1959E-3
56.4529E-12,-19.5000E+0,4.2043E-3
58.2182E-12,-19.0000E+0,4.2124E-3
59.6505E-12,-18.5000E+0,4.2204E-3
60.4273E-12,-18.0000E+0,4.2283E-3
60.5180E-12,-17.5000E+0,4.2362E-3
61.2544E-12,-17.0000E+0,4.2441E-3
59.2471E-12,-16.5000E+0,4.2519E-3
63.7257E-12,-16.0000E+0,4.2597E-3
60.0944E-12,-15.5000E+0,4.2674E-3
66.5602E-12,-15.0000E+0,4.2752E-3
62.2530E-12,-14.5000E+0,4.2828E-3
67.8009E-12,-14.0000E+0,4.2905E-3
68.8702E-12,-13.5000E+0,4.2982E-3
68.3255E-12,-13.0000E+0,4.3059E-3
71.3415E-12,-12.5000E+0,4.3135E-3
67.4176E-12,-12.0000E+0,4.3211E-3
67.4781E-12,-11.5000E+0,4.3288E-3
68.4667E-12,-11.0000E+0,4.3364E-3
66.5400E-12,-10.5000E+0,4.3440E-3
68.1540E-12,-10.0000E+0,4.3515E-3
67.8312E-12,-9.5000E+0,4.3592E-3
65.6221E-12,-9.0000E+0,4.3668E-3
67.3672E-12,-8.5000E+0,4.3744E-3
67.3571E-12,-8.0000E+0,4.3819E-3
70.3731E-12,-7.5000E+0,4.3895E-3
69.2938E-12,-7.0000E+0,4.3971E-3
71.2911E-12,-6.5000E+0,4.4046E-3
71.6139E-12,-6.0000E+0,4.4122E-3
71.1599E-12,-5.5000E+0,4.4198E-3
70.0604E-12,-5.0000E+0,4.4274E-3
70.7161E-12,-4.5000E+0,4.4350E-3
71.4222E-12,-4.0000E+0,4.4425E-3
68.6583E-12,-3.5000E+0,4.4500E-3
71.0389E-12,-3.0000E+0,4.4576E-3
72.1384E-12,-2.5000E+0,4.4651E-3
71.3213E-12,-2.0000E+0,4.4727E-3
69.6570E-12,-1.5000E+0,4.4802E-3
69.9797E-12,-1.0000E+0,4.4878E-3
71.7954E-12,-500.0000E-3,4.4953E-3
70.9178E-12,000.0000E-3,4.5029E-3
70.4236E-12,500.0000E-3,4.5104E-3
72.2191E-12,1.0000E+0,4.5179E-3
69.2938E-12,1.5000E+0,4.5254E-3
73.0361E-12,2.0000E+0,4.5330E-3
70.5244E-12,2.5000E+0,4.5405E-3
67.8009E-12,3.0000E+0,4.5480E-3
67.2461E-12,3.5000E+0,4.5556E-3
