# Date,2021-01-11 ¿ÀÈÄ 2:53
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
0.072000,-20.000000,-3.833430E-7,20.000000,1.413950E-7
0.152000,-19.500000,-3.245600E-7,20.000000,1.361220E-7
0.209000,-19.000000,-3.212740E-7,20.000000,1.347360E-7
0.260000,-18.500000,-3.185990E-7,20.000000,1.347290E-7
0.324000,-18.000000,-3.203490E-7,20.000000,1.348690E-7
0.370000,-17.500000,-3.207130E-7,20.000000,1.349480E-7
0.433000,-17.000000,-3.269860E-7,20.000000,1.350460E-7
0.478000,-16.500000,-3.210780E-7,20.000000,1.351160E-7
0.543000,-16.000000,-3.214130E-7,20.000000,1.351870E-7
0.589000,-15.500000,-3.189620E-7,20.000000,1.352340E-7
0.641000,-15.000000,-3.202670E-7,20.000000,1.353040E-7
0.720000,-14.500000,-3.217790E-7,20.000000,1.354040E-7
0.786000,-14.000000,-3.209540E-7,20.000000,1.354640E-7
0.851000,-13.500000,-3.221670E-7,20.000000,1.355260E-7
0.935000,-13.000000,-3.198860E-7,20.000000,1.356050E-7
0.997000,-12.500000,-3.491280E-7,20.000000,1.356470E-7
1.065000,-12.000000,-3.470150E-7,20.000000,1.357080E-7
1.151000,-11.500000,-3.201780E-7,20.000000,1.357770E-7
1.209000,-11.000000,-3.232680E-7,20.000000,1.357960E-7
1.258000,-10.500000,-3.220290E-7,20.000000,1.358470E-7
1.304000,-10.000000,-3.226730E-7,20.000000,1.359380E-7
1.352000,-9.500000,-3.202320E-7,20.000000,1.369500E-7
1.403000,-9.000000,-3.210720E-7,20.000000,1.426540E-7
1.472000,-8.500000,-3.198180E-7,20.000000,1.618930E-7
1.519000,-8.000000,-3.212070E-7,20.000000,2.086070E-7
1.571000,-7.500000,-3.220310E-7,20.000000,3.002120E-7
1.641000,-7.000000,-3.231590E-7,20.000000,4.575440E-7
1.689000,-6.500000,-3.239530E-7,20.000000,7.073160E-7
1.742000,-6.000000,-3.238700E-7,20.000000,1.076170E-6
1.815000,-5.500000,-3.491280E-7,20.000000,1.597080E-6
1.865000,-5.000000,-3.491290E-7,20.000000,2.296700E-6
1.915000,-4.500000,-3.424750E-7,20.000000,3.203120E-6
1.964000,-4.000000,-3.448970E-7,20.000000,4.345010E-6
2.011000,-3.500000,-3.142180E-7,20.000000,5.750170E-6
2.059000,-3.000000,-3.080140E-7,20.000000,7.446260E-6
2.123000,-2.500000,-2.992850E-7,20.000000,9.456450E-6
2.170000,-2.000000,-2.783580E-7,20.000000,1.179880E-5
2.231000,-1.500000,-2.793300E-7,20.000000,1.453530E-5
2.279000,-1.000000,-2.220350E-7,20.000000,1.766380E-5
2.330000,-0.500000,-1.814990E-7,20.000000,2.121570E-5
2.380000,0.000000,-1.267130E-7,20.000000,2.522080E-5
4.074000,0.500000,-5.270270E-10,20.000000,2.928320E-5
5.014000,1.000000,-3.246160E-10,20.000000,3.414040E-5
7.673000,1.500000,-1.313590E-12,20.000000,3.942190E-5
8.914000,2.000000,6.806460E-12,20.000000,4.533980E-5
10.155000,2.500000,4.277110E-11,20.000000,5.177220E-5
11.395000,3.000000,7.787460E-11,20.000000,5.880850E-5
14.204000,3.500000,4.786120E-9,20.000000,6.628540E-5
14.333000,4.000000,6.369610E-9,20.000000,7.465290E-5
14.462000,4.500000,9.268260E-9,20.000000,8.366810E-5
14.668000,5.000000,9.282700E-8,20.000000,9.327900E-5
14.759000,5.500000,1.821120E-6,20.000000,1.036380E-4
14.816000,6.000000,2.195260E-6,20.000000,1.147480E-4
14.865000,6.500000,2.572180E-6,20.000000,1.265540E-4
14.920000,7.000000,2.975710E-6,20.000000,1.390820E-4
14.990000,7.500000,3.417430E-6,20.000000,1.523130E-4
15.039000,8.000000,3.895580E-6,20.000000,1.663520E-4
15.085000,8.500000,4.412310E-6,20.000000,1.811650E-4
15.160000,9.000000,4.964420E-6,20.000000,1.966410E-4
15.212000,9.500000,5.558050E-6,20.000000,2.129740E-4
15.264000,10.000000,6.191630E-6,20.000000,2.300020E-4
15.335000,10.500000,6.864750E-6,20.000000,2.478180E-4
15.385000,11.000000,7.581960E-6,20.000000,2.664130E-4
15.431000,11.500000,8.342620E-6,20.000000,2.858280E-4
15.481000,12.000000,9.151070E-6,20.000000,3.060640E-4
15.544000,12.500000,9.977480E-6,20.000000,3.269670E-4
15.585000,13.000000,1.091600E-5,20.000000,3.487640E-4
15.635000,13.500000,1.186750E-5,20.000000,3.713590E-4
15.685000,14.000000,1.286500E-5,20.000000,3.946140E-4
15.735000,14.500000,1.391420E-5,20.000000,4.186810E-4
15.781000,15.000000,1.501610E-5,20.000000,4.434090E-4
15.829000,15.500000,1.617250E-5,20.000000,4.689060E-4
15.879000,16.000000,1.738450E-5,20.000000,4.950470E-4
15.929000,16.500000,1.865300E-5,20.000000,5.220200E-4
15.976000,17.000000,1.998590E-5,20.000000,5.496620E-4
16.041000,17.500000,2.137350E-5,20.000000,5.777390E-4
16.089000,18.000000,2.283430E-5,20.000000,6.067380E-4
16.137000,18.500000,2.435470E-5,20.000000,6.363120E-4
16.183000,19.000000,2.595160E-5,20.000000,6.664820E-4
16.232000,19.500000,2.761380E-5,20.000000,6.972630E-4
16.283000,20.000000,2.935190E-5,20.000000,7.287330E-4
