# Date,2021-01-11 ¿ÀÈÄ 3:22
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
0.076000,-40.000000,-7.014400E-7,40.000000,5.225890E-7
0.158000,-39.500000,-7.018980E-7,40.000000,5.236500E-7
0.221000,-39.000000,-7.044760E-7,40.000000,5.247590E-7
0.270000,-38.500000,-7.035290E-7,40.000000,5.253030E-7
0.336000,-38.000000,-7.064960E-7,40.000000,5.260350E-7
0.400000,-37.500000,-7.079670E-7,40.000000,5.267100E-7
0.462000,-37.000000,-7.340710E-7,40.000000,5.273780E-7
0.506000,-36.500000,-7.079600E-7,40.000000,5.277730E-7
0.556000,-36.000000,-7.083430E-7,40.000000,5.282500E-7
0.627000,-35.500000,-7.090430E-7,40.000000,5.288480E-7
0.697000,-35.000000,-7.361920E-7,40.000000,5.293870E-7
0.815000,-34.500000,-7.383020E-7,40.000000,5.302390E-7
0.875000,-34.000000,-7.115060E-7,40.000000,5.306650E-7
0.941000,-33.500000,-7.114830E-7,40.000000,5.310950E-7
1.025000,-33.000000,-7.119840E-7,40.000000,5.316370E-7
1.088000,-32.500000,-7.120750E-7,40.000000,5.319910E-7
1.153000,-32.000000,-7.113690E-7,40.000000,5.323490E-7
1.241000,-31.500000,-7.124620E-7,40.000000,5.328160E-7
1.305000,-31.000000,-7.119850E-7,40.000000,5.331190E-7
1.367000,-30.500000,-7.142720E-7,40.000000,5.334320E-7
1.430000,-30.000000,-7.404200E-7,40.000000,5.336960E-7
1.486000,-29.500000,-7.131080E-7,40.000000,5.339450E-7
1.536000,-29.000000,-7.152630E-7,40.000000,5.341650E-7
1.606000,-28.500000,-7.140780E-7,40.000000,5.344990E-7
1.655000,-28.000000,-7.151780E-7,40.000000,5.347470E-7
1.704000,-27.500000,-7.150860E-7,40.000000,5.349630E-7
1.752000,-27.000000,-7.168160E-7,40.000000,5.351280E-7
1.796000,-26.500000,-7.425310E-7,40.000000,5.353030E-7
1.849000,-26.000000,-7.425320E-7,40.000000,5.355240E-7
1.913000,-25.500000,-7.425370E-7,40.000000,5.357430E-7
1.958000,-25.000000,-7.175190E-7,40.000000,5.358930E-7
2.004000,-24.500000,-7.171050E-7,40.000000,5.360640E-7
