GateV,DrainI
-20.0000E+0,1.2011E-6
-19.5000E+0,1.2019E-6
-19.0000E+0,1.2027E-6
-18.5000E+0,1.2034E-6
-18.0000E+0,1.2041E-6
-17.5000E+0,1.2048E-6
-17.0000E+0,1.2055E-6
-16.5000E+0,1.2070E-6
-16.0000E+0,1.2110E-6
-15.5000E+0,1.2205E-6
-15.0000E+0,1.2432E-6
-14.5000E+0,1.2892E-6
-14.0000E+0,1.3712E-6
-13.5000E+0,1.5019E-6
-13.0000E+0,1.6953E-6
-12.5000E+0,1.9675E-6
-12.0000E+0,2.3281E-6
-11.5000E+0,2.7930E-6
-11.0000E+0,3.3805E-6
-10.5000E+0,4.1005E-6
-10.0000E+0,4.9564E-6
-9.5000E+0,5.9708E-6
-9.0000E+0,7.1501E-6
-8.5000E+0,8.5096E-6
-8.0000E+0,10.0134E-6
-7.5000E+0,11.7512E-6
-7.0000E+0,13.6974E-6
-6.5000E+0,15.8306E-6
-6.0000E+0,18.1856E-6
-5.5000E+0,20.7882E-6
-5.0000E+0,23.6398E-6
-4.5000E+0,26.7288E-6
-4.0000E+0,30.0506E-6
-3.5000E+0,33.6545E-6
-3.0000E+0,37.5184E-6
-2.5000E+0,41.6163E-6
-2.0000E+0,45.9554E-6
-1.5000E+0,50.5165E-6
-1.0000E+0,55.2971E-6
-500.0000E-3,60.2539E-6
000.0000E-3,65.3225E-6
500.0000E-3,70.3709E-6
1.0000E+0,75.2316E-6
1.5000E+0,79.5092E-6
2.0000E+0,82.6203E-6
2.5000E+0,84.1503E-6
3.0000E+0,84.6425E-6
3.5000E+0,85.0873E-6
4.0000E+0,86.3674E-6
4.5000E+0,89.0965E-6
5.0000E+0,93.1150E-6
5.5000E+0,98.2951E-6
6.0000E+0,104.2758E-6
6.5000E+0,110.7900E-6
7.0000E+0,117.8751E-6
7.5000E+0,125.3645E-6
8.0000E+0,133.2968E-6
8.5000E+0,141.7601E-6
9.0000E+0,150.5959E-6
9.5000E+0,159.7507E-6
10.0000E+0,169.3141E-6
10.5000E+0,179.2719E-6
11.0000E+0,189.4419E-6
11.5000E+0,200.1838E-6
12.0000E+0,211.1687E-6
12.5000E+0,222.6580E-6
13.0000E+0,234.6678E-6
13.5000E+0,246.8481E-6
14.0000E+0,259.2202E-6
14.5000E+0,271.9632E-6
15.0000E+0,285.0972E-6
15.5000E+0,298.3547E-6
16.0000E+0,312.1265E-6
16.5000E+0,326.1497E-6
17.0000E+0,340.2794E-6
17.5000E+0,354.5446E-6
18.0000E+0,369.3081E-6
18.5000E+0,384.4785E-6
19.0000E+0,399.7266E-6
19.5000E+0,415.2407E-6
20.0000E+0,430.8834E-6
20.0000E+0,430.6703E-6
19.5000E+0,414.5593E-6
19.0000E+0,398.5787E-6
18.5000E+0,383.0425E-6
18.0000E+0,367.8291E-6
17.5000E+0,352.7163E-6
17.0000E+0,338.0213E-6
16.5000E+0,323.6235E-6
16.0000E+0,309.6123E-6
15.5000E+0,295.5744E-6
15.0000E+0,282.2158E-6
14.5000E+0,269.1009E-6
14.0000E+0,256.3303E-6
13.5000E+0,243.8498E-6
13.0000E+0,231.9970E-6
12.5000E+0,220.1595E-6
12.0000E+0,208.7980E-6
11.5000E+0,197.7589E-6
11.0000E+0,187.0545E-6
10.5000E+0,176.7659E-6
10.0000E+0,166.8621E-6
9.5000E+0,157.3517E-6
9.0000E+0,148.2306E-6
8.5000E+0,139.5011E-6
8.0000E+0,131.1760E-6
7.5000E+0,123.2544E-6
7.0000E+0,115.7819E-6
6.5000E+0,108.7945E-6
6.0000E+0,102.3150E-6
5.5000E+0,96.4946E-6
5.0000E+0,91.4322E-6
4.5000E+0,87.3826E-6
4.0000E+0,84.7367E-6
3.5000E+0,83.5143E-6
3.0000E+0,83.0803E-6
2.5000E+0,82.5809E-6
2.0000E+0,81.0291E-6
1.5000E+0,77.8123E-6
1.0000E+0,73.4795E-6
500.0000E-3,68.7796E-6
000.0000E-3,63.7757E-6
-500.0000E-3,58.8183E-6
-1.0000E+0,53.9791E-6
-1.5000E+0,49.2917E-6
-2.0000E+0,44.7623E-6
-2.5000E+0,40.4996E-6
-3.0000E+0,36.4857E-6
-3.5000E+0,32.6969E-6
-4.0000E+0,29.1768E-6
-4.5000E+0,25.9292E-6
-5.0000E+0,22.9000E-6
-5.5000E+0,20.1176E-6
-6.0000E+0,17.5948E-6
-6.5000E+0,15.3048E-6
-7.0000E+0,13.2249E-6
-7.5000E+0,11.3407E-6
-8.0000E+0,9.6651E-6
-8.5000E+0,8.1741E-6
-9.0000E+0,6.9088E-6
-9.5000E+0,5.7718E-6
-10.0000E+0,4.7937E-6
-10.5000E+0,3.9701E-6
-11.0000E+0,3.2857E-6
-11.5000E+0,2.7236E-6
-12.0000E+0,2.2762E-6
-12.5000E+0,1.9323E-6
-13.0000E+0,1.6777E-6
-13.5000E+0,1.4982E-6
-14.0000E+0,1.3759E-6
-14.5000E+0,1.3017E-6
-15.0000E+0,1.2600E-6
-15.5000E+0,1.2403E-6
-16.0000E+0,1.2323E-6
-16.5000E+0,1.2295E-6
-17.0000E+0,1.2287E-6
-17.5000E+0,1.2286E-6
-18.0000E+0,1.2287E-6
-18.5000E+0,1.2287E-6
-19.0000E+0,1.2289E-6
-19.5000E+0,1.2290E-6
-20.0000E+0,1.2291E-6
