GateV,DrainI
-20.0000E+0,214.2861E-9
-19.5000E+0,214.4488E-9
-19.0000E+0,214.6058E-9
-18.5000E+0,214.7393E-9
-18.0000E+0,214.8662E-9
-17.5000E+0,214.9887E-9
-17.0000E+0,215.1178E-9
-16.5000E+0,215.2420E-9
-16.0000E+0,215.3766E-9
-15.5000E+0,215.4824E-9
-15.0000E+0,215.5938E-9
-14.5000E+0,215.6991E-9
-14.0000E+0,215.8095E-9
-13.5000E+0,215.8969E-9
-13.0000E+0,215.9925E-9
-12.5000E+0,216.0867E-9
-12.0000E+0,216.1574E-9
-11.5000E+0,216.2468E-9
-11.0000E+0,216.3461E-9
-10.5000E+0,216.4237E-9
-10.0000E+0,216.5116E-9
-9.5000E+0,216.6142E-9
-9.0000E+0,216.7054E-9
-8.5000E+0,216.8090E-9
-8.0000E+0,216.9144E-9
-7.5000E+0,217.1054E-9
-7.0000E+0,218.0723E-9
-6.5000E+0,224.0983E-9
-6.0000E+0,243.1151E-9
-5.5000E+0,283.4454E-9
-5.0000E+0,352.5738E-9
-4.5000E+0,457.3251E-9
-4.0000E+0,603.7731E-9
-3.5000E+0,797.7887E-9
-3.0000E+0,1.0388E-6
-2.5000E+0,1.3431E-6
-2.0000E+0,1.7095E-6
-1.5000E+0,2.1420E-6
-1.0000E+0,2.6457E-6
-500.0000E-3,3.2247E-6
000.0000E-3,3.8848E-6
500.0000E-3,4.6304E-6
1.0000E+0,5.4684E-6
1.5000E+0,6.4057E-6
2.0000E+0,7.4473E-6
2.5000E+0,8.6019E-6
3.0000E+0,9.8265E-6
3.5000E+0,11.2267E-6
4.0000E+0,12.7569E-6
4.5000E+0,14.4236E-6
5.0000E+0,16.2315E-6
5.5000E+0,18.1895E-6
6.0000E+0,20.3014E-6
6.5000E+0,22.5749E-6
7.0000E+0,25.0107E-6
7.5000E+0,27.6186E-6
8.0000E+0,30.3975E-6
8.5000E+0,33.3597E-6
9.0000E+0,36.5033E-6
9.5000E+0,39.8377E-6
10.0000E+0,43.3617E-6
10.5000E+0,47.0781E-6
11.0000E+0,50.9929E-6
11.5000E+0,55.1123E-6
12.0000E+0,59.4317E-6
12.5000E+0,63.9599E-6
13.0000E+0,68.6921E-6
13.5000E+0,73.6366E-6
14.0000E+0,78.7910E-6
14.5000E+0,84.1602E-6
15.0000E+0,89.7274E-6
15.5000E+0,95.1392E-6
16.0000E+0,101.1514E-6
16.5000E+0,107.3722E-6
17.0000E+0,113.7926E-6
17.5000E+0,120.4202E-6
18.0000E+0,127.2141E-6
18.5000E+0,134.2459E-6
19.0000E+0,141.4773E-6
19.5000E+0,148.9197E-6
20.0000E+0,156.5677E-6
20.0000E+0,156.3260E-6
19.5000E+0,148.2511E-6
19.0000E+0,140.4553E-6
18.5000E+0,132.9258E-6
18.0000E+0,125.6502E-6
17.5000E+0,118.6264E-6
17.0000E+0,111.8394E-6
16.5000E+0,105.2895E-6
16.0000E+0,99.0013E-6
15.5000E+0,92.9405E-6
15.0000E+0,87.1089E-6
14.5000E+0,81.5129E-6
14.0000E+0,76.1407E-6
13.5000E+0,71.0054E-6
13.0000E+0,66.1114E-6
12.5000E+0,61.3988E-6
12.0000E+0,56.9137E-6
11.5000E+0,52.6532E-6
11.0000E+0,48.6060E-6
10.5000E+0,44.7744E-6
10.0000E+0,41.1478E-6
9.5000E+0,37.7234E-6
9.0000E+0,34.4919E-6
8.5000E+0,31.4531E-6
8.0000E+0,28.6002E-6
7.5000E+0,25.9308E-6
7.0000E+0,23.4357E-6
6.5000E+0,21.1104E-6
6.0000E+0,18.9466E-6
5.5000E+0,16.9421E-6
5.0000E+0,15.0891E-6
4.5000E+0,13.3829E-6
4.0000E+0,11.8138E-6
3.5000E+0,10.3779E-6
3.0000E+0,9.0677E-6
2.5000E+0,7.8790E-6
2.0000E+0,6.8349E-6
1.5000E+0,5.8599E-6
1.0000E+0,4.9859E-6
500.0000E-3,4.2081E-6
000.0000E-3,3.5186E-6
-500.0000E-3,2.9122E-6
-1.0000E+0,2.3826E-6
-1.5000E+0,1.9244E-6
-2.0000E+0,1.5336E-6
-2.5000E+0,1.2047E-6
-3.0000E+0,933.7478E-9
-3.5000E+0,715.5216E-9
-4.0000E+0,550.2242E-9
-4.5000E+0,421.5908E-9
-5.0000E+0,330.8646E-9
-5.5000E+0,272.1227E-9
-6.0000E+0,238.6927E-9
-6.5000E+0,223.5269E-9
-7.0000E+0,219.0444E-9
-7.5000E+0,218.4303E-9
-8.0000E+0,218.3592E-9
-8.5000E+0,218.3809E-9
-9.0000E+0,218.4442E-9
-9.5000E+0,218.4963E-9
-10.0000E+0,218.5574E-9
-10.5000E+0,218.6026E-9
-11.0000E+0,218.6627E-9
-11.5000E+0,218.7270E-9
-12.0000E+0,218.7789E-9
-12.5000E+0,218.8480E-9
-13.0000E+0,218.9103E-9
-13.5000E+0,218.9798E-9
-14.0000E+0,219.0506E-9
-14.5000E+0,219.1169E-9
-15.0000E+0,219.1824E-9
-15.5000E+0,219.2387E-9
-16.0000E+0,219.2933E-9
-16.5000E+0,219.3449E-9
-17.0000E+0,219.4029E-9
-17.5000E+0,219.4566E-9
-18.0000E+0,219.5071E-9
-18.5000E+0,219.5704E-9
-19.0000E+0,219.6337E-9
-19.5000E+0,219.6738E-9
-20.0000E+0,219.7295E-9
