GateV,DrainI
-20.0000E+0,10.9274E-9
-19.5000E+0,10.9078E-9
-19.0000E+0,10.9446E-9
-18.5000E+0,10.9801E-9
-18.0000E+0,10.9598E-9
-17.5000E+0,10.9653E-9
-17.0000E+0,11.0103E-9
-16.5000E+0,11.0110E-9
-16.0000E+0,10.9776E-9
-15.5000E+0,10.9640E-9
-15.0000E+0,10.9665E-9
-14.5000E+0,10.9742E-9
-14.0000E+0,10.9793E-9
-13.5000E+0,10.9866E-9
-13.0000E+0,10.9957E-9
-12.5000E+0,11.0021E-9
-12.0000E+0,11.0074E-9
-11.5000E+0,11.0171E-9
-11.0000E+0,11.0206E-9
-10.5000E+0,11.0262E-9
-10.0000E+0,11.0329E-9
-9.5000E+0,11.0414E-9
-9.0000E+0,11.0440E-9
-8.5000E+0,11.0512E-9
-8.0000E+0,11.0775E-9
-7.5000E+0,11.7791E-9
-7.0000E+0,15.8139E-9
-6.5000E+0,27.1480E-9
-6.0000E+0,49.9247E-9
-5.5000E+0,89.1681E-9
-5.0000E+0,148.5807E-9
-4.5000E+0,233.2005E-9
-4.0000E+0,346.4402E-9
-3.5000E+0,493.6603E-9
-3.0000E+0,680.9246E-9
-2.5000E+0,902.2148E-9
-2.0000E+0,1.1816E-6
-1.5000E+0,1.5090E-6
-1.0000E+0,1.8870E-6
-500.0000E-3,2.3124E-6
000.0000E-3,2.7843E-6
500.0000E-3,3.2983E-6
1.0000E+0,3.8529E-6
1.5000E+0,4.4413E-6
2.0000E+0,5.0387E-6
2.5000E+0,5.7081E-6
3.0000E+0,6.4148E-6
3.5000E+0,7.1418E-6
4.0000E+0,7.9352E-6
4.5000E+0,8.7489E-6
5.0000E+0,9.7115E-6
5.5000E+0,10.6208E-6
6.0000E+0,11.7025E-6
6.5000E+0,12.3365E-6
7.0000E+0,13.4022E-6
7.5000E+0,14.6000E-6
8.0000E+0,15.6876E-6
8.5000E+0,17.0571E-6
9.0000E+0,18.3171E-6
9.5000E+0,19.7643E-6
10.0000E+0,21.2239E-6
10.5000E+0,22.5193E-6
11.0000E+0,24.0994E-6
11.5000E+0,25.7034E-6
12.0000E+0,27.1423E-6
12.5000E+0,29.2222E-6
13.0000E+0,32.3109E-6
13.5000E+0,33.8816E-6
14.0000E+0,36.2504E-6
14.5000E+0,40.3486E-6
15.0000E+0,45.4178E-6
15.5000E+0,49.1234E-6
16.0000E+0,51.4376E-6
16.5000E+0,54.6559E-6
17.0000E+0,58.4624E-6
17.5000E+0,63.7661E-6
18.0000E+0,70.5392E-6
18.5000E+0,73.7697E-6
19.0000E+0,78.8187E-6
19.5000E+0,83.7500E-6
20.0000E+0,89.8807E-6
20.0000E+0,89.5217E-6
19.5000E+0,84.8146E-6
19.0000E+0,79.9977E-6
18.5000E+0,74.9725E-6
18.0000E+0,70.2022E-6
17.5000E+0,65.9244E-6
17.0000E+0,61.5159E-6
16.5000E+0,57.6996E-6
16.0000E+0,54.0360E-6
15.5000E+0,50.4025E-6
15.0000E+0,47.2656E-6
14.5000E+0,44.2061E-6
14.0000E+0,41.2070E-6
13.5000E+0,38.3399E-6
13.0000E+0,35.6427E-6
12.5000E+0,33.0996E-6
12.0000E+0,30.7406E-6
11.5000E+0,28.5102E-6
11.0000E+0,26.3935E-6
10.5000E+0,24.4083E-6
10.0000E+0,22.5629E-6
9.5000E+0,20.7930E-6
9.0000E+0,19.1637E-6
8.5000E+0,17.6035E-6
8.0000E+0,16.1576E-6
7.5000E+0,14.8111E-6
7.0000E+0,13.5365E-6
6.5000E+0,12.3452E-6
6.0000E+0,11.2354E-6
5.5000E+0,10.2093E-6
5.0000E+0,9.2544E-6
4.5000E+0,8.3643E-6
4.0000E+0,7.5320E-6
3.5000E+0,6.7524E-6
3.0000E+0,6.0371E-6
2.5000E+0,5.3543E-6
2.0000E+0,4.7137E-6
1.5000E+0,4.1153E-6
1.0000E+0,3.5533E-6
500.0000E-3,3.0271E-6
000.0000E-3,2.5378E-6
-500.0000E-3,2.0920E-6
-1.0000E+0,1.6915E-6
-1.5000E+0,1.3409E-6
-2.0000E+0,1.0411E-6
-2.5000E+0,790.2987E-9
-3.0000E+0,591.6903E-9
-3.5000E+0,425.3730E-9
-4.0000E+0,295.2139E-9
-4.5000E+0,196.2895E-9
-5.0000E+0,124.0277E-9
-5.5000E+0,74.5346E-9
-6.0000E+0,42.0629E-9
-6.5000E+0,23.3902E-9
-7.0000E+0,14.4427E-9
-7.5000E+0,11.5078E-9
-8.0000E+0,11.0929E-9
-8.5000E+0,11.0945E-9
-9.0000E+0,11.1052E-9
-9.5000E+0,11.1185E-9
-10.0000E+0,11.1288E-9
-10.5000E+0,11.1443E-9
-11.0000E+0,11.1582E-9
-11.5000E+0,11.1748E-9
-12.0000E+0,11.1852E-9
-12.5000E+0,11.2007E-9
-13.0000E+0,11.2076E-9
-13.5000E+0,11.2029E-9
-14.0000E+0,11.2141E-9
-14.5000E+0,11.2205E-9
-15.0000E+0,11.2335E-9
-15.5000E+0,11.2389E-9
-16.0000E+0,11.2494E-9
-16.5000E+0,11.2602E-9
-17.0000E+0,11.2703E-9
-17.5000E+0,11.2759E-9
-18.0000E+0,11.2833E-9
-18.5000E+0,11.2927E-9
-19.0000E+0,11.2987E-9
-19.5000E+0,11.3075E-9
-20.0000E+0,11.3157E-9
