GateI,GateV,DrainI
44.1873E-12,-20.0000E+0,40.8681E-12
42.9669E-12,-19.5000E+0,32.4964E-12
42.7248E-12,-19.0000E+0,27.2033E-12
40.9495E-12,-18.5000E+0,23.5887E-12
46.2148E-12,-18.0000E+0,20.6537E-12
49.3618E-12,-17.5000E+0,18.4362E-12
48.3834E-12,-17.0000E+0,16.7643E-12
52.1962E-12,-16.5000E+0,15.3235E-12
48.4136E-12,-16.0000E+0,14.1986E-12
53.6992E-12,-15.5000E+0,13.3787E-12
54.1935E-12,-15.0000E+0,12.3725E-12
51.1875E-12,-14.5000E+0,11.5953E-12
54.1228E-12,-14.0000E+0,11.0015E-12
49.8762E-12,-13.5000E+0,10.5096E-12
57.2297E-12,-13.0000E+0,9.8410E-12
56.4429E-12,-12.5000E+0,9.4235E-12
57.9862E-12,-12.0000E+0,9.0055E-12
55.2425E-12,-11.5000E+0,8.6915E-12
54.4961E-12,-11.0000E+0,8.2981E-12
58.5612E-12,-10.5000E+0,7.9274E-12
55.4947E-12,-10.0000E+0,7.5004E-12
56.1201E-12,-9.5000E+0,7.4104E-12
54.2943E-12,-9.0000E+0,7.0145E-12
56.7657E-12,-8.5000E+0,6.8422E-12
56.7153E-12,-8.0000E+0,6.6096E-12
61.4159E-12,-7.5000E+0,6.5292E-12
57.8955E-12,-7.0000E+0,6.2107E-12
56.7052E-12,-6.5000E+0,6.0389E-12
56.9775E-12,-6.0000E+0,5.9364E-12
61.3755E-12,-5.5000E+0,5.6827E-12
62.7171E-12,-5.0000E+0,5.5541E-12
62.7877E-12,-4.5000E+0,5.5818E-12
61.1637E-12,-4.0000E+0,5.3833E-12
58.4200E-12,-3.5000E+0,5.2793E-12
60.8611E-12,-3.0000E+0,5.0899E-12
59.9230E-12,-2.5000E+0,5.1105E-12
64.8052E-12,-2.0000E+0,4.9327E-12
63.2820E-12,-1.5000E+0,4.9216E-12
63.4535E-12,-1.0000E+0,4.6770E-12
