GateI,GateV,DrainI
55.3837E-12,-20.0000E+0,49.2014E-12
57.6230E-12,-19.5000E+0,40.2686E-12
58.3493E-12,-19.0000E+0,34.4898E-12
61.0022E-12,-18.5000E+0,30.4291E-12
59.6505E-12,-18.0000E+0,27.3008E-12
62.6867E-12,-17.5000E+0,24.9582E-12
61.1938E-12,-17.0000E+0,23.1160E-12
68.2245E-12,-16.5000E+0,21.5782E-12
67.5285E-12,-16.0000E+0,20.1545E-12
68.0530E-12,-15.5000E+0,18.8448E-12
66.4290E-12,-15.0000E+0,17.7370E-12
64.6537E-12,-14.5000E+0,16.9217E-12
65.8742E-12,-14.0000E+0,16.0928E-12
71.0489E-12,-13.5000E+0,15.4914E-12
69.8183E-12,-13.0000E+0,14.7615E-12
65.0068E-12,-12.5000E+0,14.1249E-12
68.3254E-12,-12.0000E+0,13.7492E-12
64.3914E-12,-11.5000E+0,13.1227E-12
74.1053E-12,-11.0000E+0,12.8454E-12
65.3901E-12,-10.5000E+0,12.2888E-12
65.0168E-12,-10.0000E+0,12.0024E-12
72.1887E-12,-9.5000E+0,11.4709E-12
79.7843E-12,-9.0000E+0,11.2292E-12
73.3588E-12,-8.5000E+0,10.9153E-12
68.4162E-12,-8.0000E+0,10.7244E-12
69.5459E-12,-7.5000E+0,10.4239E-12
71.5936E-12,-7.0000E+0,10.0828E-12
70.9581E-12,-6.5000E+0,9.8934E-12
72.0879E-12,-6.0000E+0,9.6799E-12
73.6715E-12,-5.5000E+0,9.3820E-12
73.9136E-12,-5.0000E+0,9.3147E-12
75.1241E-12,-4.5000E+0,8.9896E-12
74.1860E-12,-4.0000E+0,8.7997E-12
86.8856E-12,-3.5000E+0,8.6249E-12
71.8660E-12,-3.0000E+0,8.4516E-12
74.3877E-12,-2.5000E+0,8.3210E-12
78.8159E-12,-2.0000E+0,8.2677E-12
76.0017E-12,-1.5000E+0,8.0763E-12
75.8302E-12,-1.0000E+0,7.8719E-12
75.9512E-12,-500.0000E-3,7.7940E-12
72.6628E-12,000.0000E-3,7.6945E-12
73.5303E-12,500.0000E-3,7.4112E-12
77.2222E-12,1.0000E+0,7.4554E-12
74.4785E-12,1.5000E+0,7.5338E-12
72.5720E-12,2.0000E+0,8.4752E-12
77.4441E-12,2.5000E+0,13.0428E-12
74.1860E-12,3.0000E+0,25.9218E-12
80.6921E-12,3.5000E+0,310.5121E-12
66.3786E-12,4.0000E+0,6.1214E-9
89.9420E-12,4.5000E+0,34.6683E-9
206.3165E-12,5.0000E+0,25.2133E-9
77.2928E-12,5.5000E+0,240.6273E-9
68.7692E-12,6.0000E+0,134.8279E-9
165.5648E-12,6.5000E+0,89.7641E-9
81.4487E-12,7.0000E+0,386.5599E-9
74.5592E-12,7.5000E+0,629.9190E-9
