GateI,GateV,DrainI
49.8459E-12,-20.0000E+0,48.8698E-12
54.0219E-12,-19.5000E+0,39.9039E-12
49.7552E-12,-19.0000E+0,34.3004E-12
52.6400E-12,-18.5000E+0,30.2789E-12
52.3374E-12,-18.0000E+0,27.3802E-12
55.5451E-12,-17.5000E+0,24.8602E-12
54.7482E-12,-17.0000E+0,22.9341E-12
58.0568E-12,-16.5000E+0,21.1999E-12
57.2094E-12,-16.0000E+0,19.8425E-12
61.7486E-12,-15.5000E+0,18.7463E-12
61.8798E-12,-15.0000E+0,17.5552E-12
63.4130E-12,-14.5000E+0,16.4906E-12
59.6404E-12,-14.0000E+0,15.7486E-12
62.7775E-12,-13.5000E+0,14.9709E-12
61.0526E-12,-13.0000E+0,14.4203E-12
62.9086E-12,-12.5000E+0,13.9114E-12
59.7514E-12,-12.0000E+0,13.4236E-12
57.8147E-12,-11.5000E+0,12.8097E-12
59.3479E-12,-11.0000E+0,12.3038E-12
61.5469E-12,-10.5000E+0,11.9697E-12
62.1118E-12,-10.0000E+0,11.6040E-12
61.2342E-12,-9.5000E+0,11.2524E-12
62.2933E-12,-9.0000E+0,10.9389E-12
65.6523E-12,-8.5000E+0,10.6033E-12
65.8137E-12,-8.0000E+0,10.3280E-12
61.4057E-12,-7.5000E+0,10.0919E-12
63.0599E-12,-7.0000E+0,9.8151E-12
66.1567E-12,-6.5000E+0,9.5890E-12
63.6551E-12,-6.0000E+0,9.4026E-12
60.3465E-12,-5.5000E+0,9.0384E-12
65.4405E-12,-5.0000E+0,8.9565E-12
68.6784E-12,-4.5000E+0,8.8294E-12
66.1466E-12,-4.0000E+0,8.7018E-12
67.7605E-12,-3.5000E+0,8.3808E-12
67.4075E-12,-3.0000E+0,8.1180E-12
68.3052E-12,-2.5000E+0,8.0989E-12
68.9004E-12,-2.0000E+0,7.9764E-12
71.7752E-12,-1.5000E+0,7.7191E-12
72.5216E-12,-1.0000E+0,7.7523E-12
65.2186E-12,-500.0000E-3,7.3946E-12
68.1438E-12,000.0000E-3,9.2293E-12
71.6138E-12,500.0000E-3,125.0548E-12
68.5877E-12,1.0000E+0,912.1564E-12
67.7000E-12,1.5000E+0,2.7579E-9
67.7403E-12,2.0000E+0,6.1784E-9
70.3630E-12,2.5000E+0,11.6076E-9
71.5633E-12,3.0000E+0,19.7193E-9
71.3313E-12,3.5000E+0,29.9683E-9
71.3616E-12,4.0000E+0,74.4281E-9
74.6500E-12,4.5000E+0,99.5221E-9
71.4221E-12,5.0000E+0,149.0371E-9
71.2002E-12,5.5000E+0,206.2359E-9
69.4652E-12,6.0000E+0,288.9970E-9
72.4207E-12,6.5000E+0,408.5512E-9
71.6340E-12,7.0000E+0,559.5763E-9
69.6771E-12,7.5000E+0,669.9524E-9
73.9439E-12,8.0000E+0,894.6702E-9
73.0865E-12,8.5000E+0,1.0655E-6
70.2722E-12,9.0000E+0,1.3306E-6
77.7467E-12,9.5000E+0,1.3973E-6
68.9609E-12,10.0000E+0,1.6286E-6
72.3804E-12,10.5000E+0,2.0364E-6
69.3341E-12,11.0000E+0,2.2740E-6
68.1438E-12,11.5000E+0,2.5796E-6
74.6197E-12,12.0000E+0,2.9401E-6
63.5038E-12,12.5000E+0,3.5404E-6
69.9898E-12,13.0000E+0,4.0825E-6
66.5400E-12,13.5000E+0,4.4601E-6
73.6715E-12,14.0000E+0,4.9802E-6
70.9178E-12,14.5000E+0,5.3624E-6
74.2869E-12,15.0000E+0,5.8848E-6
74.7912E-12,15.5000E+0,6.4976E-6
74.3171E-12,16.0000E+0,7.3233E-6
72.7334E-12,16.5000E+0,8.0138E-6
75.4267E-12,17.0000E+0,8.6657E-6
76.8086E-12,17.5000E+0,9.7304E-6
77.3735E-12,18.0000E+0,10.5181E-6
75.0837E-12,18.5000E+0,11.2551E-6
74.3070E-12,19.0000E+0,11.7875E-6
75.0535E-12,19.5000E+0,13.2043E-6
74.8316E-12,20.0000E+0,14.2136E-6
74.9425E-12,20.0000E+0,14.1242E-6
75.5780E-12,19.5000E+0,12.9114E-6
73.1571E-12,19.0000E+0,11.8450E-6
70.1108E-12,18.5000E+0,10.9410E-6
72.2594E-12,18.0000E+0,9.9106E-6
70.1411E-12,17.5000E+0,9.0711E-6
67.4277E-12,17.0000E+0,8.3141E-6
67.6193E-12,16.5000E+0,7.5874E-6
71.6239E-12,16.0000E+0,6.8607E-6
68.2850E-12,15.5000E+0,6.2197E-6
70.6555E-12,15.0000E+0,5.6082E-6
72.4409E-12,14.5000E+0,5.0354E-6
65.0874E-12,14.0000E+0,4.4973E-6
65.5817E-12,13.5000E+0,4.0008E-6
70.4739E-12,13.0000E+0,3.5419E-6
69.9091E-12,12.5000E+0,3.1131E-6
70.4033E-12,12.0000E+0,2.7299E-6
66.3584E-12,11.5000E+0,2.3714E-6
68.4263E-12,11.0000E+0,2.0534E-6
68.1337E-12,10.5000E+0,1.7542E-6
68.0127E-12,10.0000E+0,1.4896E-6
68.8398E-12,9.5000E+0,1.2547E-6
67.7605E-12,9.0000E+0,1.0380E-6
68.8499E-12,8.5000E+0,849.6530E-9
70.0906E-12,8.0000E+0,685.0968E-9
65.7330E-12,7.5000E+0,540.3734E-9
66.0760E-12,7.0000E+0,416.4021E-9
67.8715E-12,6.5000E+0,312.4445E-9
63.5038E-12,6.0000E+0,226.4567E-9
62.4749E-12,5.5000E+0,156.8932E-9
63.8467E-12,5.0000E+0,102.5586E-9
64.4721E-12,4.5000E+0,63.2226E-9
64.6234E-12,4.0000E+0,34.0189E-9
67.3570E-12,3.5000E+0,15.3336E-9
62.4850E-12,3.0000E+0,5.2378E-9
65.4001E-12,2.5000E+0,956.3956E-12
63.7761E-12,2.0000E+0,44.4072E-12
64.7243E-12,1.5000E+0,5.0937E-12
61.2745E-12,1.0000E+0,4.8471E-12
60.9215E-12,500.0000E-3,4.5758E-12
58.1274E-12,000.0000E-3,4.6340E-12
59.7816E-12,-500.0000E-3,4.6039E-12
62.5758E-12,-1.0000E+0,4.5838E-12
60.9517E-12,-1.5000E+0,4.4396E-12
61.4057E-12,-2.0000E+0,4.2914E-12
59.7211E-12,-2.5000E+0,4.2688E-12
59.0251E-12,-3.0000E+0,4.4220E-12
61.5469E-12,-3.5000E+0,4.2166E-12
56.2814E-12,-4.0000E+0,4.1754E-12
57.7945E-12,-4.5000E+0,4.1869E-12
55.8679E-12,-5.0000E+0,4.2326E-12
54.4254E-12,-5.5000E+0,4.0744E-12
57.4314E-12,-6.0000E+0,4.1231E-12
53.6588E-12,-6.5000E+0,3.9086E-12
55.9284E-12,-7.0000E+0,4.1030E-12
