GateI,GateV,DrainI
-590.1510E-9,-40.0000E+0,385.1189E-9
-590.7029E-9,-39.5000E+0,385.5914E-9
-591.2833E-9,-39.0000E+0,386.1694E-9
-591.9439E-9,-38.5000E+0,386.4570E-9
-592.4654E-9,-38.0000E+0,386.9395E-9
-592.9128E-9,-37.5000E+0,393.8681E-9
-593.5358E-9,-37.0000E+0,397.3043E-9
-593.9955E-9,-36.5000E+0,404.2729E-9
-594.6102E-9,-36.0000E+0,414.0283E-9
-595.1629E-9,-35.5000E+0,408.7822E-9
-595.6207E-9,-35.0000E+0,428.1368E-9
-596.1001E-9,-34.5000E+0,445.9987E-9
-596.5267E-9,-34.0000E+0,443.3611E-9
-597.4192E-9,-33.5000E+0,400.3750E-9
-597.9633E-9,-33.0000E+0,394.7231E-9
-598.3890E-9,-32.5000E+0,398.3833E-9
-598.7557E-9,-32.0000E+0,408.4898E-9
-599.1258E-9,-31.5000E+0,411.5705E-9
-599.7850E-9,-31.0000E+0,411.1440E-9
-600.2381E-9,-30.5000E+0,407.1323E-9
-600.5114E-9,-30.0000E+0,425.4231E-9
-600.8232E-9,-29.5000E+0,436.1003E-9
-601.2799E-9,-29.0000E+0,471.6458E-9
-601.5509E-9,-28.5000E+0,535.1178E-9
-601.8662E-9,-28.0000E+0,572.3759E-9
-601.6697E-9,-27.5000E+0,676.0617E-9
-600.9762E-9,-27.0000E+0,865.3291E-9
-602.3944E-9,-26.5000E+0,895.3766E-9
-601.9346E-9,-26.0000E+0,985.2384E-9
-601.9418E-9,-25.5000E+0,1.0274E-6
-601.0839E-9,-25.0000E+0,1.1472E-6
-599.1270E-9,-24.5000E+0,1.3377E-6
-597.3716E-9,-24.0000E+0,1.5031E-6
-596.1530E-9,-23.5000E+0,1.5798E-6
-591.6683E-9,-23.0000E+0,1.8247E-6
-583.0880E-9,-22.5000E+0,2.1664E-6
-568.7145E-9,-22.0000E+0,2.6194E-6
-553.0173E-9,-21.5000E+0,2.9874E-6
-531.7352E-9,-21.0000E+0,3.4089E-6
-507.6334E-9,-20.5000E+0,3.8011E-6
-485.0942E-9,-20.0000E+0,4.1304E-6
-463.5475E-9,-19.5000E+0,4.4027E-6
-438.7533E-9,-19.0000E+0,4.6889E-6
-432.4012E-9,-18.5000E+0,4.7601E-6
-419.5642E-9,-18.0000E+0,4.8903E-6
-395.0668E-9,-17.5000E+0,5.1339E-6
-360.1791E-9,-17.0000E+0,5.4529E-6
-326.9280E-9,-16.5000E+0,5.7343E-6
-295.1801E-9,-16.0000E+0,5.9879E-6
-267.5230E-9,-15.5000E+0,6.1933E-6
-235.3220E-9,-15.0000E+0,6.4179E-6
-207.6679E-9,-14.5000E+0,6.6095E-6
-186.2842E-9,-14.0000E+0,6.7471E-6
-173.1009E-9,-13.5000E+0,6.8292E-6
-159.9422E-9,-13.0000E+0,6.9085E-6
-147.7120E-9,-12.5000E+0,6.9813E-6
-133.2962E-9,-12.0000E+0,7.0661E-6
-118.3786E-9,-11.5000E+0,7.1538E-6
-103.9755E-9,-11.0000E+0,7.2351E-6
-86.5788E-9,-10.5000E+0,7.3341E-6
-79.4322E-9,-10.0000E+0,7.3877E-6
-72.1866E-9,-9.5000E+0,7.4096E-6
-56.9763E-9,-9.0000E+0,7.4632E-6
-46.7774E-9,-8.5000E+0,7.5505E-6
-41.2110E-9,-8.0000E+0,7.5753E-6
-33.8715E-9,-7.5000E+0,7.6010E-6
-30.3795E-9,-7.0000E+0,7.6308E-6
-26.7340E-9,-6.5000E+0,7.6494E-6
-23.2269E-9,-6.0000E+0,7.6707E-6
-19.3599E-9,-5.5000E+0,7.6842E-6
-16.3894E-9,-5.0000E+0,7.7025E-6
-13.6279E-9,-4.5000E+0,7.7166E-6
-9.8552E-9,-4.0000E+0,7.7362E-6
-8.3742E-9,-3.5000E+0,7.7464E-6
-6.9643E-9,-3.0000E+0,7.7535E-6
-6.1362E-9,-2.5000E+0,7.7578E-6
-4.4017E-9,-2.0000E+0,7.7647E-6
-2.7163E-9,-1.5000E+0,7.7739E-6
-2.2757E-9,-1.0000E+0,7.7801E-6
-1.6035E-9,-500.0000E-3,7.7813E-6
-968.6516E-12,000.0000E-3,7.7857E-6
-543.5908E-12,500.0000E-3,7.7888E-6
-206.1225E-12,1.0000E+0,7.7921E-6
10.4576E-12,1.5000E+0,7.7943E-6
88.0663E-12,2.0000E+0,7.7962E-6
103.9436E-12,2.5000E+0,7.7970E-6
123.4523E-12,3.0000E+0,7.7979E-6
195.3135E-12,3.5000E+0,7.7991E-6
424.5654E-12,4.0000E+0,7.8020E-6
768.6501E-12,4.5000E+0,7.8059E-6
989.7717E-12,5.0000E+0,7.8089E-6
1.8683E-9,5.5000E+0,7.8134E-6
2.6790E-9,6.0000E+0,7.8205E-6
2.9623E-9,6.5000E+0,7.8227E-6
3.5652E-9,7.0000E+0,7.8300E-6
4.6280E-9,7.5000E+0,7.8353E-6
2.7695E-9,8.0000E+0,7.8253E-6
2.7760E-9,8.5000E+0,7.8300E-6
3.8705E-9,9.0000E+0,7.8367E-6
4.3141E-9,9.5000E+0,7.8425E-6
6.7696E-9,10.0000E+0,7.8514E-6
4.1522E-9,10.0000E+0,7.8516E-6
3.2006E-9,9.5000E+0,7.8401E-6
2.9822E-9,9.0000E+0,7.8393E-6
2.1888E-9,8.5000E+0,7.8383E-6
1.3857E-9,8.0000E+0,7.8366E-6
1.0224E-9,7.5000E+0,7.8359E-6
716.1260E-12,7.0000E+0,7.8363E-6
524.8020E-12,6.5000E+0,7.8378E-6
393.4867E-12,6.0000E+0,7.8391E-6
280.9337E-12,5.5000E+0,7.8409E-6
203.5245E-12,5.0000E+0,7.8426E-6
84.4853E-12,4.5000E+0,7.8439E-6
70.7869E-12,4.0000E+0,7.8465E-6
49.8661E-12,3.5000E+0,7.8490E-6
54.1229E-12,3.0000E+0,7.8505E-6
47.0217E-12,2.5000E+0,7.8532E-6
49.3416E-12,2.0000E+0,7.8548E-6
43.3401E-12,1.5000E+0,7.8572E-6
42.3314E-12,1.0000E+0,7.8588E-6
31.8009E-12,500.0000E-3,7.8609E-6
21.5933E-12,000.0000E-3,7.8643E-6
-6.4777E-12,-500.0000E-3,7.8663E-6
-106.5372E-12,-1.0000E+0,7.8679E-6
28.2807E-12,-1.5000E+0,7.8695E-6
-20.1754E-12,-2.0000E+0,7.8730E-6
-20.4679E-12,-2.5000E+0,7.8764E-6
-43.7781E-12,-3.0000E+0,7.8782E-6
-54.0362E-12,-3.5000E+0,7.8799E-6
-120.3155E-12,-4.0000E+0,7.8824E-6
-199.8486E-12,-4.5000E+0,7.8846E-6
-142.6271E-12,-5.0000E+0,7.8872E-6
-241.4559E-12,-5.5000E+0,7.8890E-6
-882.0175E-12,-6.0000E+0,7.8903E-6
-1.9822E-9,-6.5000E+0,7.8847E-6
-5.8701E-9,-7.0000E+0,7.8833E-6
-8.7523E-9,-7.5000E+0,7.8573E-6
-12.1141E-9,-8.0000E+0,7.8406E-6
-13.7787E-9,-8.5000E+0,7.8346E-6
-16.9998E-9,-9.0000E+0,7.8332E-6
-22.1052E-9,-9.5000E+0,7.8137E-6
-27.0238E-9,-10.0000E+0,7.7850E-6
-36.2129E-9,-10.5000E+0,7.7515E-6
-48.6483E-9,-11.0000E+0,7.6958E-6
-55.0394E-9,-11.5000E+0,7.6307E-6
-71.9549E-9,-12.0000E+0,7.5608E-6
-81.9280E-9,-12.5000E+0,7.4898E-6
-96.4929E-9,-13.0000E+0,7.4092E-6
-104.7966E-9,-13.5000E+0,7.3620E-6
-117.6226E-9,-14.0000E+0,7.2911E-6
-128.9407E-9,-14.5000E+0,7.2266E-6
-148.8689E-9,-15.0000E+0,7.1107E-6
-168.0938E-9,-15.5000E+0,6.9934E-6
-178.7402E-9,-16.0000E+0,6.9294E-6
-194.6389E-9,-16.5000E+0,6.8325E-6
-221.8089E-9,-17.0000E+0,6.6567E-6
-240.2459E-9,-17.5000E+0,6.5322E-6
-293.1715E-9,-18.0000E+0,6.1655E-6
-380.1188E-9,-18.5000E+0,5.4623E-6
-412.4842E-9,-19.0000E+0,5.1642E-6
-443.5248E-9,-19.5000E+0,4.8670E-6
-500.3133E-9,-20.0000E+0,4.2181E-6
-526.7152E-9,-20.5000E+0,3.8434E-6
-552.7896E-9,-21.0000E+0,3.4523E-6
-564.7286E-9,-21.5000E+0,3.2356E-6
-572.5019E-9,-22.0000E+0,3.1085E-6
-586.0520E-9,-22.5000E+0,2.8262E-6
-601.0142E-9,-23.0000E+0,2.4567E-6
-610.4125E-9,-23.5000E+0,2.1824E-6
-621.0165E-9,-24.0000E+0,1.8037E-6
-623.9697E-9,-24.5000E+0,1.6888E-6
-632.1458E-9,-25.0000E+0,1.2174E-6
-635.5741E-9,-25.5000E+0,947.4973E-9
-636.8060E-9,-26.0000E+0,841.7451E-9
-640.0005E-9,-26.5000E+0,679.7778E-9
-641.2250E-9,-27.0000E+0,571.4282E-9
-641.9119E-9,-27.5000E+0,520.2408E-9
-642.7069E-9,-28.0000E+0,492.9780E-9
-643.3686E-9,-28.5000E+0,462.0678E-9
-643.9807E-9,-29.0000E+0,455.0913E-9
-644.6880E-9,-29.5000E+0,442.0659E-9
-645.1256E-9,-30.0000E+0,436.6226E-9
-645.5399E-9,-30.5000E+0,436.0137E-9
-646.2945E-9,-31.0000E+0,429.9447E-9
-646.6854E-9,-31.5000E+0,428.6358E-9
-647.3578E-9,-32.0000E+0,428.7739E-9
-647.9736E-9,-32.5000E+0,428.7327E-9
-648.4979E-9,-33.0000E+0,428.9898E-9
-648.9906E-9,-33.5000E+0,429.1391E-9
-649.4486E-9,-34.0000E+0,429.3360E-9
-649.8674E-9,-34.5000E+0,429.5121E-9
-650.6299E-9,-35.0000E+0,430.0048E-9
-651.0045E-9,-35.5000E+0,430.1266E-9
-651.7220E-9,-36.0000E+0,430.5817E-9
-652.1547E-9,-36.5000E+0,430.7735E-9
-652.7099E-9,-37.0000E+0,431.0913E-9
-653.0750E-9,-37.5000E+0,431.2298E-9
-653.5857E-9,-38.0000E+0,431.5206E-9
-653.9981E-9,-38.5000E+0,431.7293E-9
-654.4084E-9,-39.0000E+0,431.8988E-9
-655.1505E-9,-39.5000E+0,432.3669E-9
-655.7353E-9,-40.0000E+0,432.7208E-9
