GateV,DrainI
-20.0000E+0,20.0814E-9
-19.5000E+0,20.1845E-9
-19.0000E+0,20.2860E-9
-18.5000E+0,20.3901E-9
-18.0000E+0,20.4897E-9
-17.5000E+0,20.5855E-9
-17.0000E+0,20.6817E-9
-16.5000E+0,20.7708E-9
-16.0000E+0,20.8616E-9
-15.5000E+0,20.9490E-9
-15.0000E+0,21.0368E-9
-14.5000E+0,21.1257E-9
-14.0000E+0,21.2115E-9
-13.5000E+0,21.2955E-9
-13.0000E+0,21.3815E-9
-12.5000E+0,21.4658E-9
-12.0000E+0,21.5506E-9
-11.5000E+0,21.6311E-9
-11.0000E+0,21.7102E-9
-10.5000E+0,21.7915E-9
-10.0000E+0,21.8702E-9
-9.5000E+0,21.9494E-9
-9.0000E+0,22.0257E-9
-8.5000E+0,22.1011E-9
-8.0000E+0,22.1784E-9
-7.5000E+0,22.2574E-9
-7.0000E+0,22.3450E-9
-6.5000E+0,22.5087E-9
-6.0000E+0,22.9949E-9
-5.5000E+0,24.3805E-9
-5.0000E+0,27.7777E-9
-4.5000E+0,34.8641E-9
-4.0000E+0,47.9646E-9
-3.5000E+0,70.4509E-9
-3.0000E+0,104.9503E-9
-2.5000E+0,155.0735E-9
-2.0000E+0,222.6295E-9
-1.5000E+0,311.6932E-9
-1.0000E+0,422.6045E-9
-500.0000E-3,557.0780E-9
000.0000E-3,709.4873E-9
500.0000E-3,856.1651E-9
1.0000E+0,949.5803E-9
1.5000E+0,961.4107E-9
2.0000E+0,1.0106E-6
2.5000E+0,1.1719E-6
3.0000E+0,1.3935E-6
3.5000E+0,1.6476E-6
4.0000E+0,1.9431E-6
4.5000E+0,2.2832E-6
5.0000E+0,2.5357E-6
5.5000E+0,2.9157E-6
6.0000E+0,3.3331E-6
6.5000E+0,3.8025E-6
7.0000E+0,4.5234E-6
7.5000E+0,5.0370E-6
8.0000E+0,5.7140E-6
8.5000E+0,6.2595E-6
9.0000E+0,7.0700E-6
9.5000E+0,7.8144E-6
10.0000E+0,8.5948E-6
10.5000E+0,9.4635E-6
11.0000E+0,10.3349E-6
11.5000E+0,11.1746E-6
12.0000E+0,12.0427E-6
12.5000E+0,13.1130E-6
13.0000E+0,14.2458E-6
13.5000E+0,15.4329E-6
14.0000E+0,16.6933E-6
14.5000E+0,17.9231E-6
15.0000E+0,19.3030E-6
15.5000E+0,20.7171E-6
16.0000E+0,21.9234E-6
16.5000E+0,23.5335E-6
17.0000E+0,24.7131E-6
17.5000E+0,26.3677E-6
18.0000E+0,27.6988E-6
18.5000E+0,28.7165E-6
19.0000E+0,30.7871E-6
19.5000E+0,32.5023E-6
20.0000E+0,34.3095E-6
20.0000E+0,34.2476E-6
19.5000E+0,32.3673E-6
19.0000E+0,30.2971E-6
18.5000E+0,28.3527E-6
18.0000E+0,27.0337E-6
17.5000E+0,25.7862E-6
17.0000E+0,24.5234E-6
16.5000E+0,22.9855E-6
16.0000E+0,21.0946E-6
15.5000E+0,19.8291E-6
15.0000E+0,18.4012E-6
14.5000E+0,17.2657E-6
14.0000E+0,16.2133E-6
13.5000E+0,15.0230E-6
13.0000E+0,13.9719E-6
12.5000E+0,12.8719E-6
12.0000E+0,11.8858E-6
11.5000E+0,10.8979E-6
11.0000E+0,10.0102E-6
10.5000E+0,9.1435E-6
10.0000E+0,8.3340E-6
9.5000E+0,7.5959E-6
9.0000E+0,6.8818E-6
8.5000E+0,6.2111E-6
8.0000E+0,5.5550E-6
7.5000E+0,4.9914E-6
7.0000E+0,4.4383E-6
6.5000E+0,3.9345E-6
6.0000E+0,3.4651E-6
5.5000E+0,3.0258E-6
5.0000E+0,2.6260E-6
4.5000E+0,2.2671E-6
4.0000E+0,1.9431E-6
3.5000E+0,1.6627E-6
3.0000E+0,1.4141E-6
2.5000E+0,1.1920E-6
2.0000E+0,1.0294E-6
1.5000E+0,947.5501E-9
1.0000E+0,915.3441E-9
500.0000E-3,802.9268E-9
000.0000E-3,653.7886E-9
-500.0000E-3,513.0519E-9
-1.0000E+0,383.2531E-9
-1.5000E+0,283.8061E-9
-2.0000E+0,201.8201E-9
-2.5000E+0,139.0903E-9
-3.0000E+0,95.6350E-9
-3.5000E+0,66.1186E-9
-4.0000E+0,46.4585E-9
-4.5000E+0,35.4057E-9
-5.0000E+0,29.5102E-9
-5.5000E+0,26.9262E-9
-6.0000E+0,25.9768E-9
-6.5000E+0,25.7503E-9
-7.0000E+0,25.7477E-9
-7.5000E+0,25.7908E-9
-8.0000E+0,25.8435E-9
-8.5000E+0,25.8941E-9
-9.0000E+0,25.9489E-9
-9.5000E+0,26.0036E-9
-10.0000E+0,26.0551E-9
-10.5000E+0,26.1080E-9
-11.0000E+0,26.1591E-9
-11.5000E+0,26.2112E-9
-12.0000E+0,26.2654E-9
-12.5000E+0,26.3170E-9
-13.0000E+0,26.3709E-9
-13.5000E+0,26.4217E-9
-14.0000E+0,26.4722E-9
-14.5000E+0,26.5227E-9
-15.0000E+0,26.5750E-9
-15.5000E+0,26.6244E-9
-16.0000E+0,26.6707E-9
-16.5000E+0,26.7179E-9
-17.0000E+0,26.7650E-9
-17.5000E+0,26.8119E-9
-18.0000E+0,26.8574E-9
-18.5000E+0,26.9051E-9
-19.0000E+0,26.9555E-9
-19.5000E+0,27.0006E-9
-20.0000E+0,27.0464E-9
