GateV,DrainI
-20.0000E+0,20.9125E-9
-19.5000E+0,20.9661E-9
-19.0000E+0,21.0228E-9
-18.5000E+0,21.0797E-9
-18.0000E+0,21.1294E-9
-17.5000E+0,21.1868E-9
-17.0000E+0,21.2355E-9
-16.5000E+0,21.2872E-9
-16.0000E+0,21.3391E-9
-15.5000E+0,21.3893E-9
-15.0000E+0,21.4354E-9
-14.5000E+0,21.4812E-9
-14.0000E+0,21.5247E-9
-13.5000E+0,21.5706E-9
-13.0000E+0,21.6156E-9
-12.5000E+0,21.6626E-9
-12.0000E+0,21.7078E-9
-11.5000E+0,21.7539E-9
-11.0000E+0,21.7970E-9
-10.5000E+0,21.8392E-9
-10.0000E+0,21.8806E-9
-9.5000E+0,21.9221E-9
-9.0000E+0,21.9640E-9
-8.5000E+0,22.0048E-9
-8.0000E+0,22.0524E-9
-7.5000E+0,22.1405E-9
-7.0000E+0,22.4132E-9
-6.5000E+0,23.3195E-9
-6.0000E+0,25.4337E-9
-5.5000E+0,30.0996E-9
-5.0000E+0,38.2312E-9
-4.5000E+0,52.0630E-9
-4.0000E+0,74.8690E-9
-3.5000E+0,109.0203E-9
-3.0000E+0,156.4444E-9
-2.5000E+0,220.5521E-9
-2.0000E+0,306.1679E-9
-1.5000E+0,417.5691E-9
-1.0000E+0,549.0393E-9
-500.0000E-3,709.8952E-9
000.0000E-3,892.7418E-9
500.0000E-3,1.0965E-6
1.0000E+0,1.3102E-6
1.5000E+0,1.5426E-6
2.0000E+0,1.7979E-6
2.5000E+0,2.0854E-6
3.0000E+0,2.4052E-6
3.5000E+0,2.7614E-6
4.0000E+0,3.1584E-6
4.5000E+0,3.6007E-6
5.0000E+0,4.0747E-6
5.5000E+0,4.6053E-6
6.0000E+0,5.1855E-6
6.5000E+0,5.8173E-6
7.0000E+0,6.5028E-6
7.5000E+0,7.2409E-6
8.0000E+0,8.0393E-6
8.5000E+0,8.8959E-6
9.0000E+0,9.7732E-6
9.5000E+0,10.7632E-6
10.0000E+0,11.7957E-6
10.5000E+0,12.8958E-6
11.0000E+0,14.1204E-6
11.5000E+0,15.3767E-6
12.0000E+0,16.7056E-6
12.5000E+0,18.1239E-6
13.0000E+0,19.6128E-6
13.5000E+0,21.1485E-6
14.0000E+0,22.7833E-6
14.5000E+0,24.3936E-6
15.0000E+0,25.8112E-6
15.5000E+0,27.5611E-6
16.0000E+0,29.4437E-6
16.5000E+0,31.5716E-6
17.0000E+0,33.8140E-6
17.5000E+0,36.0834E-6
18.0000E+0,38.3801E-6
18.5000E+0,40.6345E-6
19.0000E+0,42.9257E-6
19.5000E+0,45.5874E-6
20.0000E+0,48.2775E-6
20.0000E+0,48.1836E-6
19.5000E+0,45.3952E-6
19.0000E+0,42.6169E-6
18.5000E+0,40.1177E-6
18.0000E+0,37.7354E-6
17.5000E+0,35.4012E-6
17.0000E+0,33.2354E-6
16.5000E+0,31.1204E-6
16.0000E+0,29.1683E-6
15.5000E+0,27.1871E-6
15.0000E+0,25.3926E-6
14.5000E+0,23.5846E-6
14.0000E+0,21.8585E-6
13.5000E+0,20.2370E-6
13.0000E+0,18.7352E-6
12.5000E+0,17.2933E-6
12.0000E+0,15.9758E-6
11.5000E+0,14.6721E-6
11.0000E+0,13.4617E-6
10.5000E+0,12.3311E-6
10.0000E+0,11.2916E-6
9.5000E+0,10.3066E-6
9.0000E+0,9.3677E-6
8.5000E+0,8.4901E-6
8.0000E+0,7.6757E-6
7.5000E+0,6.9203E-6
7.0000E+0,6.2151E-6
6.5000E+0,5.5616E-6
6.0000E+0,4.9507E-6
5.5000E+0,4.3966E-6
5.0000E+0,3.8870E-6
4.5000E+0,3.4218E-6
4.0000E+0,2.9975E-6
3.5000E+0,2.6145E-6
3.0000E+0,2.2701E-6
2.5000E+0,1.9527E-6
2.0000E+0,1.6743E-6
1.5000E+0,1.4275E-6
1.0000E+0,1.2003E-6
500.0000E-3,988.0112E-9
000.0000E-3,794.0549E-9
-500.0000E-3,620.7219E-9
-1.0000E+0,476.3709E-9
-1.5000E+0,355.3436E-9
-2.0000E+0,258.6673E-9
-2.5000E+0,183.1891E-9
-3.0000E+0,127.3408E-9
-3.5000E+0,87.8666E-9
-4.0000E+0,61.1084E-9
-4.5000E+0,43.9466E-9
-5.0000E+0,33.5723E-9
-5.5000E+0,27.8081E-9
-6.0000E+0,25.0822E-9
-6.5000E+0,23.9889E-9
-7.0000E+0,23.6858E-9
-7.5000E+0,23.6519E-9
-8.0000E+0,23.6775E-9
-8.5000E+0,23.7136E-9
-9.0000E+0,23.7446E-9
-9.5000E+0,23.7778E-9
-10.0000E+0,23.8097E-9
-10.5000E+0,23.8409E-9
-11.0000E+0,23.8806E-9
-11.5000E+0,23.9205E-9
-12.0000E+0,23.9527E-9
-12.5000E+0,23.9815E-9
-13.0000E+0,24.0184E-9
-13.5000E+0,24.0501E-9
-14.0000E+0,24.0817E-9
-14.5000E+0,24.1126E-9
-15.0000E+0,24.1405E-9
-15.5000E+0,24.1697E-9
-16.0000E+0,24.1993E-9
-16.5000E+0,24.2282E-9
-17.0000E+0,24.2573E-9
-17.5000E+0,24.2866E-9
-18.0000E+0,24.3168E-9
-18.5000E+0,24.3470E-9
-19.0000E+0,24.3747E-9
-19.5000E+0,24.4055E-9
-20.0000E+0,24.4358E-9
