GateI,GateV,DrainI
-9.9998E-3,-40.0000E+0,9.9998E-3
-9.9998E-3,-39.5000E+0,9.9998E-3
-9.9998E-3,-39.0000E+0,9.9998E-3
-9.9998E-3,-38.5000E+0,9.9998E-3
-9.9998E-3,-38.0000E+0,9.9998E-3
-9.9998E-3,-37.5000E+0,9.9998E-3
-9.9998E-3,-37.0000E+0,9.9998E-3
-9.9998E-3,-36.5000E+0,9.9998E-3
-9.9998E-3,-36.0000E+0,9.9998E-3
-9.9998E-3,-35.5000E+0,9.9998E-3
-9.9998E-3,-35.0000E+0,9.9998E-3
-9.9998E-3,-34.5000E+0,9.9998E-3
-9.9998E-3,-34.0000E+0,9.9998E-3
-9.9998E-3,-33.5000E+0,9.9998E-3
-9.9998E-3,-33.0000E+0,9.9998E-3
-9.9998E-3,-32.5000E+0,9.9998E-3
-9.9998E-3,-32.0000E+0,9.9998E-3
-9.9998E-3,-31.5000E+0,9.9998E-3
-9.9998E-3,-31.0000E+0,9.9998E-3
-9.9998E-3,-30.5000E+0,9.9998E-3
-9.9998E-3,-30.0000E+0,9.9998E-3
-9.9998E-3,-29.5000E+0,9.9998E-3
-9.9998E-3,-29.0000E+0,9.9998E-3
-9.9998E-3,-28.5000E+0,9.9998E-3
-9.9998E-3,-28.0000E+0,9.9998E-3
-9.9998E-3,-27.5000E+0,9.9998E-3
-9.9998E-3,-27.0000E+0,9.9998E-3
-9.9998E-3,-26.5000E+0,9.9998E-3
-9.9998E-3,-26.0000E+0,9.9998E-3
-9.9998E-3,-25.5000E+0,9.9998E-3
-9.9998E-3,-25.0000E+0,9.9998E-3
-9.9998E-3,-24.5000E+0,9.9998E-3
-9.9998E-3,-24.0000E+0,9.9998E-3
-9.9998E-3,-23.5000E+0,9.9998E-3
-9.9998E-3,-23.0000E+0,9.9998E-3
-9.9998E-3,-22.5000E+0,9.9998E-3
-9.9998E-3,-22.0000E+0,9.9998E-3
-9.9998E-3,-21.5000E+0,9.9998E-3
-9.9998E-3,-21.0000E+0,9.9998E-3
-9.9998E-3,-20.5000E+0,9.9998E-3
-9.9998E-3,-20.0000E+0,9.9998E-3
-9.9998E-3,-19.5000E+0,9.9998E-3
-9.9998E-3,-19.0000E+0,9.9998E-3
-9.9998E-3,-18.5000E+0,9.9998E-3
-9.9998E-3,-18.0000E+0,9.9998E-3
-9.9998E-3,-17.5000E+0,9.9998E-3
-9.9998E-3,-17.0000E+0,9.9998E-3
-9.9998E-3,-16.5000E+0,9.9998E-3
-9.9998E-3,-16.0000E+0,9.9998E-3
-9.9998E-3,-15.5000E+0,9.9998E-3
-9.9998E-3,-15.0000E+0,9.9998E-3
-9.9998E-3,-14.5000E+0,9.9998E-3
-9.9998E-3,-14.0000E+0,9.9998E-3
-9.9998E-3,-13.5000E+0,9.9998E-3
-9.9998E-3,-13.0000E+0,9.9998E-3
-9.9998E-3,-12.5000E+0,9.9998E-3
-9.9885E-3,-12.0000E+0,9.9998E-3
-9.6329E-3,-11.5000E+0,9.9998E-3
-9.2779E-3,-11.0000E+0,9.9998E-3
-8.9228E-3,-10.5000E+0,9.9998E-3
-8.5705E-3,-10.0000E+0,9.9998E-3
-8.2164E-3,-9.5000E+0,9.9998E-3
-7.8627E-3,-9.0000E+0,9.9998E-3
-7.5096E-3,-8.5000E+0,9.9998E-3
-7.1596E-3,-8.0000E+0,9.9998E-3
-6.8080E-3,-7.5000E+0,9.9998E-3
-6.4568E-3,-7.0000E+0,9.9998E-3
-6.1065E-3,-6.5000E+0,9.9998E-3
-5.7576E-3,-6.0000E+0,9.9998E-3
-5.4117E-3,-5.5000E+0,9.9998E-3
-5.0649E-3,-5.0000E+0,9.9998E-3
-4.7190E-3,-4.5000E+0,9.9998E-3
-4.3751E-3,-4.0000E+0,9.9998E-3
-4.0348E-3,-3.5000E+0,9.9998E-3
-3.6939E-3,-3.0000E+0,9.9998E-3
-3.3554E-3,-2.5000E+0,9.9998E-3
-3.0192E-3,-2.0000E+0,9.9998E-3
-2.6743E-3,-1.5000E+0,9.9278E-3
-2.3104E-3,-1.0000E+0,9.7488E-3
-1.9534E-3,-500.0000E-3,9.5811E-3
-1.6018E-3,000.0000E-3,9.4148E-3
-1.2595E-3,500.0000E-3,9.2493E-3
-924.2597E-6,1.0000E+0,9.0839E-3
-596.9814E-6,1.5000E+0,8.9227E-3
-282.2909E-6,2.0000E+0,8.7740E-3
24.2111E-6,2.5000E+0,8.6284E-3
330.0171E-6,3.0000E+0,8.4820E-3
647.7461E-6,3.5000E+0,8.3362E-3
975.2868E-6,4.0000E+0,8.1600E-3
1.3083E-3,4.5000E+0,7.9991E-3
1.6486E-3,5.0000E+0,7.8395E-3
1.9971E-3,5.5000E+0,7.6716E-3
2.3494E-3,6.0000E+0,7.5057E-3
2.7057E-3,6.5000E+0,7.3370E-3
3.0622E-3,7.0000E+0,7.1710E-3
3.4255E-3,7.5000E+0,6.9978E-3
3.7931E-3,8.0000E+0,6.8205E-3
4.1613E-3,8.5000E+0,6.6474E-3
4.5315E-3,9.0000E+0,6.4663E-3
4.9062E-3,9.5000E+0,6.2892E-3
5.2880E-3,10.0000E+0,6.1280E-3
5.2866E-3,10.0000E+0,6.1255E-3
4.9075E-3,9.5000E+0,6.2967E-3
4.5333E-3,9.0000E+0,6.4810E-3
4.1691E-3,8.5000E+0,6.6741E-3
3.7980E-3,8.0000E+0,6.8489E-3
3.4310E-3,7.5000E+0,7.0197E-3
3.0710E-3,7.0000E+0,7.2045E-3
2.7124E-3,6.5000E+0,7.3702E-3
2.3551E-3,6.0000E+0,7.5398E-3
2.0036E-3,5.5000E+0,7.7076E-3
1.6550E-3,5.0000E+0,7.8597E-3
1.3153E-3,4.5000E+0,8.0182E-3
979.4674E-6,4.0000E+0,8.1792E-3
655.4959E-6,3.5000E+0,8.3433E-3
337.2644E-6,3.0000E+0,8.4897E-3
30.2646E-6,2.5000E+0,8.6327E-3
-275.7907E-6,2.0000E+0,8.7764E-3
-589.6857E-6,1.5000E+0,8.9218E-3
-914.2702E-6,1.0000E+0,9.0682E-3
-1.2467E-3,500.0000E-3,9.2192E-3
-1.5918E-3,000.0000E-3,9.3870E-3
-1.9420E-3,-500.0000E-3,9.5603E-3
-2.2985E-3,-1.0000E+0,9.7260E-3
-2.6612E-3,-1.5000E+0,9.8976E-3
-3.0122E-3,-2.0000E+0,9.9998E-3
-3.3487E-3,-2.5000E+0,9.9998E-3
-3.6873E-3,-3.0000E+0,9.9998E-3
-4.0281E-3,-3.5000E+0,9.9998E-3
-4.3692E-3,-4.0000E+0,9.9998E-3
-4.7138E-3,-4.5000E+0,9.9998E-3
-5.0600E-3,-5.0000E+0,9.9998E-3
-5.4070E-3,-5.5000E+0,9.9998E-3
-5.7530E-3,-6.0000E+0,9.9998E-3
