GateI,GateV,DrainI
46.2349E-12,-20.0000E+0,17.3515E-12
47.6470E-12,-19.5000E+0,15.6112E-12
47.1225E-12,-19.0000E+0,13.8304E-12
47.1024E-12,-18.5000E+0,14.1440E-12
53.6488E-12,-18.0000E+0,13.4358E-12
47.0015E-12,-17.5000E+0,13.3548E-12
51.6212E-12,-17.0000E+0,12.7072E-12
51.8532E-12,-16.5000E+0,12.2013E-12
52.7913E-12,-16.0000E+0,12.0091E-12
52.7913E-12,-15.5000E+0,11.4728E-12
53.7295E-12,-15.0000E+0,10.8961E-12
52.1558E-12,-14.5000E+0,11.3514E-12
56.4833E-12,-14.0000E+0,11.2806E-12
56.3219E-12,-13.5000E+0,11.4526E-12
54.9500E-12,-13.0000E+0,11.3818E-12
56.9271E-12,-12.5000E+0,11.4931E-12
54.7886E-12,-12.0000E+0,10.6937E-12
57.8854E-12,-11.5000E+0,11.4627E-12
56.9574E-12,-11.0000E+0,11.3008E-12
58.9647E-12,-10.5000E+0,10.9770E-12
57.2196E-12,-10.0000E+0,11.2806E-12
54.3347E-12,-9.5000E+0,10.9872E-12
54.4759E-12,-9.0000E+0,10.4711E-12
58.1376E-12,-8.5000E+0,10.8152E-12
57.5323E-12,-8.0000E+0,11.0985E-12
60.8510E-12,-7.5000E+0,10.9770E-12
59.3884E-12,-7.0000E+0,10.3598E-12
59.4691E-12,-6.5000E+0,10.9669E-12
58.1376E-12,-6.0000E+0,10.5015E-12
63.1812E-12,-5.5000E+0,10.8455E-12
60.2660E-12,-5.0000E+0,10.7342E-12
62.4246E-12,-4.5000E+0,10.4610E-12
62.1422E-12,-4.0000E+0,10.7848E-12
61.2545E-12,-3.5000E+0,11.0276E-12
62.9895E-12,-3.0000E+0,11.2401E-12
60.5888E-12,-2.5000E+0,19.5168E-12
63.7965E-12,-2.0000E+0,268.8089E-12
65.6424E-12,-1.5000E+0,2.4122E-9
73.5710E-12,-1.0000E+0,10.3825E-9
68.7796E-12,-500.0000E-3,30.2464E-9
72.7136E-12,000.0000E-3,67.6738E-9
69.3444E-12,500.0000E-3,126.6447E-9
73.7828E-12,1.0000E+0,202.4023E-9
86.2203E-12,1.5000E+0,300.1105E-9
62.0010E-12,2.0000E+0,401.9040E-9
74.7512E-12,2.5000E+0,558.8100E-9
125.7219E-12,3.0000E+0,698.4563E-9
548.8297E-12,3.5000E+0,832.9594E-9
1.7308E-9,4.0000E+0,938.6577E-9
4.5850E-9,4.5000E+0,1.0896E-6
12.3379E-9,5.0000E+0,1.2594E-6
24.7353E-9,5.5000E+0,1.3766E-6
60.0508E-9,6.0000E+0,1.7011E-6
69.8691E-9,6.5000E+0,2.1888E-6
101.0547E-9,7.0000E+0,2.4604E-6
143.5032E-9,7.5000E+0,2.6980E-6
193.3230E-9,8.0000E+0,2.9527E-6
239.1712E-9,8.5000E+0,3.0078E-6
323.2966E-9,9.0000E+0,3.2902E-6
385.1897E-9,9.5000E+0,3.0242E-6
615.0386E-9,10.0000E+0,4.8654E-6
695.8876E-9,10.5000E+0,5.1316E-6
803.3120E-9,11.0000E+0,5.5633E-6
979.7973E-9,11.5000E+0,6.2407E-6
1.1776E-6,12.0000E+0,6.6281E-6
1.3162E-6,12.5000E+0,6.9660E-6
1.5201E-6,13.0000E+0,7.0233E-6
1.7638E-6,13.5000E+0,7.3363E-6
1.9815E-6,14.0000E+0,7.9744E-6
2.2719E-6,14.5000E+0,8.2933E-6
2.6776E-6,15.0000E+0,9.0763E-6
3.0079E-6,15.5000E+0,9.3327E-6
3.3772E-6,16.0000E+0,9.8686E-6
