GateV,DrainI
-20.0000E+0,43.9218E-12
-19.5000E+0,38.2352E-12
-19.0000E+0,34.4003E-12
-18.5000E+0,31.0612E-12
-18.0000E+0,29.4827E-12
-17.5000E+0,27.9346E-12
-17.0000E+0,26.3764E-12
-16.5000E+0,24.6663E-12
-16.0000E+0,22.9462E-12
-15.5000E+0,22.1772E-12
-15.0000E+0,21.0035E-12
-14.5000E+0,20.1231E-12
-14.0000E+0,18.9393E-12
-13.5000E+0,19.2934E-12
-13.0000E+0,18.2917E-12
-12.5000E+0,17.9173E-12
-12.0000E+0,16.9662E-12
-11.5000E+0,16.4501E-12
-11.0000E+0,15.5496E-12
-10.5000E+0,15.6609E-12
-10.0000E+0,14.9425E-12
-9.5000E+0,14.6491E-12
-9.0000E+0,14.3860E-12
-8.5000E+0,14.1634E-12
-8.0000E+0,13.4349E-12
-7.5000E+0,12.6861E-12
-7.0000E+0,12.2712E-12
-6.5000E+0,12.5242E-12
-6.0000E+0,12.4938E-12
-5.5000E+0,11.9474E-12
-5.0000E+0,12.6658E-12
-4.5000E+0,12.1093E-12
-4.0000E+0,11.4415E-12
-3.5000E+0,11.7248E-12
-3.0000E+0,11.2897E-12
-2.5000E+0,10.5005E-12
-2.0000E+0,11.0267E-12
-1.5000E+0,11.2493E-12
-1.0000E+0,10.6219E-12
-500.0000E-3,10.1969E-12
000.0000E-3,10.0553E-12
500.0000E-3,11.7451E-12
1.0000E+0,12.2206E-12
1.5000E+0,13.9711E-12
2.0000E+0,21.2362E-12
2.5000E+0,1.5677E-9
3.0000E+0,2.7554E-9
3.5000E+0,146.8391E-9
4.0000E+0,184.7565E-9
4.5000E+0,236.6814E-9
5.0000E+0,630.1590E-9
5.5000E+0,869.7642E-9
6.0000E+0,1.0776E-6
6.5000E+0,1.2338E-6
7.0000E+0,1.6976E-6
7.5000E+0,2.1141E-6
8.0000E+0,2.3977E-6
8.5000E+0,2.6896E-6
9.0000E+0,3.2330E-6
9.5000E+0,3.8073E-6
10.0000E+0,4.2969E-6
10.5000E+0,4.8734E-6
11.0000E+0,5.5437E-6
11.5000E+0,6.2824E-6
12.0000E+0,7.0852E-6
12.5000E+0,7.9017E-6
13.0000E+0,8.7433E-6
13.5000E+0,9.4956E-6
14.0000E+0,10.3031E-6
14.5000E+0,11.5154E-6
15.0000E+0,12.5819E-6
15.5000E+0,13.7013E-6
16.0000E+0,14.8760E-6
16.5000E+0,16.0594E-6
17.0000E+0,17.2613E-6
17.5000E+0,18.7546E-6
18.0000E+0,20.1630E-6
18.5000E+0,21.6332E-6
19.0000E+0,23.2138E-6
19.5000E+0,24.8628E-6
20.0000E+0,26.4483E-6
20.0000E+0,25.9685E-6
19.5000E+0,24.3292E-6
19.0000E+0,22.3082E-6
18.5000E+0,21.0819E-6
18.0000E+0,19.1533E-6
17.5000E+0,17.7682E-6
17.0000E+0,16.4862E-6
16.5000E+0,15.3821E-6
16.0000E+0,14.1113E-6
15.5000E+0,12.7356E-6
15.0000E+0,11.8096E-6
14.5000E+0,10.7555E-6
14.0000E+0,9.7291E-6
13.5000E+0,8.6977E-6
13.0000E+0,7.8275E-6
12.5000E+0,7.1221E-6
12.0000E+0,6.3537E-6
11.5000E+0,5.6031E-6
11.0000E+0,4.8065E-6
10.5000E+0,4.1469E-6
10.0000E+0,3.7636E-6
9.5000E+0,3.2039E-6
9.0000E+0,2.7928E-6
8.5000E+0,2.3553E-6
8.0000E+0,2.0136E-6
7.5000E+0,1.6498E-6
7.0000E+0,1.2526E-6
6.5000E+0,1.1267E-6
6.0000E+0,734.6706E-9
5.5000E+0,625.5532E-9
5.0000E+0,387.3227E-9
4.5000E+0,203.7673E-9
4.0000E+0,28.6849E-9
3.5000E+0,58.5363E-9
3.0000E+0,97.1196E-12
2.5000E+0,36.8287E-12
2.0000E+0,25.4758E-12
1.5000E+0,20.1333E-12
1.0000E+0,16.7942E-12
500.0000E-3,14.4062E-12
000.0000E-3,12.9998E-12
-500.0000E-3,11.6236E-12
-1.0000E+0,10.6523E-12
-1.5000E+0,9.8833E-12
-2.0000E+0,8.7601E-12
-2.5000E+0,8.4262E-12
-3.0000E+0,8.5072E-12
-3.5000E+0,8.8411E-12
-4.0000E+0,8.1227E-12
-4.5000E+0,7.8191E-12
-5.0000E+0,7.3031E-12
-5.5000E+0,7.9709E-12
-6.0000E+0,6.9995E-12
-6.5000E+0,6.9084E-12
-7.0000E+0,6.7971E-12
-7.5000E+0,6.7466E-12
-8.0000E+0,6.5644E-12
-8.5000E+0,6.7061E-12
-9.0000E+0,6.6454E-12
-9.5000E+0,6.7061E-12
-10.0000E+0,6.3317E-12
-10.5000E+0,6.7162E-12
-11.0000E+0,6.6352E-12
-11.5000E+0,6.7971E-12
-12.0000E+0,6.3418E-12
-12.5000E+0,6.3216E-12
-13.0000E+0,6.2103E-12
-13.5000E+0,5.9877E-12
-14.0000E+0,6.7668E-12
-14.5000E+0,5.7549E-12
-15.0000E+0,5.7145E-12
-15.5000E+0,6.0686E-12
-16.0000E+0,5.6841E-12
-16.5000E+0,6.1394E-12
-17.0000E+0,5.7752E-12
-17.5000E+0,6.1698E-12
-18.0000E+0,5.5020E-12
-18.5000E+0,5.1984E-12
-19.0000E+0,5.8966E-12
-19.5000E+0,5.8258E-12
-20.0000E+0,5.3603E-12
