GateI,GateV,DrainI
49.1500E-12,-20.0000E+0,21.3077E-12
46.8805E-12,-19.5000E+0,20.1643E-12
46.2652E-12,-19.0000E+0,19.5066E-12
52.8418E-12,-18.5000E+0,18.4038E-12
50.1687E-12,-18.0000E+0,17.8169E-12
55.4342E-12,-17.5000E+0,17.8675E-12
55.9486E-12,-17.0000E+0,16.7140E-12
54.5566E-12,-16.5000E+0,15.5909E-12
56.4732E-12,-16.0000E+0,16.1373E-12
56.0092E-12,-15.5000E+0,16.2081E-12
55.3131E-12,-15.0000E+0,15.5909E-12
57.1995E-12,-14.5000E+0,14.8118E-12
55.5250E-12,-14.0000E+0,14.7309E-12
55.7671E-12,-13.5000E+0,13.7595E-12
56.4026E-12,-13.0000E+0,14.2148E-12
60.9015E-12,-12.5000E+0,14.6499E-12
61.8396E-12,-12.0000E+0,14.1440E-12
59.8625E-12,-11.5000E+0,13.4863E-12
61.2041E-12,-11.0000E+0,13.9518E-12
62.6869E-12,-10.5000E+0,13.2132E-12
65.2490E-12,-10.0000E+0,14.1035E-12
61.5975E-12,-9.5000E+0,13.9922E-12
65.0876E-12,-9.0000E+0,13.7696E-12
63.0299E-12,-8.5000E+0,13.2334E-12
65.5012E-12,-8.0000E+0,13.2435E-12
65.0574E-12,-7.5000E+0,12.8793E-12
66.7924E-12,-7.0000E+0,13.0209E-12
63.8368E-12,-6.5000E+0,13.0310E-12
63.8267E-12,-6.0000E+0,12.5352E-12
64.8254E-12,-5.5000E+0,12.3531E-12
65.7332E-12,-5.0000E+0,12.5049E-12
64.1798E-12,-4.5000E+0,12.7376E-12
66.3183E-12,-4.0000E+0,13.1929E-12
63.3829E-12,-3.5000E+0,12.8793E-12
66.9437E-12,-3.0000E+0,12.7477E-12
66.9134E-12,-2.5000E+0,12.5959E-12
67.7002E-12,-2.0000E+0,12.5858E-12
67.2060E-12,-1.5000E+0,12.9197E-12
65.7433E-12,-1.0000E+0,12.1305E-12
64.9262E-12,-500.0000E-3,43.4968E-12
79.4619E-12,000.0000E-3,1.0770E-9
78.5238E-12,500.0000E-3,7.1811E-9
329.2615E-12,1.0000E+0,23.2474E-9
1.7951E-9,1.5000E+0,53.1128E-9
5.3465E-9,2.0000E+0,100.5631E-9
11.9053E-9,2.5000E+0,166.7015E-9
22.5963E-9,3.0000E+0,254.0935E-9
38.1373E-9,3.5000E+0,364.6618E-9
58.9947E-9,4.0000E+0,499.7392E-9
87.3033E-9,4.5000E+0,659.9619E-9
122.3555E-9,5.0000E+0,847.7174E-9
162.4127E-9,5.5000E+0,1.0488E-6
216.4494E-9,6.0000E+0,1.2822E-6
280.2160E-9,6.5000E+0,1.5344E-6
355.9446E-9,7.0000E+0,1.8032E-6
446.9330E-9,7.5000E+0,2.0864E-6
551.7599E-9,8.0000E+0,2.3831E-6
673.0312E-9,8.5000E+0,2.6927E-6
808.6759E-9,9.0000E+0,2.9847E-6
964.7284E-9,9.5000E+0,3.3189E-6
1.1386E-6,10.0000E+0,3.6607E-6
1.3405E-6,10.5000E+0,4.0071E-6
1.5747E-6,11.0000E+0,4.3529E-6
1.8194E-6,11.5000E+0,4.7127E-6
2.1034E-6,12.0000E+0,5.0700E-6
2.4059E-6,12.5000E+0,5.4358E-6
2.7374E-6,13.0000E+0,5.8038E-6
3.0885E-6,13.5000E+0,6.1771E-6
3.4744E-6,14.0000E+0,6.5500E-6
3.8809E-6,14.5000E+0,6.9276E-6
4.3135E-6,15.0000E+0,7.3067E-6
4.7803E-6,15.5000E+0,7.6860E-6
5.2653E-6,16.0000E+0,8.0707E-6
5.7980E-6,16.5000E+0,8.4449E-6
6.3531E-6,17.0000E+0,8.8247E-6
6.8205E-6,17.5000E+0,9.1382E-6
7.4454E-6,18.0000E+0,9.5189E-6
8.0986E-6,18.5000E+0,9.8962E-6
8.7880E-6,19.0000E+0,10.2674E-6
9.3836E-6,19.5000E+0,10.5658E-6
10.1469E-6,20.0000E+0,10.9338E-6
10.0755E-6,20.0000E+0,10.9114E-6
9.2157E-6,19.5000E+0,10.4950E-6
8.3994E-6,19.0000E+0,10.0862E-6
7.6593E-6,18.5000E+0,9.6674E-6
6.8740E-6,18.0000E+0,9.2336E-6
6.2108E-6,17.5000E+0,8.8192E-6
5.6002E-6,17.0000E+0,8.4053E-6
5.0354E-6,16.5000E+0,7.9925E-6
4.5067E-6,16.0000E+0,7.5840E-6
4.0213E-6,15.5000E+0,7.1763E-6
3.5619E-6,15.0000E+0,6.7627E-6
3.1450E-6,14.5000E+0,6.3579E-6
2.7624E-6,14.0000E+0,5.9610E-6
2.4162E-6,13.5000E+0,5.5681E-6
2.1001E-6,13.0000E+0,5.1824E-6
1.8160E-6,12.5000E+0,4.8031E-6
1.5581E-6,12.0000E+0,4.4315E-6
1.3279E-6,11.5000E+0,4.0680E-6
1.1213E-6,11.0000E+0,3.7140E-6
938.2306E-9,10.5000E+0,3.3707E-6
776.5427E-9,10.0000E+0,3.0382E-6
638.4463E-9,9.5000E+0,2.7284E-6
514.0009E-9,9.0000E+0,2.4157E-6
407.7987E-9,8.5000E+0,2.1196E-6
319.0885E-9,8.0000E+0,1.8387E-6
245.0449E-9,7.5000E+0,1.5750E-6
183.5370E-9,7.0000E+0,1.3293E-6
133.6741E-9,6.5000E+0,1.1027E-6
93.8544E-9,6.0000E+0,896.5506E-9
63.4595E-9,5.5000E+0,712.2625E-9
40.4415E-9,5.0000E+0,558.5549E-9
22.8590E-9,4.5000E+0,418.4771E-9
10.9660E-9,4.0000E+0,302.1387E-9
3.9162E-9,3.5000E+0,208.3418E-9
774.9848E-12,3.0000E+0,135.2453E-9
86.5330E-12,2.5000E+0,80.9071E-9
50.0577E-12,2.0000E+0,43.6034E-9
55.1921E-12,1.5000E+0,19.5504E-9
54.2742E-12,1.0000E+0,6.4284E-9
54.1430E-12,500.0000E-3,1.1150E-9
42.0389E-12,000.0000E-3,57.6433E-12
49.0793E-12,-500.0000E-3,17.5640E-12
51.8936E-12,-1.0000E+0,15.3886E-12
54.7180E-12,-1.5000E+0,14.9231E-12
56.7052E-12,-2.0000E+0,14.0125E-12
58.2283E-12,-2.5000E+0,12.8185E-12
58.5713E-12,-3.0000E+0,12.9501E-12
59.6607E-12,-3.5000E+0,12.7680E-12
55.5855E-12,-4.0000E+0,12.9096E-12
53.2856E-12,-4.5000E+0,12.7376E-12
53.5075E-12,-5.0000E+0,12.1406E-12
53.7900E-12,-5.5000E+0,12.8185E-12
52.7712E-12,-6.0000E+0,11.7663E-12
54.9298E-12,-6.5000E+0,12.1103E-12
55.1618E-12,-7.0000E+0,12.0394E-12
57.8551E-12,-7.5000E+0,12.2013E-12
55.6258E-12,-8.0000E+0,11.2907E-12
54.5869E-12,-8.5000E+0,11.3615E-12
54.3549E-12,-9.0000E+0,12.1507E-12
53.4874E-12,-9.5000E+0,12.3835E-12
54.4255E-12,-10.0000E+0,11.6347E-12
57.9257E-12,-10.5000E+0,11.9585E-12
55.7469E-12,-11.0000E+0,12.0597E-12
51.5204E-12,-11.5000E+0,12.2823E-12
51.1471E-12,-12.0000E+0,12.4442E-12
50.1889E-12,-12.5000E+0,12.1406E-12
54.4860E-12,-13.0000E+0,11.7055E-12
54.5970E-12,-13.5000E+0,12.3733E-12
53.8707E-12,-14.0000E+0,11.8573E-12
56.8767E-12,-14.5000E+0,11.3919E-12
56.0192E-12,-15.0000E+0,11.7359E-12
52.5694E-12,-15.5000E+0,12.0394E-12
55.6965E-12,-16.0000E+0,11.7157E-12
50.1284E-12,-16.5000E+0,11.5538E-12
