# Date,2021-01-11 ¿ÀÈÄ 3:26
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
0.069000,-40.000000,-1.691590E-7,40.000000,1.121380E-8
1.854000,-39.500000,-4.160700E-10,40.000000,3.369600E-11
4.533000,-39.000000,-4.020080E-10,40.000000,1.768080E-11
6.673000,-38.500000,-4.107560E-10,40.000000,1.215710E-11
8.814000,-38.000000,-4.031320E-10,40.000000,9.367190E-12
10.953000,-37.500000,-3.949290E-10,40.000000,7.745300E-12
13.093000,-37.000000,-3.967210E-10,40.000000,6.629240E-12
15.233000,-36.500000,-3.934350E-10,40.000000,5.841050E-12
17.372000,-36.000000,-3.941290E-10,40.000000,5.235820E-12
19.513000,-35.500000,-3.991040E-10,40.000000,4.836390E-12
21.694000,-35.000000,-3.960110E-10,40.000000,4.370960E-12
23.878000,-34.500000,-3.901550E-10,40.000000,4.120180E-12
26.017000,-34.000000,-3.921190E-10,40.000000,3.802530E-12
28.156000,-33.500000,-3.881620E-10,40.000000,3.531190E-12
30.341000,-33.000000,-3.849990E-10,40.000000,3.331720E-12
32.563000,-32.500000,-3.811970E-10,40.000000,3.135180E-12
34.704000,-32.000000,-3.826380E-10,40.000000,3.007390E-12
36.844000,-31.500000,-3.785590E-10,40.000000,2.928340E-12
38.984000,-31.000000,-3.769850E-10,40.000000,2.803840E-12
41.124000,-30.500000,-3.796360E-10,40.000000,2.654760E-12
43.263000,-30.000000,-3.788730E-10,40.000000,2.516870E-12
45.402000,-29.500000,-3.702800E-10,40.000000,2.499030E-12
47.542000,-29.000000,-3.703640E-10,40.000000,2.322890E-12
49.682000,-28.500000,-3.721630E-10,40.000000,2.284070E-12
51.821000,-28.000000,-3.701400E-10,40.000000,2.222700E-12
53.962000,-27.500000,-3.708360E-10,40.000000,2.157040E-12
56.103000,-27.000000,-3.658810E-10,40.000000,2.063740E-12
58.242000,-26.500000,-3.625980E-10,40.000000,2.052280E-12
60.381000,-26.000000,-3.674800E-10,40.000000,1.951580E-12
62.520000,-25.500000,-3.640450E-10,40.000000,1.900580E-12
64.660000,-25.000000,-3.539260E-10,40.000000,1.859470E-12
66.801000,-24.500000,-3.582960E-10,40.000000,1.800070E-12
68.940000,-24.000000,-3.559110E-10,40.000000,1.714110E-12
71.079000,-23.500000,-3.506320E-10,40.000000,1.789250E-12
73.287000,-23.000000,-3.571210E-10,40.000000,1.665970E-12
75.486000,-22.500000,-3.541270E-10,40.000000,1.701100E-12
77.688000,-22.000000,-3.566550E-10,40.000000,1.666410E-12
79.827000,-21.500000,-3.556570E-10,40.000000,1.589300E-12
81.968000,-21.000000,-3.479680E-10,40.000000,1.570510E-12
84.162000,-20.500000,-3.549770E-10,40.000000,1.547230E-12
86.368000,-20.000000,-3.475710E-10,40.000000,1.520120E-12
88.571000,-19.500000,-3.473930E-10,40.000000,1.503680E-12
90.774000,-19.000000,-3.500310E-10,40.000000,1.477170E-12
92.983000,-18.500000,-3.441790E-10,40.000000,1.335260E-12
