GateI,GateV,DrainI
48.3834E-12,-20.0000E+0,48.8902E-12
54.5767E-12,-19.5000E+0,44.7819E-12
57.3910E-12,-19.0000E+0,40.7649E-12
57.1590E-12,-18.5000E+0,38.5794E-12
59.2269E-12,-18.0000E+0,36.3939E-12
58.5309E-12,-17.5000E+0,34.4715E-12
63.2416E-12,-17.0000E+0,32.5693E-12
66.4594E-12,-16.5000E+0,32.2556E-12
61.9403E-12,-16.0000E+0,29.9993E-12
63.0096E-12,-15.5000E+0,29.5845E-12
63.0802E-12,-15.0000E+0,28.7548E-12
62.5657E-12,-14.5000E+0,27.0752E-12
59.5396E-12,-14.0000E+0,26.7109E-12
62.2430E-12,-13.5000E+0,26.2961E-12
63.7560E-12,-13.0000E+0,25.7801E-12
65.4406E-12,-12.5000E+0,24.7480E-12
66.6914E-12,-12.0000E+0,25.0617E-12
70.2118E-12,-11.5000E+0,23.2910E-12
67.0646E-12,-11.0000E+0,23.3214E-12
65.0169E-12,-10.5000E+0,22.8256E-12
65.3901E-12,-10.0000E+0,22.7953E-12
67.5790E-12,-9.5000E+0,22.9673E-12
68.3255E-12,-9.0000E+0,22.3399E-12
64.5832E-12,-8.5000E+0,21.5406E-12
66.1467E-12,-8.0000E+0,21.5811E-12
64.9967E-12,-7.5000E+0,21.0246E-12
64.9160E-12,-7.0000E+0,21.1055E-12
66.4695E-12,-6.5000E+0,20.5086E-12
66.8225E-12,-6.0000E+0,19.9824E-12
64.2402E-12,-5.5000E+0,20.4074E-12
67.0041E-12,-5.0000E+0,18.9201E-12
67.7102E-12,-4.5000E+0,19.3956E-12
65.8642E-12,-4.0000E+0,19.9319E-12
69.7276E-12,-3.5000E+0,21.5204E-12
67.4983E-12,-3.0000E+0,29.1899E-12
66.2274E-12,-2.5000E+0,60.5372E-12
65.4204E-12,-2.0000E+0,216.5722E-12
67.5992E-12,-1.5000E+0,974.9100E-12
67.2159E-12,-1.0000E+0,3.4718E-9
68.2347E-12,-500.0000E-3,9.1765E-9
68.2145E-12,000.0000E-3,19.4915E-9
71.0187E-12,500.0000E-3,35.7262E-9
66.9435E-12,1.0000E+0,59.0874E-9
69.5864E-12,1.5000E+0,92.1424E-9
67.0242E-12,2.0000E+0,133.5715E-9
71.1499E-12,2.5000E+0,185.6642E-9
69.9394E-12,3.0000E+0,249.4339E-9
69.4351E-12,3.5000E+0,326.1139E-9
68.5877E-12,4.0000E+0,416.6992E-9
67.8312E-12,4.5000E+0,522.1623E-9
67.5084E-12,5.0000E+0,643.6330E-9
66.8628E-12,5.5000E+0,782.4337E-9
73.9843E-12,6.0000E+0,926.6510E-9
67.9321E-12,6.5000E+0,1.1045E-6
67.6597E-12,7.0000E+0,1.3018E-6
71.6946E-12,7.5000E+0,1.5203E-6
69.9899E-12,8.0000E+0,1.7611E-6
73.5909E-12,8.5000E+0,2.0260E-6
70.6153E-12,9.0000E+0,2.3150E-6
72.0880E-12,9.5000E+0,2.6300E-6
70.0100E-12,10.0000E+0,2.9718E-6
69.7881E-12,10.5000E+0,3.3414E-6
75.1242E-12,11.0000E+0,3.7400E-6
73.2379E-12,11.5000E+0,4.1691E-6
74.2164E-12,12.0000E+0,4.6288E-6
69.9394E-12,12.5000E+0,5.1207E-6
71.4424E-12,13.0000E+0,5.6456E-6
69.1829E-12,13.5000E+0,6.2052E-6
72.7033E-12,14.0000E+0,6.7998E-6
72.2494E-12,14.5000E+0,7.4316E-6
68.1742E-12,15.0000E+0,8.0992E-6
67.8514E-12,15.5000E+0,8.8062E-6
72.9353E-12,16.0000E+0,9.4898E-6
72.5722E-12,16.5000E+0,10.2795E-6
72.8647E-12,17.0000E+0,11.1077E-6
72.0981E-12,17.5000E+0,11.9770E-6
74.2365E-12,18.0000E+0,12.8863E-6
71.8156E-12,18.5000E+0,13.8384E-6
68.5070E-12,19.0000E+0,14.8335E-6
68.5676E-12,19.5000E+0,15.8714E-6
73.0563E-12,20.0000E+0,16.9519E-6
70.7867E-12,20.0000E+0,16.8814E-6
71.4525E-12,19.5000E+0,15.6783E-6
68.1843E-12,19.0000E+0,14.5415E-6
71.3920E-12,18.5000E+0,13.4672E-6
71.2507E-12,18.0000E+0,12.4490E-6
67.8312E-12,17.5000E+0,11.4865E-6
70.2219E-12,17.0000E+0,10.5759E-6
67.1453E-12,16.5000E+0,9.7164E-6
66.5098E-12,16.0000E+0,8.9060E-6
69.1829E-12,15.5000E+0,8.1445E-6
68.7693E-12,15.0000E+0,7.4281E-6
68.3557E-12,14.5000E+0,6.7540E-6
66.8023E-12,14.0000E+0,6.1202E-6
63.3929E-12,13.5000E+0,5.5312E-6
66.7821E-12,13.0000E+0,4.9828E-6
65.9752E-12,12.5000E+0,4.4731E-6
66.7519E-12,12.0000E+0,3.9997E-6
64.2301E-12,11.5000E+0,3.5621E-6
64.1797E-12,11.0000E+0,3.1579E-6
62.5254E-12,10.5000E+0,2.7866E-6
62.9793E-12,10.0000E+0,2.4454E-6
64.2805E-12,9.5000E+0,2.1341E-6
65.0068E-12,9.0000E+0,1.8505E-6
63.8266E-12,8.5000E+0,1.5937E-6
64.6538E-12,8.0000E+0,1.3618E-6
67.8413E-12,7.5000E+0,1.1541E-6
64.7950E-12,7.0000E+0,968.7983E-9
67.1049E-12,6.5000E+0,804.6613E-9
67.8009E-12,6.0000E+0,664.1616E-9
71.3718E-12,5.5000E+0,536.5034E-9
70.9078E-12,5.0000E+0,426.7733E-9
66.8427E-12,4.5000E+0,333.4788E-9
64.4621E-12,4.0000E+0,254.8861E-9
63.5442E-12,3.5000E+0,189.7877E-9
68.2145E-12,3.0000E+0,136.8072E-9
68.1237E-12,2.5000E+0,94.7737E-9
67.9926E-12,2.0000E+0,62.8764E-9
67.1554E-12,1.5000E+0,38.7525E-9
67.0545E-12,1.0000E+0,21.7460E-9
67.4882E-12,500.0000E-3,10.6657E-9
67.5185E-12,000.0000E-3,4.2492E-9
68.4869E-12,-500.0000E-3,1.2085E-9
66.7519E-12,-1.0000E+0,210.4401E-12
66.9435E-12,-1.5000E+0,33.7025E-12
65.2590E-12,-2.0000E+0,16.3197E-12
65.5616E-12,-2.5000E+0,14.6604E-12
65.8138E-12,-3.0000E+0,14.3771E-12
63.7157E-12,-3.5000E+0,13.8610E-12
59.2370E-12,-4.0000E+0,13.6688E-12
