GateI,GateV,DrainI
48.8272E-12,-20.0000E+0,64.5335E-12
49.4324E-12,-19.5000E+0,58.4319E-12
49.8762E-12,-19.0000E+0,54.5160E-12
49.1904E-12,-18.5000E+0,51.8649E-12
49.6442E-12,-18.0000E+0,48.2222E-12
51.5405E-12,-17.5000E+0,46.2996E-12
53.9210E-12,-17.0000E+0,44.2354E-12
54.5262E-12,-16.5000E+0,42.2422E-12
52.8417E-12,-16.0000E+0,41.2000E-12
55.4945E-12,-15.5000E+0,39.9252E-12
55.8577E-12,-15.0000E+0,38.5796E-12
55.7669E-12,-14.5000E+0,37.5981E-12
56.1098E-12,-14.0000E+0,36.2221E-12
56.7655E-12,-13.5000E+0,35.8377E-12
52.9022E-12,-13.0000E+0,34.8866E-12
56.9672E-12,-12.5000E+0,34.2998E-12
59.2166E-12,-12.0000E+0,34.2492E-12
61.1633E-12,-11.5000E+0,33.3487E-12
57.8448E-12,-11.0000E+0,32.2762E-12
60.2051E-12,-10.5000E+0,32.1346E-12
62.8277E-12,-10.0000E+0,31.4668E-12
59.2267E-12,-9.5000E+0,31.0621E-12
61.2642E-12,-9.0000E+0,31.1329E-12
64.4214E-12,-8.5000E+0,30.5158E-12
61.1028E-12,-8.0000E+0,30.1718E-12
59.3174E-12,-7.5000E+0,29.9087E-12
61.4458E-12,-7.0000E+0,29.0183E-12
62.1922E-12,-6.5000E+0,29.4736E-12
61.9098E-12,-6.0000E+0,28.4518E-12
63.3421E-12,-5.5000E+0,28.7958E-12
61.7181E-12,-5.0000E+0,28.4012E-12
64.1692E-12,-4.5000E+0,27.7941E-12
62.0510E-12,-4.0000E+0,27.5816E-12
64.3306E-12,-3.5000E+0,31.3049E-12
63.9473E-12,-3.0000E+0,51.5006E-12
63.4530E-12,-2.5000E+0,176.4964E-12
62.7873E-12,-2.0000E+0,735.9667E-12
63.4934E-12,-1.5000E+0,2.4950E-9
64.1087E-12,-1.0000E+0,6.7460E-9
64.2701E-12,-500.0000E-3,14.6194E-9
64.9560E-12,000.0000E-3,25.3544E-9
62.4040E-12,500.0000E-3,36.9781E-9
66.9733E-12,1.0000E+0,49.7402E-9
65.1375E-12,1.5000E+0,64.3374E-9
63.9574E-12,2.0000E+0,82.1613E-9
65.6923E-12,2.5000E+0,103.8066E-9
67.0641E-12,3.0000E+0,129.3822E-9
66.9935E-12,3.5000E+0,160.7820E-9
63.1807E-12,4.0000E+0,197.3103E-9
65.3595E-12,4.5000E+0,240.2243E-9
63.0697E-12,5.0000E+0,288.4096E-9
60.1244E-12,5.5000E+0,342.8864E-9
60.9212E-12,6.0000E+0,403.2437E-9
60.5682E-12,6.5000E+0,470.6723E-9
61.5668E-12,7.0000E+0,543.6630E-9
62.5654E-12,7.5000E+0,623.7586E-9
64.4113E-12,8.0000E+0,711.0751E-9
64.3810E-12,8.5000E+0,806.4898E-9
60.5279E-12,9.0000E+0,890.7218E-9
62.8377E-12,9.5000E+0,998.1321E-9
64.5828E-12,10.0000E+0,1.1121E-6
62.0913E-12,10.5000E+0,1.2410E-6
62.9991E-12,11.0000E+0,1.3689E-6
62.6360E-12,11.5000E+0,1.5072E-6
63.7052E-12,12.0000E+0,1.6521E-6
62.1922E-12,12.5000E+0,1.8123E-6
63.6043E-12,13.0000E+0,1.9812E-6
64.0179E-12,13.5000E+0,2.1498E-6
65.3695E-12,14.0000E+0,2.3417E-6
62.7066E-12,14.5000E+0,2.5369E-6
63.2513E-12,15.0000E+0,2.7448E-6
61.9299E-12,15.5000E+0,2.9529E-6
63.0697E-12,16.0000E+0,3.1566E-6
67.3768E-12,16.5000E+0,3.3890E-6
67.6290E-12,17.0000E+0,3.6310E-6
66.2168E-12,17.5000E+0,3.8831E-6
65.3998E-12,18.0000E+0,4.1445E-6
68.8091E-12,18.5000E+0,4.4096E-6
66.4589E-12,19.0000E+0,4.6316E-6
69.0210E-12,19.5000E+0,4.8950E-6
71.7545E-12,20.0000E+0,5.1497E-6
70.4533E-12,20.0000E+0,5.0651E-6
71.2401E-12,19.5000E+0,4.6884E-6
