GateI,GateV,DrainI
-935.0692E-12,-20.0000E+0,442.3491E-12
-923.5809E-12,-19.5000E+0,428.6891E-12
-923.9037E-12,-19.0000E+0,418.6819E-12
-924.4181E-12,-18.5000E+0,412.9244E-12
-930.1471E-12,-18.0000E+0,407.7235E-12
-928.7451E-12,-17.5000E+0,404.8094E-12
-932.2048E-12,-17.0000E+0,402.3404E-12
-933.6268E-12,-16.5000E+0,400.6001E-12
-934.4640E-12,-16.0000E+0,400.0941E-12
-937.2881E-12,-15.5000E+0,400.4887E-12
-938.5691E-12,-15.0000E+0,399.5983E-12
-944.2578E-12,-14.5000E+0,399.8614E-12
-947.8485E-12,-14.0000E+0,400.7316E-12
-948.5041E-12,-13.5000E+0,400.3471E-12
-953.6885E-12,-13.0000E+0,401.6321E-12
-956.8757E-12,-12.5000E+0,402.7249E-12
-961.1221E-12,-12.0000E+0,403.2612E-12
-962.1004E-12,-11.5000E+0,404.5260E-12
-964.9044E-12,-11.0000E+0,406.2968E-12
-970.7242E-12,-10.5000E+0,408.6241E-12
-972.1262E-12,-10.0000E+0,410.0002E-12
-974.1636E-12,-9.5000E+0,410.5668E-12
-975.4849E-12,-9.0000E+0,412.6411E-12
-978.3696E-12,-8.5000E+0,413.9767E-12
-979.0454E-12,-8.0000E+0,415.5553E-12
-986.0351E-12,-7.5000E+0,417.3057E-12
-986.7613E-12,-7.0000E+0,419.0461E-12
-989.4947E-12,-6.5000E+0,420.8270E-12
-994.6791E-12,-6.0000E+0,422.9721E-12
-994.6791E-12,-5.5000E+0,424.9857E-12
-998.6733E-12,-5.0000E+0,426.7868E-12
-1.0006E-9,-4.5000E+0,429.3771E-12
-1.0034E-9,-4.0000E+0,430.5914E-12
-1.0067E-9,-3.5000E+0,432.5847E-12
-1.0137E-9,-3.0000E+0,435.6001E-12
-1.0162E-9,-2.5000E+0,436.4197E-12
-1.0172E-9,-2.0000E+0,438.2814E-12
-1.0199E-9,-1.5000E+0,450.2719E-12
-1.0237E-9,-1.0000E+0,1.1388E-9
-1.0111E-9,-500.0000E-3,5.1646E-9
-364.7707E-12,000.0000E-3,18.2884E-9
2.3357E-9,500.0000E-3,46.1106E-9
8.0262E-9,1.0000E+0,91.8943E-9
17.3478E-9,1.5000E+0,158.1126E-9
30.8392E-9,2.0000E+0,246.9993E-9
49.3248E-9,2.5000E+0,360.6987E-9
74.5577E-9,3.0000E+0,500.4848E-9
109.7944E-9,3.5000E+0,667.6300E-9
153.8624E-9,4.0000E+0,864.5451E-9
205.0672E-9,4.5000E+0,1.0884E-6
271.6308E-9,5.0000E+0,1.3478E-6
347.6665E-9,5.5000E+0,1.6426E-6
435.5090E-9,6.0000E+0,1.9738E-6
534.9736E-9,6.5000E+0,2.3440E-6
647.8078E-9,7.0000E+0,2.7539E-6
774.3766E-9,7.5000E+0,3.2063E-6
910.1097E-9,8.0000E+0,3.6873E-6
1.0688E-6,8.5000E+0,4.2292E-6
1.2399E-6,9.0000E+0,4.8199E-6
1.4235E-6,9.5000E+0,5.4633E-6
1.6334E-6,10.0000E+0,6.1505E-6
1.8490E-6,10.5000E+0,6.9001E-6
2.0912E-6,11.0000E+0,7.6981E-6
2.3588E-6,11.5000E+0,8.5490E-6
2.6317E-6,12.0000E+0,9.4102E-6
2.9300E-6,12.5000E+0,10.3882E-6
3.2462E-6,13.0000E+0,11.4258E-6
3.5967E-6,13.5000E+0,12.5181E-6
3.9658E-6,14.0000E+0,13.6749E-6
4.3708E-6,14.5000E+0,14.8897E-6
4.7896E-6,15.0000E+0,16.1756E-6
5.2297E-6,15.5000E+0,17.5327E-6
5.7025E-6,16.0000E+0,18.9492E-6
6.2575E-6,16.5000E+0,20.3958E-6
6.8077E-6,17.0000E+0,21.9393E-6
7.3569E-6,17.5000E+0,23.5681E-6
7.9526E-6,18.0000E+0,25.2559E-6
8.5744E-6,18.5000E+0,27.0151E-6
9.1865E-6,19.0000E+0,28.7256E-6
9.8486E-6,19.5000E+0,30.6429E-6
10.5335E-6,20.0000E+0,32.6284E-6
10.5205E-6,20.0000E+0,32.5733E-6
9.7859E-6,19.5000E+0,30.5111E-6
9.1123E-6,19.0000E+0,28.5213E-6
8.4553E-6,18.5000E+0,26.6266E-6
7.8365E-6,18.0000E+0,24.8114E-6
7.2340E-6,17.5000E+0,23.0863E-6
