GateI,GateV,DrainI
17.4590E-12,-20.0000E+0,129.9289E-12
26.1534E-12,-19.5000E+0,113.9417E-12
28.9977E-12,-19.0000E+0,102.3763E-12
28.7254E-12,-18.5000E+0,93.6136E-12
31.9630E-12,-18.0000E+0,86.9051E-12
34.4543E-12,-17.5000E+0,80.3685E-12
37.5307E-12,-17.0000E+0,75.9467E-12
40.8490E-12,-16.5000E+0,72.2434E-12
42.9974E-12,-16.0000E+0,68.5603E-12
42.5032E-12,-15.5000E+0,66.2532E-12
42.7553E-12,-15.0000E+0,63.6831E-12
46.8503E-12,-14.5000E+0,61.4267E-12
43.0377E-12,-14.0000E+0,59.8584E-12
50.0073E-12,-13.5000E+0,58.0067E-12
48.7667E-12,-13.0000E+0,56.3675E-12
53.2956E-12,-12.5000E+0,54.7384E-12
56.8260E-12,-12.0000E+0,52.5123E-12
54.7178E-12,-11.5000E+0,52.3403E-12
58.7324E-12,-11.0000E+0,50.3166E-12
59.1762E-12,-10.5000E+0,49.9220E-12
57.5522E-12,-10.0000E+0,49.1125E-12
61.0019E-12,-9.5000E+0,47.8578E-12
62.6461E-12,-9.0000E+0,47.2103E-12
61.5264E-12,-8.5000E+0,46.3704E-12
61.7484E-12,-8.0000E+0,45.6014E-12
63.0596E-12,-7.5000E+0,45.4901E-12
65.1577E-12,-7.0000E+0,44.4277E-12
65.1073E-12,-6.5000E+0,43.5980E-12
63.6548E-12,-6.0000E+0,43.2438E-12
67.1751E-12,-5.5000E+0,42.7379E-12
65.0467E-12,-5.0000E+0,42.4243E-12
63.0496E-12,-4.5000E+0,41.5845E-12
66.1159E-12,-4.0000E+0,41.2304E-12
71.4519E-12,-3.5000E+0,40.6942E-12
69.7371E-12,-3.0000E+0,39.9759E-12
71.1896E-12,-2.5000E+0,39.7432E-12
71.2804E-12,-2.0000E+0,39.4295E-12
70.4129E-12,-1.5000E+0,38.9034E-12
73.1566E-12,-1.0000E+0,38.3672E-12
71.5628E-12,-500.0000E-3,38.9135E-12
78.4925E-12,000.0000E-3,62.2767E-12
82.4062E-12,500.0000E-3,725.4622E-12
81.4883E-12,1.0000E+0,4.8401E-9
115.7734E-12,1.5000E+0,16.0112E-9
627.0743E-12,2.0000E+0,36.6562E-9
2.2522E-9,2.5000E+0,68.5135E-9
5.8657E-9,3.0000E+0,113.9399E-9
11.9033E-9,3.5000E+0,172.3018E-9
20.6065E-9,4.0000E+0,245.7338E-9
32.2082E-9,4.5000E+0,335.4807E-9
47.0131E-9,5.0000E+0,442.6769E-9
65.3122E-9,5.5000E+0,568.6867E-9
88.6177E-9,6.0000E+0,714.5981E-9
115.5904E-9,6.5000E+0,885.4889E-9
144.4230E-9,7.0000E+0,1.0694E-6
181.8555E-9,7.5000E+0,1.2880E-6
223.1872E-9,8.0000E+0,1.5319E-6
